Offsets frozen for 2020-12-31: annual_reset; validation labels not used.
Offsets frozen for 2021-01-31: q1_guard; validation labels not used.
Offsets frozen for 2021-02-28: q1_guard; validation labels not used.
Offsets frozen for 2021-03-31: insufficient_history; validation labels not used.
Offsets frozen for 2021-04-30: insufficient_history; validation labels not used.
Offsets frozen for 2021-05-31: insufficient_history; validation labels not used.
Offsets frozen for 2021-06-30: insufficient_history; validation labels not used.
Offsets frozen for 2021-07-31: insufficient_history; validation labels not used.
Offsets frozen for 2021-08-31: insufficient_history; validation labels not used.
Offsets frozen for 2021-09-30: insufficient_history; validation labels not used.
Offsets frozen for 2021-10-31: insufficient_history; validation labels not used.
Offsets frozen for 2021-11-30: insufficient_history; validation labels not used.
Offsets frozen for 2021-12-31: annual_reset; validation labels not used.
Offsets frozen for 2022-01-31: q1_guard; validation labels not used.
Offsets frozen for 2022-02-28: q1_guard; validation labels not used.
Offsets frozen for 2022-03-31: insufficient_history; validation labels not used.
Offsets frozen for 2022-04-30: insufficient_history; validation labels not used.
Offsets frozen for 2022-05-31: ready; validation labels not used.
Offsets frozen for 2022-06-30: ready; validation labels not used.
Offsets frozen for 2022-07-31: ready; validation labels not used.
Offsets frozen for 2022-08-31: ready; validation labels not used.
Offsets frozen for 2022-09-30: ready; validation labels not used.
Offsets frozen for 2022-10-31: ready; validation labels not used.
Offsets frozen for 2022-11-30: ready; validation labels not used.
Offsets frozen for 2022-12-31: annual_reset; validation labels not used.
Offsets frozen for 2023-01-31: q1_guard; validation labels not used.
Offsets frozen for 2023-02-28: q1_guard; validation labels not used.
Offsets frozen for 2023-03-31: ready; validation labels not used.
Offsets frozen for 2023-04-30: ready; validation labels not used.
Offsets frozen for 2023-05-31: ready; validation labels not used.
Offsets frozen for 2023-06-30: ready; validation labels not used.
Offsets frozen for 2023-07-31: ready; validation labels not used.
Offsets frozen for 2023-08-31: ready; validation labels not used.
Offsets frozen for 2023-09-30: ready; validation labels not used.
Offsets frozen for 2023-10-31: ready; validation labels not used.
Offsets frozen for 2023-11-30: ready; validation labels not used.
Offsets frozen for 2023-12-31: annual_reset; validation labels not used.
Offsets frozen for 2024-01-31: q1_guard; validation labels not used.
Offsets frozen for 2024-02-29: q1_guard; validation labels not used.
Offsets frozen for 2024-03-31: ready; validation labels not used.
Offsets frozen for 2024-04-30: ready; validation labels not used.
Offsets frozen for 2024-05-31: ready; validation labels not used.
Offsets frozen for 2024-06-30: ready; validation labels not used.
Offsets frozen for 2024-07-31: ready; validation labels not used.
Offsets frozen for 2024-08-31: ready; validation labels not used.
Offsets frozen for 2024-09-30: ready; validation labels not used.
Offsets frozen for 2024-10-31: ready; validation labels not used.
Offsets frozen for 2024-11-30: ready; validation labels not used.
Offsets frozen for 2024-12-31: annual_reset; validation labels not used.
Offsets frozen for 2025-01-31: q1_guard; validation labels not used.
Offsets frozen for 2025-02-28: q1_guard; validation labels not used.
Offsets frozen for 2025-03-31: ready; validation labels not used.
Offsets frozen for 2025-04-30: ready; validation labels not used.
Offsets frozen for 2025-05-31: ready; validation labels not used.
Offsets frozen for 2025-06-30: ready; validation labels not used.
Offsets frozen for 2025-07-31: ready; validation labels not used.
Offsets frozen for 2025-08-31: ready; validation labels not used.
Offsets frozen for 2025-09-30: ready; validation labels not used.
Offsets frozen for 2025-10-31: ready; validation labels not used.
Offsets frozen for 2025-11-30: ready; validation labels not used.
Offsets frozen for 2025-12-31: annual_reset; validation labels not used.
Offsets frozen for 2026-01-31: q1_guard; validation labels not used.
Offsets frozen for 2026-02-28: q1_guard; validation labels not used.
Offsets frozen for 2026-03-31: ready; validation labels not used.
Offsets frozen for 2026-04-30: ready; validation labels not used.
Offsets frozen for 2026-05-31: ready; validation labels not used.
Offsets frozen for 2026-06-30: ready; validation labels not used.
Offsets frozen for 2026-07-31: ready; validation labels not used.
All training-only calibration parameters frozen.

EXIT_CODE=0
