cutoff,fit_cutoff,mode,available,train_n,validation_n,train_max_maturity,validation_first,validation_last,validation_max_maturity,purged_between_n
2020-12-31,,annual_reset,0,0,0,,,,,0
2021-01-31,2021-01-07,q1_guard,2,0,2,,2021-01-08,2021-01-15,2021-01-25,0
2021-02-28,2021-01-07,q1_guard,5,0,5,,2021-01-08,2021-02-05,2021-02-22,0
2021-03-31,2021-01-07,insufficient_history,10,0,10,,2021-01-08,2021-03-19,2021-03-29,0
2021-04-30,2021-01-14,insufficient_history,14,0,13,,2021-01-15,2021-04-16,2021-04-26,1
2021-05-31,2021-02-25,insufficient_history,19,5,13,2021-02-22,2021-02-26,2021-05-21,2021-05-31,1
2021-06-30,2021-03-25,insufficient_history,23,9,13,2021-03-22,2021-03-26,2021-06-18,2021-06-28,1
2021-07-31,2021-04-22,insufficient_history,27,13,13,2021-04-19,2021-04-23,2021-07-16,2021-07-26,1
2021-08-31,2021-05-27,insufficient_history,32,18,13,2021-05-24,2021-05-28,2021-08-20,2021-08-30,1
2021-09-30,2021-06-24,insufficient_history,36,22,13,2021-06-21,2021-06-25,2021-09-17,2021-09-28,1
2021-10-31,2021-07-15,insufficient_history,39,25,13,2021-07-12,2021-07-16,2021-10-15,2021-10-25,1
2021-11-30,2021-08-19,insufficient_history,44,30,13,2021-08-16,2021-08-20,2021-11-19,2021-11-29,1
2021-12-31,2021-09-16,annual_reset,48,34,13,2021-09-13,2021-09-17,2021-12-17,2021-12-27,1
2022-01-31,2021-10-21,q1_guard,52,38,13,2021-10-18,2021-10-22,2022-01-14,2022-01-24,1
2022-02-28,2021-11-18,q1_guard,56,42,13,2021-11-15,2021-11-19,2022-02-18,2022-02-28,1
2022-03-31,2021-12-16,insufficient_history,60,46,13,2021-12-13,2021-12-17,2022-03-18,2022-03-28,1
2022-04-30,2022-01-13,insufficient_history,64,50,13,2022-01-10,2022-01-14,2022-04-15,2022-04-25,1
2022-05-31,2022-02-24,ready,69,52,13,2022-02-21,2022-02-25,2022-05-20,2022-05-30,1
2022-06-30,2022-03-17,ready,72,52,13,2022-03-14,2022-03-18,2022-06-17,2022-06-27,1
2022-07-31,2022-04-14,ready,76,52,13,2022-04-12,2022-04-15,2022-07-15,2022-07-25,1
2022-08-31,2022-05-19,ready,81,52,13,2022-05-16,2022-05-20,2022-08-19,2022-08-29,1
2022-09-30,2022-06-23,ready,85,52,13,2022-06-20,2022-06-24,2022-09-16,2022-09-26,1
2022-10-31,2022-07-21,ready,89,52,13,2022-07-18,2022-07-22,2022-10-21,2022-10-31,1
2022-11-30,2022-08-18,ready,93,52,13,2022-08-15,2022-08-19,2022-11-18,2022-11-28,1
2022-12-31,2022-09-15,annual_reset,97,52,13,2022-09-13,2022-09-16,2022-12-16,2022-12-26,1
2023-01-31,2022-10-20,q1_guard,101,52,13,2022-10-17,2022-10-21,2023-01-13,2023-01-30,1
2023-02-28,2022-11-17,q1_guard,105,52,13,2022-11-14,2022-11-18,2023-02-17,2023-02-27,1
2023-03-31,2022-12-15,ready,109,52,13,2022-12-12,2022-12-16,2023-03-17,2023-03-27,1
2023-04-30,2023-01-12,ready,113,52,13,2023-01-09,2023-01-13,2023-04-14,2023-04-24,1
2023-05-31,2023-02-23,ready,118,52,13,2023-02-20,2023-02-24,2023-05-19,2023-05-29,1
2023-06-30,2023-03-16,ready,121,52,13,2023-03-13,2023-03-17,2023-06-09,2023-06-19,1
2023-07-31,2023-04-20,ready,126,52,13,2023-04-17,2023-04-21,2023-07-21,2023-07-31,1
2023-08-31,2023-05-18,ready,130,52,13,2023-05-15,2023-05-19,2023-08-18,2023-08-28,1
2023-09-30,2023-06-15,ready,134,52,13,2023-06-12,2023-06-16,2023-09-15,2023-09-25,1
2023-10-31,2023-07-13,ready,137,52,13,2023-07-10,2023-07-14,2023-10-20,2023-10-30,1
2023-11-30,2023-08-10,ready,141,52,13,2023-08-07,2023-08-11,2023-11-17,2023-11-27,1
2023-12-31,2023-09-07,annual_reset,145,52,13,2023-09-04,2023-09-08,2023-12-15,2023-12-25,1
2024-01-31,2023-10-26,q1_guard,150,52,13,2023-10-23,2023-10-27,2024-01-19,2024-01-29,1
2024-02-29,2023-11-09,q1_guard,152,52,13,2023-11-06,2023-11-10,2024-02-02,2024-02-26,1
2024-03-31,2023-12-07,ready,156,52,13,2023-12-04,2023-12-08,2024-03-15,2024-03-25,1
2024-04-30,2024-01-04,ready,160,52,13,2024-01-02,2024-01-05,2024-04-19,2024-04-29,1
2024-05-31,2024-01-25,ready,163,52,13,2024-01-22,2024-01-26,2024-05-17,2024-05-27,1
2024-06-30,2024-03-07,ready,167,52,13,2024-03-04,2024-03-08,2024-06-14,2024-06-24,1
2024-07-31,2024-04-18,ready,172,52,13,2024-04-15,2024-04-19,2024-07-19,2024-07-29,1
