cadence,cutoff,method,state,removed_row_index,removed_date,original_accepted,remaining_n,removed_brier_difference,removed_correct_difference,brier_difference,correct_difference,metric_accepted,full_accepted,full_reason,metric_flipped,full_flipped,mechanical_support_failure
monthly,2022-05-31,learned_market,negative_high,2690,2022-02-25,True,11,-0.0044091202022344955,0,-0.000986954596903348,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2700,2022-03-11,True,11,0.0021550050020151673,0,-0.0015836932518351358,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2705,2022-03-18,True,11,-0.004318462793282296,0,-0.0009951961795353662,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2710,2022-03-25,True,11,0.002089091268277221,0,-0.0015777010942225952,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2715,2022-04-01,True,11,-0.004249216067536976,0,-0.0010014913364213044,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2718,2022-04-08,True,11,-0.004254150218914954,0,-0.0010010427772051246,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2723,2022-04-15,True,11,-0.004142543612092653,0,-0.0010111888323707885,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2728,2022-04-22,True,11,0.0024183076357112143,0,-0.0016076298548984127,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2733,2022-04-29,True,11,-0.0035448598283266963,1,-0.0010655237218040571,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2735,2022-05-06,True,11,0.0035482887001777597,0,-0.0017103554062135532,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2740,2022-05-13,True,11,0.00336265608939762,0,-0.0016934797143244495,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_market,negative_high,2745,2022-05-20,True,11,-0.003920616741362237,0,-0.0010313640024371899,1,True,True,accepted,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2690,2022-02-25,False,11,-0.005430142414749151,0,-0.0012163456554656312,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2700,2022-03-11,False,11,0.0026916397681690934,0,-0.0019546894902763806,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2705,2022-03-18,False,11,-0.005228303713996241,0,-0.0012346946282613504,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2710,2022-03-25,False,11,0.0026480435726953105,0,-0.0019507261997787641,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2715,2022-04-01,False,11,-0.005221775101626136,0,-0.0012352881384768144,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2718,2022-04-08,False,11,-0.005193558031516388,0,-0.0012378533266686096,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2723,2022-04-15,False,11,-0.005145380231377228,0,-0.0012422331266812607,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2728,2022-04-22,False,11,0.002959943353548905,0,-0.0019790807253109092,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2733,2022-04-29,False,11,-0.004526028994724374,0,-0.0012985377845587927,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2735,2022-05-06,False,11,0.004357799623839614,-1,-0.00210615856806461,0,True,True,accepted,True,True,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2740,2022-05-13,False,11,0.004124202383650133,0,-0.0020849224553201114,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_vol_interaction,negative_high,2745,2022-05-20,False,11,-0.004846384838784634,0,-0.00126941452600786,-1,False,False,direction_worse,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2690,2022-02-25,True,11,-0.00498603857669877,0,-0.0011211607606273072,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2700,2022-03-11,True,11,0.0025256493405142744,0,-0.0018040414803739476,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2705,2022-03-18,True,11,-0.004793232949624693,0,-0.0011386885449067687,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2710,2022-03-25,True,11,0.0024347121089383778,0,-0.0017957744593215933,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2715,2022-04-01,True,11,-0.004804683883899541,0,-0.0011376475508817826,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2718,2022-04-08,True,11,-0.004739334490722169,0,-0.001143588404806998,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2723,2022-04-15,True,11,-0.0047244938230808775,0,-0.001144937556410752,0,True,True,accepted,False,False,False
monthly,2022-05-31,learned_order_extension,negative_high,2728,2022-04-22,True,11,0.0027227833267901846,0,-0.0018219627518535758,0,True,True,accepted,False,False,False
