cutoff,fit_cutoff,mode,family,component,method,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference,baseline_brier,candidate_brier
2020-12-31,,annual_reset,state,negative_low,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_low,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_low,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_low,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_order_offset,0,False,annual_reset,0,0,0,,,
2021-01-31,2021-01-07,q1_guard,state,negative_low,learned_market,0,False,q1_guard,0,0,0,,,
2021-01-31,2021-01-07,q1_guard,state,negative_high,learned_market,0,False,q1_guard,0,0,0,,,
2021-01-31,2021-01-07,q1_guard,state,nonnegative_low,learned_market,0,False,q1_guard,1,0,0,0.0,0.25761014043989133,0.25761014043989133
2021-01-31,2021-01-07,q1_guard,state,nonnegative_high,learned_market,0,False,q1_guard,1,0,0,0.0,0.4032117582788046,0.4032117582788046
2021-01-31,2021-01-07,q1_guard,state,negative_low,learned_vol_interaction,0,False,q1_guard,0,0,0,,,
2021-01-31,2021-01-07,q1_guard,state,negative_high,learned_vol_interaction,0,False,q1_guard,0,0,0,,,
2021-01-31,2021-01-07,q1_guard,state,nonnegative_low,learned_vol_interaction,0,False,q1_guard,1,0,0,0.0,0.2501109912841414,0.2501109912841414
2021-01-31,2021-01-07,q1_guard,state,nonnegative_high,learned_vol_interaction,0,False,q1_guard,1,0,0,0.0,0.4153647269615809,0.4153647269615809
2021-01-31,2021-01-07,q1_guard,state,negative_low,learned_order_extension,0,False,q1_guard,0,0,0,,,
