history,method,row_index,date,year,cutoff,state,action,original_accepted,original_reason,retention_reason,source_cutoff,expiry,source_age_days,used_retained_source,probability,annual_probability,monthly_probability,quarterly_probability,actual_up,changed_vs_annual,changed_vs_monthly,changed_vs_quarterly,case_vs_annual,case_vs_monthly,case_vs_quarterly,brier_vs_annual,brier_vs_monthly,brier_vs_quarterly
monthly_state_retained,learned_market,3247,2024-06-14,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,75.0,True,0.5059337652389141,0.5416875752489646,0.5416875752489646,0.5059337652389141,0,True,True,False,stable_wrong,stable_wrong,stable_wrong,-0.03745645437027806,-0.03745645437027806,0.0
monthly_state_retained,learned_market,3252,2024-06-21,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,82.0,True,0.41736667065654703,0.4542900377046634,0.4542900377046634,0.41736667065654703,0,True,True,False,stable_correct,stable_correct,stable_correct,-0.03218450058277392,-0.03218450058277392,0.0
monthly_state_retained,learned_market,3257,2024-06-28,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,89.0,True,0.45595750040282024,0.4931675128202729,0.4931675128202729,0.45595750040282024,0,True,True,False,stable_correct,stable_correct,stable_correct,-0.03531695352774619,-0.03531695352774619,0.0
monthly_state_retained,learned_vol_interaction,3247,2024-06-14,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,75.0,True,0.5232038708072477,0.5584791526608086,0.5584791526608086,0.5232038708072477,0,True,True,False,stable_wrong,stable_wrong,stable_wrong,-0.03815667352904761,-0.03815667352904761,0.0
monthly_state_retained,learned_vol_interaction,3252,2024-06-21,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,82.0,True,0.42268552581263297,0.4604199303772714,0.4604199303772714,0.42268552581263297,0,True,True,False,stable_correct,stable_correct,stable_correct,-0.03332345855710944,-0.03332345855710944,0.0
monthly_state_retained,learned_vol_interaction,3257,2024-06-28,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,89.0,True,0.46794120971168657,0.5056290351926859,0.5056290351926859,0.46794120971168657,0,True,True,False,recovery,recovery,stable_correct,-0.03669174548344975,-0.03669174548344975,0.0
monthly_state_retained,learned_order_extension,3247,2024-06-14,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,75.0,True,0.5248624673858119,0.5607880655537296,0.5607880655537296,0.5248624673858119,0,True,True,False,stable_wrong,stable_wrong,stable_wrong,-0.03900264479717169,-0.03900264479717169,0.0
monthly_state_retained,learned_order_extension,3252,2024-06-21,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,82.0,True,0.4291914321261599,0.4673270236910448,0.4673270236910448,0.4291914321261599,0,True,True,False,stable_correct,stable_correct,stable_correct,-0.03418926166142622,-0.03418926166142622,0.0
monthly_state_retained,learned_order_extension,3257,2024-06-28,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,89.0,True,0.4741074325204293,0.5123655404125426,0.5123655404125426,0.4741074325204293,0,True,True,False,recovery,recovery,stable_correct,-0.03774058943112338,-0.03774058943112338,0.0
monthly_state_retained,learned_order_offset,3247,2024-06-14,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,75.0,True,0.5243598334991827,0.5604655861638478,0.5604655861638478,0.5243598334991827,0,True,True,False,stable_wrong,stable_wrong,stable_wrong,-0.03916843828669492,-0.03916843828669492,0.0
monthly_state_retained,learned_order_offset,3252,2024-06-21,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,82.0,True,0.4290757694679988,0.46735148800315107,0.46735148800315107,0.4290757694679988,0,True,True,False,stable_correct,stable_correct,stable_correct,-0.03431139739420422,-0.03431139739420422,0.0
monthly_state_retained,learned_order_offset,3257,2024-06-28,2024,2024-05-31,negative_low,carry,False,insufficient_validation,retained_validation_shortage,2024-03-31,2024-06-30,89.0,True,0.4749597738997617,0.5133813368585365,0.5133813368585365,0.4749597738997617,0,True,True,False,recovery,recovery,stable_correct,-0.03797361021174536,-0.03797361021174536,0.0
