             period                 history                  method  correct_directions   n    brier
extension_2021_2023  monthly_state_retained learned_order_extension                  67 147 0.275831
extension_2021_2023  monthly_state_retained    learned_order_offset                  67 147 0.275735
extension_2021_2023  monthly_state_retained learned_vol_interaction                  70 147 0.277601
extension_2021_2023 monthly_state_validated learned_order_extension                  67 147 0.275831
extension_2021_2023 monthly_state_validated    learned_order_offset                  67 147 0.275735
extension_2021_2023 monthly_state_validated learned_vol_interaction                  70 147 0.277601
extension_2021_2023       rolling5_annual20 learned_order_extension                  68 147 0.276195
extension_2021_2023       rolling5_annual20    learned_order_offset                  68 147 0.276108
extension_2021_2023       rolling5_annual20 learned_vol_interaction                  71 147 0.277967
extension_2021_2023  weekly_state_validated learned_order_extension                  69 147 0.275610
extension_2021_2023  weekly_state_validated    learned_order_offset                  69 147 0.275517
extension_2021_2023  weekly_state_validated learned_vol_interaction                  72 147 0.277416
   recent_2024_2026  monthly_state_retained learned_order_extension                  72 125 0.249036
   recent_2024_2026  monthly_state_retained    learned_order_offset                  71 125 0.249054
   recent_2024_2026  monthly_state_retained learned_vol_interaction                  69 125 0.246550
   recent_2024_2026 monthly_state_validated learned_order_extension                  71 125 0.249923
   recent_2024_2026 monthly_state_validated    learned_order_offset                  70 125 0.249946
   recent_2024_2026 monthly_state_validated learned_vol_interaction                  68 125 0.247415
   recent_2024_2026       rolling5_annual20 learned_order_extension                  72 125 0.249790
   recent_2024_2026       rolling5_annual20    learned_order_offset                  71 125 0.249824
   recent_2024_2026       rolling5_annual20 learned_vol_interaction                  68 125 0.246843
   recent_2024_2026  weekly_state_validated learned_order_extension                  73 125 0.248903
   recent_2024_2026  weekly_state_validated    learned_order_offset                  72 125 0.248933
   recent_2024_2026  weekly_state_validated learned_vol_interaction                  69 125 0.246156
          year_2026  monthly_state_retained learned_order_extension                  16  30 0.257140
          year_2026  monthly_state_retained    learned_order_offset                  16  30 0.257098
          year_2026  monthly_state_retained learned_vol_interaction                  12  30 0.258700
          year_2026 monthly_state_validated learned_order_extension                  16  30 0.257140
          year_2026 monthly_state_validated    learned_order_offset                  16  30 0.257098
          year_2026 monthly_state_validated learned_vol_interaction                  12  30 0.258700
          year_2026       rolling5_annual20 learned_order_extension                  16  30 0.257140
          year_2026       rolling5_annual20    learned_order_offset                  16  30 0.257098
          year_2026       rolling5_annual20 learned_vol_interaction                  12  30 0.257501
          year_2026  weekly_state_validated learned_order_extension                  16  30 0.257140
          year_2026  weekly_state_validated    learned_order_offset                  16  30 0.257098
          year_2026  weekly_state_validated learned_vol_interaction                  12  30 0.258700

EXIT_CODE=0
