period,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
extension_2021_2023,learned_market,rolling5_annual20,147,16,2,0,-0.00030886636594408583
extension_2021_2023,learned_market,monthly_state_validated,147,0,0,0,0.0
extension_2021_2023,learned_market,weekly_state_validated,147,13,0,0,0.00020821744827837413
extension_2021_2023,learned_vol_interaction,rolling5_annual20,147,15,1,2,-0.0003662426366003939
extension_2021_2023,learned_vol_interaction,monthly_state_validated,147,0,0,0,0.0
extension_2021_2023,learned_vol_interaction,weekly_state_validated,147,12,0,2,0.00018437910928810296
extension_2021_2023,learned_order_extension,rolling5_annual20,147,16,1,2,-0.0003634591813426043
extension_2021_2023,learned_order_extension,monthly_state_validated,147,0,0,0,0.0
extension_2021_2023,learned_order_extension,weekly_state_validated,147,13,0,2,0.00022076747147397571
extension_2021_2023,learned_order_offset,rolling5_annual20,147,16,1,2,-0.0003728763389244849
extension_2021_2023,learned_order_offset,monthly_state_validated,147,0,0,0,0.0
extension_2021_2023,learned_order_offset,weekly_state_validated,147,13,0,2,0.0002184485881970532
recent_2024_2026,learned_market,rolling5_annual20,125,13,0,1,-0.0004232779114635393
recent_2024_2026,learned_market,monthly_state_validated,125,3,0,0,-0.0008396632678463853
recent_2024_2026,learned_market,weekly_state_validated,125,7,0,0,0.0002515992219541271
recent_2024_2026,learned_vol_interaction,rolling5_annual20,125,21,2,1,-0.00029273974094647706
recent_2024_2026,learned_vol_interaction,monthly_state_validated,125,3,1,0,-0.0008653750205568544
recent_2024_2026,learned_vol_interaction,weekly_state_validated,125,15,1,1,0.0003937674787884312
recent_2024_2026,learned_order_extension,rolling5_annual20,125,21,2,2,-0.0007542915855846456
recent_2024_2026,learned_order_extension,monthly_state_validated,125,3,1,0,-0.0008874599671177704
recent_2024_2026,learned_order_extension,weekly_state_validated,125,18,1,2,0.00013316838153312472
recent_2024_2026,learned_order_offset,rolling5_annual20,125,21,2,2,-0.0007699339699529043
recent_2024_2026,learned_order_offset,monthly_state_validated,125,3,1,0,-0.000891627567141156
recent_2024_2026,learned_order_offset,weekly_state_validated,125,18,1,2,0.00012169359718825179
pooled_2021_2026,learned_market,rolling5_annual20,272,29,2,1,-0.0003614452012011876
pooled_2021_2026,learned_market,monthly_state_validated,272,3,0,0,-0.00038587466353234623
pooled_2021_2026,learned_market,weekly_state_validated,272,20,0,0,0.00022815392515142236
pooled_2021_2026,learned_vol_interaction,rolling5_annual20,272,36,3,3,-0.0003324637323476748
pooled_2021_2026,learned_vol_interaction,monthly_state_validated,272,3,1,0,-0.0003976907263588485
pooled_2021_2026,learned_vol_interaction,weekly_state_validated,272,27,1,3,0.0002806053820364156
pooled_2021_2026,learned_order_extension,rolling5_annual20,272,37,3,4,-0.0005430696612332483
pooled_2021_2026,learned_order_extension,monthly_state_validated,272,3,1,0,-0.000407840058418093
pooled_2021_2026,learned_order_extension,weekly_state_validated,272,31,1,4,0.0001805105367585111
pooled_2021_2026,learned_order_offset,rolling5_annual20,272,37,3,4,-0.0005553476767132806
pooled_2021_2026,learned_order_offset,monthly_state_validated,272,3,1,0,-0.00040975531578178124
pooled_2021_2026,learned_order_offset,weekly_state_validated,272,31,1,4,0.0001739839783584496
year_2021,learned_market,rolling5_annual20,50,0,0,0,0.0
year_2021,learned_market,monthly_state_validated,50,0,0,0,0.0
year_2021,learned_market,weekly_state_validated,50,0,0,0,0.0
year_2021,learned_vol_interaction,rolling5_annual20,50,0,0,0,0.0
year_2021,learned_vol_interaction,monthly_state_validated,50,0,0,0,0.0
year_2021,learned_vol_interaction,weekly_state_validated,50,0,0,0,0.0
year_2021,learned_order_extension,rolling5_annual20,50,0,0,0,0.0
year_2021,learned_order_extension,monthly_state_validated,50,0,0,0,0.0
year_2021,learned_order_extension,weekly_state_validated,50,0,0,0,0.0
year_2021,learned_order_offset,rolling5_annual20,50,0,0,0,0.0
year_2021,learned_order_offset,monthly_state_validated,50,0,0,0,0.0
year_2021,learned_order_offset,weekly_state_validated,50,0,0,0,0.0
year_2022,learned_market,rolling5_annual20,49,4,0,0,0.000483288384314054
year_2022,learned_market,monthly_state_validated,49,0,0,0,0.0
year_2022,learned_market,weekly_state_validated,49,4,0,0,0.000483288384314054
year_2022,learned_vol_interaction,rolling5_annual20,49,3,0,2,0.0004144813309214529
year_2022,learned_vol_interaction,monthly_state_validated,49,0,0,0,0.0
year_2022,learned_vol_interaction,weekly_state_validated,49,3,0,2,0.0004144813309214529
year_2022,learned_order_extension,rolling5_annual20,49,4,0,2,0.000532941038605468
year_2022,learned_order_extension,monthly_state_validated,49,0,0,0,0.0
year_2022,learned_order_extension,weekly_state_validated,49,4,0,2,0.000532941038605468
year_2022,learned_order_offset,rolling5_annual20,49,4,0,2,0.0005285706387765745
year_2022,learned_order_offset,monthly_state_validated,49,0,0,0,0.0
year_2022,learned_order_offset,weekly_state_validated,49,4,0,2,0.0005285706387765745
