origin_id,checkpoint,row_index,date,joint_completed,in_rolling13
2022-05-31:learned_market:negative_high,2022-06-30,2750,2022-05-27,2022-06-13,True
2022-05-31:learned_market:negative_high,2022-06-30,2759,2022-06-10,2022-06-20,True
2022-05-31:learned_order_extension:negative_high,2022-06-30,2750,2022-05-27,2022-06-13,True
2022-05-31:learned_order_extension:negative_high,2022-06-30,2759,2022-06-10,2022-06-20,True
2022-05-31:learned_order_offset:negative_high,2022-06-30,2750,2022-05-27,2022-06-13,True
2022-05-31:learned_order_offset:negative_high,2022-06-30,2759,2022-06-10,2022-06-20,True
2022-11-30:learned_market:negative_high,2022-12-31,2873,2022-11-25,2022-12-05,True
2022-11-30:learned_market:negative_high,2022-12-31,2878,2022-12-02,2022-12-12,True
2022-11-30:learned_market:negative_high,2022-12-31,2883,2022-12-09,2022-12-19,True
2022-11-30:learned_order_extension:negative_high,2022-12-31,2873,2022-11-25,2022-12-05,True
2022-11-30:learned_order_extension:negative_high,2022-12-31,2878,2022-12-02,2022-12-12,True
2022-11-30:learned_order_extension:negative_high,2022-12-31,2883,2022-12-09,2022-12-19,True
2022-11-30:learned_order_offset:negative_high,2022-12-31,2873,2022-11-25,2022-12-05,True
2022-11-30:learned_order_offset:negative_high,2022-12-31,2878,2022-12-02,2022-12-12,True
2022-11-30:learned_order_offset:negative_high,2022-12-31,2883,2022-12-09,2022-12-19,True
2022-11-30:learned_vol_interaction:negative_high,2022-12-31,2873,2022-11-25,2022-12-05,True
2022-11-30:learned_vol_interaction:negative_high,2022-12-31,2878,2022-12-02,2022-12-12,True
2022-11-30:learned_vol_interaction:negative_high,2022-12-31,2883,2022-12-09,2022-12-19,True
2023-09-30:learned_market:negative_low,2023-10-31,3076,2023-09-22,2023-10-16,True
2023-09-30:learned_market:negative_low,2023-10-31,3085,2023-10-13,2023-10-23,True
2023-09-30:learned_market:negative_low,2023-10-31,3090,2023-10-20,2023-10-30,True
2023-09-30:learned_market:negative_low,2023-11-30,3076,2023-09-22,2023-10-16,True
2023-09-30:learned_market:negative_low,2023-11-30,3085,2023-10-13,2023-10-23,True
2023-09-30:learned_market:negative_low,2023-11-30,3090,2023-10-20,2023-10-30,True
2023-09-30:learned_market:negative_low,2023-11-30,3095,2023-10-27,2023-11-06,True
2023-09-30:learned_market:negative_low,2023-11-30,3100,2023-11-03,2023-11-13,True
2023-09-30:learned_market:negative_low,2023-11-30,3105,2023-11-10,2023-11-20,True
2023-09-30:learned_market:negative_low,2023-11-30,3110,2023-11-17,2023-11-27,True
2023-09-30:learned_market:negative_low,2023-12-31,3076,2023-09-22,2023-10-16,True
2023-09-30:learned_market:negative_low,2023-12-31,3085,2023-10-13,2023-10-23,True
2023-09-30:learned_market:negative_low,2023-12-31,3090,2023-10-20,2023-10-30,True
2023-09-30:learned_market:negative_low,2023-12-31,3095,2023-10-27,2023-11-06,True
2023-09-30:learned_market:negative_low,2023-12-31,3100,2023-11-03,2023-11-13,True
2023-09-30:learned_market:negative_low,2023-12-31,3105,2023-11-10,2023-11-20,True
2023-09-30:learned_market:negative_low,2023-12-31,3110,2023-11-17,2023-11-27,True
2023-09-30:learned_market:negative_low,2023-12-31,3115,2023-11-24,2023-12-04,True
2023-09-30:learned_market:negative_low,2023-12-31,3120,2023-12-01,2023-12-11,True
2023-09-30:learned_market:negative_low,2023-12-31,3125,2023-12-08,2023-12-18,True
2023-09-30:learned_market:negative_low,2023-12-31,3130,2023-12-15,2023-12-25,True
2023-09-30:learned_order_extension:negative_low,2023-10-31,3076,2023-09-22,2023-10-16,True
2023-09-30:learned_order_extension:negative_low,2023-10-31,3085,2023-10-13,2023-10-23,True
2023-09-30:learned_order_extension:negative_low,2023-10-31,3090,2023-10-20,2023-10-30,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3076,2023-09-22,2023-10-16,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3085,2023-10-13,2023-10-23,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3090,2023-10-20,2023-10-30,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3095,2023-10-27,2023-11-06,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3100,2023-11-03,2023-11-13,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3105,2023-11-10,2023-11-20,True
2023-09-30:learned_order_extension:negative_low,2023-11-30,3110,2023-11-17,2023-11-27,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3076,2023-09-22,2023-10-16,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3085,2023-10-13,2023-10-23,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3090,2023-10-20,2023-10-30,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3095,2023-10-27,2023-11-06,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3100,2023-11-03,2023-11-13,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3105,2023-11-10,2023-11-20,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3110,2023-11-17,2023-11-27,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3115,2023-11-24,2023-12-04,True
2023-09-30:learned_order_extension:negative_low,2023-12-31,3120,2023-12-01,2023-12-11,True
