origin_id,event_id,source_cutoff,method,state,expiry,checkpoint,observed,preexpiry,metadata_only_extended_cutoff,cumulative_n,rolling13_n,dropped_from_rolling13
2022-05-31:learned_market:negative_high,2022-05-31:negative_high,2022-05-31,learned_market,negative_high,2022-06-30,2022-06-30,True,False,False,2.0,2.0,0.0
2022-05-31:learned_order_extension:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_extension,negative_high,2022-06-30,2022-06-30,True,False,False,2.0,2.0,0.0
2022-05-31:learned_order_offset:negative_high,2022-05-31:negative_high,2022-05-31,learned_order_offset,negative_high,2022-06-30,2022-06-30,True,False,False,2.0,2.0,0.0
2022-06-30:learned_market:negative_high,2022-06-30:negative_high,2022-06-30,learned_market,negative_high,2022-09-30,2022-07-31,True,True,False,0.0,0.0,0.0
2022-06-30:learned_market:negative_high,2022-06-30:negative_high,2022-06-30,learned_market,negative_high,2022-09-30,2022-08-31,True,True,False,0.0,0.0,0.0
2022-06-30:learned_market:negative_high,2022-06-30:negative_high,2022-06-30,learned_market,negative_high,2022-09-30,2022-09-30,True,False,False,0.0,0.0,0.0
2022-06-30:learned_order_extension:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_extension,negative_high,2022-09-30,2022-07-31,True,True,False,0.0,0.0,0.0
2022-06-30:learned_order_extension:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_extension,negative_high,2022-09-30,2022-08-31,True,True,False,0.0,0.0,0.0
2022-06-30:learned_order_extension:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_extension,negative_high,2022-09-30,2022-09-30,True,False,False,0.0,0.0,0.0
2022-06-30:learned_order_offset:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_offset,negative_high,2022-09-30,2022-07-31,True,True,False,0.0,0.0,0.0
2022-06-30:learned_order_offset:negative_high,2022-06-30:negative_high,2022-06-30,learned_order_offset,negative_high,2022-09-30,2022-08-31,True,True,False,0.0,0.0,0.0
