history,cutoff,method,row_index,date,state,family,component,fit_eligible,validation_accepted,gate_reason,year,probability,actual_up,annual_probability,changed_vs_annual,case_vs_annual,brier_vs_annual,quarter4_probability,changed_vs_quarter4,case_vs_quarter4,brier_vs_quarter4
quarter_trend2_validated,2025-12-31,learned_market,3630,2026-01-09,nonnegative_low,trend,nonnegative,False,False,annual_reset,2026,0.5247528297004517,0,0.5247528297004517,False,stable_wrong,0.0,0.5247528297004517,False,stable_wrong,0.0
quarter_volatility2_validated,2025-12-31,learned_market,3630,2026-01-09,nonnegative_low,volatility,low,False,False,annual_reset,2026,0.5247528297004517,0,0.5247528297004517,False,stable_wrong,0.0,0.5247528297004517,False,stable_wrong,0.0
quarter_trend2_validated,2025-12-31,learned_market,3635,2026-01-16,nonnegative_low,trend,nonnegative,False,False,annual_reset,2026,0.5358343724082923,0,0.5358343724082923,False,stable_wrong,0.0,0.5358343724082923,False,stable_wrong,0.0
quarter_volatility2_validated,2025-12-31,learned_market,3635,2026-01-16,nonnegative_low,volatility,low,False,False,annual_reset,2026,0.5358343724082923,0,0.5358343724082923,False,stable_wrong,0.0,0.5358343724082923,False,stable_wrong,0.0
quarter_trend2_validated,2025-12-31,learned_market,3640,2026-01-23,negative_low,trend,negative,False,False,annual_reset,2026,0.4292369877583089,0,0.4292369877583089,False,stable_correct,0.0,0.4292369877583089,False,stable_correct,0.0
quarter_volatility2_validated,2025-12-31,learned_market,3640,2026-01-23,negative_low,volatility,low,False,False,annual_reset,2026,0.4292369877583089,0,0.4292369877583089,False,stable_correct,0.0,0.4292369877583089,False,stable_correct,0.0
quarter_trend2_validated,2025-12-31,learned_market,3645,2026-01-30,nonnegative_low,trend,nonnegative,False,False,annual_reset,2026,0.4591640849676522,1,0.4591640849676522,False,stable_wrong,0.0,0.4591640849676522,False,stable_wrong,0.0
quarter_volatility2_validated,2025-12-31,learned_market,3645,2026-01-30,nonnegative_low,volatility,low,False,False,annual_reset,2026,0.4591640849676522,1,0.4591640849676522,False,stable_wrong,0.0,0.4591640849676522,False,stable_wrong,0.0
quarter_trend2_validated,2025-12-31,learned_market,3650,2026-02-06,negative_low,trend,negative,False,False,annual_reset,2026,0.5097015271695778,1,0.5097015271695778,False,stable_correct,0.0,0.5097015271695778,False,stable_correct,0.0
quarter_volatility2_validated,2025-12-31,learned_market,3650,2026-02-06,negative_low,volatility,low,False,False,annual_reset,2026,0.5097015271695778,1,0.5097015271695778,False,stable_correct,0.0,0.5097015271695778,False,stable_correct,0.0
