period,history,method,n,fit_eligible_weeks,validation_accepted_weeks,changed_probability_weeks
extension_2021_2023,quarter_trend2_validated,learned_market,147,62,24,24
extension_2021_2023,quarter_trend2_validated,learned_order_extension,147,62,24,24
extension_2021_2023,quarter_trend2_validated,learned_order_offset,147,62,24,24
extension_2021_2023,quarter_trend2_validated,learned_vol_interaction,147,62,24,24
extension_2021_2023,quarter_volatility2_validated,learned_market,147,62,18,18
extension_2021_2023,quarter_volatility2_validated,learned_order_extension,147,62,18,18
extension_2021_2023,quarter_volatility2_validated,learned_order_offset,147,62,14,14
extension_2021_2023,quarter_volatility2_validated,learned_vol_interaction,147,62,14,14
recent_2024_2026,quarter_trend2_validated,learned_market,125,91,2,2
recent_2024_2026,quarter_trend2_validated,learned_order_extension,125,91,0,0
recent_2024_2026,quarter_trend2_validated,learned_order_offset,125,91,0,0
recent_2024_2026,quarter_trend2_validated,learned_vol_interaction,125,91,2,2
recent_2024_2026,quarter_volatility2_validated,learned_market,125,80,40,40
recent_2024_2026,quarter_volatility2_validated,learned_order_extension,125,80,34,34
recent_2024_2026,quarter_volatility2_validated,learned_order_offset,125,80,34,34
recent_2024_2026,quarter_volatility2_validated,learned_vol_interaction,125,80,42,42
pooled_2021_2026,quarter_trend2_validated,learned_market,272,153,26,26
pooled_2021_2026,quarter_trend2_validated,learned_order_extension,272,153,24,24
pooled_2021_2026,quarter_trend2_validated,learned_order_offset,272,153,24,24
pooled_2021_2026,quarter_trend2_validated,learned_vol_interaction,272,153,26,26
pooled_2021_2026,quarter_volatility2_validated,learned_market,272,142,58,58
pooled_2021_2026,quarter_volatility2_validated,learned_order_extension,272,142,52,52
pooled_2021_2026,quarter_volatility2_validated,learned_order_offset,272,142,48,48
pooled_2021_2026,quarter_volatility2_validated,learned_vol_interaction,272,142,56,56
year_2021,quarter_trend2_validated,learned_market,50,0,0,0
year_2021,quarter_trend2_validated,learned_order_extension,50,0,0,0
year_2021,quarter_trend2_validated,learned_order_offset,50,0,0,0
year_2021,quarter_trend2_validated,learned_vol_interaction,50,0,0,0
year_2021,quarter_volatility2_validated,learned_market,50,0,0,0
year_2021,quarter_volatility2_validated,learned_order_extension,50,0,0,0
year_2021,quarter_volatility2_validated,learned_order_offset,50,0,0,0
year_2021,quarter_volatility2_validated,learned_vol_interaction,50,0,0,0
year_2022,quarter_trend2_validated,learned_market,49,26,2,2
year_2022,quarter_trend2_validated,learned_order_extension,49,26,2,2
year_2022,quarter_trend2_validated,learned_order_offset,49,26,2,2
year_2022,quarter_trend2_validated,learned_vol_interaction,49,26,2,2
year_2022,quarter_volatility2_validated,learned_market,49,26,6,6
year_2022,quarter_volatility2_validated,learned_order_extension,49,26,6,6
year_2022,quarter_volatility2_validated,learned_order_offset,49,26,2,2
year_2022,quarter_volatility2_validated,learned_vol_interaction,49,26,2,2
year_2023,quarter_trend2_validated,learned_market,48,36,22,22
year_2023,quarter_trend2_validated,learned_order_extension,48,36,22,22
year_2023,quarter_trend2_validated,learned_order_offset,48,36,22,22
year_2023,quarter_trend2_validated,learned_vol_interaction,48,36,22,22
year_2023,quarter_volatility2_validated,learned_market,48,36,12,12
year_2023,quarter_volatility2_validated,learned_order_extension,48,36,12,12
year_2023,quarter_volatility2_validated,learned_order_offset,48,36,12,12
year_2023,quarter_volatility2_validated,learned_vol_interaction,48,36,12,12
year_2024,quarter_trend2_validated,learned_market,47,36,0,0
year_2024,quarter_trend2_validated,learned_order_extension,47,36,0,0
year_2024,quarter_trend2_validated,learned_order_offset,47,36,0,0
year_2024,quarter_trend2_validated,learned_vol_interaction,47,36,0,0
year_2024,quarter_volatility2_validated,learned_market,47,25,23,23
year_2024,quarter_volatility2_validated,learned_order_extension,47,25,25,25
year_2024,quarter_volatility2_validated,learned_order_offset,47,25,25,25
year_2024,quarter_volatility2_validated,learned_vol_interaction,47,25,25,25
year_2025,quarter_trend2_validated,learned_market,48,36,0,0
year_2025,quarter_trend2_validated,learned_order_extension,48,36,0,0
year_2025,quarter_trend2_validated,learned_order_offset,48,36,0,0
year_2025,quarter_trend2_validated,learned_vol_interaction,48,36,0,0
year_2025,quarter_volatility2_validated,learned_market,48,36,9,9
year_2025,quarter_volatility2_validated,learned_order_extension,48,36,9,9
year_2025,quarter_volatility2_validated,learned_order_offset,48,36,9,9
year_2025,quarter_volatility2_validated,learned_vol_interaction,48,36,9,9
year_2026,quarter_trend2_validated,learned_market,30,19,2,2
year_2026,quarter_trend2_validated,learned_order_extension,30,19,0,0
year_2026,quarter_trend2_validated,learned_order_offset,30,19,0,0
year_2026,quarter_trend2_validated,learned_vol_interaction,30,19,2,2
year_2026,quarter_volatility2_validated,learned_market,30,19,8,8
year_2026,quarter_volatility2_validated,learned_order_extension,30,19,0,0
year_2026,quarter_volatility2_validated,learned_order_offset,30,19,0,0
year_2026,quarter_volatility2_validated,learned_vol_interaction,30,19,8,8
