cutoff,mode,method,family,component,state,training_n,parent_training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference
2020-12-31,annual_reset,learned_market,trend,negative,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,trend,negative,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,trend,nonnegative,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,trend,nonnegative,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,volatility,low,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,volatility,high,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,volatility,low,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_market,volatility,high,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,trend,negative,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,trend,negative,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,trend,nonnegative,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,trend,nonnegative,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,volatility,low,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,volatility,high,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,volatility,low,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_vol_interaction,volatility,high,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,trend,negative,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,trend,negative,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,trend,nonnegative,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,trend,nonnegative,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,volatility,low,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,volatility,high,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,volatility,low,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_extension,volatility,high,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,trend,negative,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,trend,negative,negative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,trend,nonnegative,nonnegative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,trend,nonnegative,nonnegative_high,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,volatility,low,negative_low,0,0,False,annual_reset,0,0,0,
2020-12-31,annual_reset,learned_order_offset,volatility,high,negative_high,0,0,False,annual_reset,0,0,0,
