cutoff,fit_cutoff,mode,family,component,method,training_n,accepted,reason,validation_n,baseline_correct,candidate_correct,brier_difference,baseline_brier,candidate_brier
2020-12-31,,annual_reset,state,negative_low,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,global,all,learned_market,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_low,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,global,all,learned_vol_interaction,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_low,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,global,all,learned_order_extension,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_low,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,negative_high,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_low,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,state,nonnegative_high,learned_order_offset,0,False,annual_reset,0,0,0,,,
2020-12-31,,annual_reset,global,all,learned_order_offset,0,False,annual_reset,0,0,0,,,
2021-03-31,2021-01-07,insufficient_history,state,negative_low,learned_market,0,False,insufficient_history,0,0,0,,,
2021-03-31,2021-01-07,insufficient_history,state,negative_high,learned_market,0,False,insufficient_history,1,1,1,0.0,0.1888567486965682,0.1888567486965682
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_low,learned_market,0,False,insufficient_history,1,0,0,0.0,0.25761014043989133,0.25761014043989133
2021-03-31,2021-01-07,insufficient_history,state,nonnegative_high,learned_market,0,False,insufficient_history,8,5,5,0.0,0.24043329433083993,0.24043329433083993
2021-03-31,2021-01-07,insufficient_history,global,all,learned_market,0,False,insufficient_history,10,6,6,0.0,0.23699332437831794,0.23699332437831794
2021-03-31,2021-01-07,insufficient_history,state,negative_low,learned_vol_interaction,0,False,insufficient_history,0,0,0,,,
