period,history,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
extension_2021_2023,annual_head_timeweight2y,learned_market,rolling5_annual20,147,147,9,6,-0.0053444292401818375
extension_2021_2023,annual_head_timeweight2y,learned_market,weekly_state_validated,147,147,7,6,-0.004827345425959379
extension_2021_2023,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,147,147,7,4,-0.00621520741687812
extension_2021_2023,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,147,147,6,4,-0.00563098076406154
extension_2021_2023,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,147,147,6,4,-0.0058847111265281265
extension_2021_2023,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,147,147,5,4,-0.005293386199406589
extension_2021_2023,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,147,147,5,6,-0.004998474997480824
extension_2021_2023,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,147,147,4,6,-0.004447853251592328
recent_2024_2026,annual_head_timeweight2y,learned_market,rolling5_annual20,125,125,8,7,0.004120217137098971
recent_2024_2026,annual_head_timeweight2y,learned_market,weekly_state_validated,125,125,9,7,0.004795094270516637
recent_2024_2026,annual_head_timeweight2y,learned_order_extension,rolling5_annual20,125,125,7,15,0.005967916068332713
recent_2024_2026,annual_head_timeweight2y,learned_order_extension,weekly_state_validated,125,125,7,16,0.0068553760354504835
recent_2024_2026,annual_head_timeweight2y,learned_order_offset,rolling5_annual20,125,125,8,14,0.0060201259014303924
recent_2024_2026,annual_head_timeweight2y,learned_order_offset,weekly_state_validated,125,125,8,15,0.0069117534685715475
recent_2024_2026,annual_head_timeweight2y,learned_vol_interaction,rolling5_annual20,125,125,7,9,0.005224382996912942
recent_2024_2026,annual_head_timeweight2y,learned_vol_interaction,weekly_state_validated,125,125,7,10,0.00591089021664785
pooled_2021_2026,annual_head_timeweight2y,learned_market,rolling5_annual20,272,272,17,13,-0.0009948674859167604
