representation,variant,seed,first_logged_step_at_mse_0_1
bits,joint_ohlcv,20260910,50
bits,joint_ohlcv,20260911,100
bits,joint_ohlcv,20260912,100
bits,return_nonzero,20260910,100
bits,return_nonzero,20260911,50
bits,return_nonzero,20260912,100
bits,return_zero,20260910,50
bits,return_zero,20260911,50
bits,return_zero,20260912,100
continuous,joint_ohlcv,20260910,50
continuous,joint_ohlcv,20260911,100
continuous,joint_ohlcv,20260912,100
continuous,return_nonzero,20260910,100
continuous,return_nonzero,20260911,100
continuous,return_nonzero,20260912,100
continuous,return_zero,20260910,50
continuous,return_zero,20260911,50
continuous,return_zero,20260912,50
raw,joint_ohlcv,20260910,50
raw,joint_ohlcv,20260911,100
raw,joint_ohlcv,20260912,200
raw,return_nonzero,20260910,100
raw,return_nonzero,20260911,50
raw,return_nonzero,20260912,100
raw,return_zero,20260910,50
raw,return_zero,20260911,100
raw,return_zero,20260912,100
