arm,history,seed,epoch,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mse_difference_vs_matched_baseline,rank_within_history
baseline,full,20260910,10,0.0009795758957217434,0.0312981771948742,0.5886524822695035,-0.023004685178982583,0.006292316390653667,141,0.5808493262556145,0.574468085106383,-0.048138292425268014,0.006287349038623089,0.0015782395641009694,0.0,5
small,full,20260910,10,0.0009351246668716213,0.030579808156226573,0.5531914893617021,-0.06460455906771209,0.0009531809175069418,141,0.5006124948958759,0.9361702127659575,-0.0005758367680226417,0.0009402234484216598,0.027003053508539376,-4.445122885012216e-05,1
dropout,full,20260910,10,0.0009464397339138086,0.030764260659307395,0.49645390070921985,-0.03167012407618595,0.0031202300220723503,141,0.47253981216823193,0.6950354609929078,-0.012682867065595849,0.0028613027254757823,0.1590805556670788,-3.31361618079348e-05,3
decay,full,20260910,10,0.0009651760075399421,0.031067281946445556,0.6170212765957447,0.021806120015227536,0.006586245803170321,141,0.6026949775418537,0.6312056737588653,-0.0327305284368864,0.006197590230577373,0.11453816500663261,-1.4399888181801336e-05,4
combined,full,20260910,10,0.0009362326019170676,0.030597918261167173,0.5815602836879432,-0.09385912435860472,0.0008739612507780424,141,0.5328705594120049,0.9078014184397163,-0.0017613183133771138,0.0005981994298752473,0.5315021151774855,-4.334329380467584e-05,2
baseline,drop_early,20260910,10,0.000956897888865426,0.03093376616038574,0.5460992907801419,0.07348270967974975,0.006795401487887855,141,0.5584932625561454,0.40425531914893614,-0.02153034873490789,0.006632441653173321,0.04738671389974214,0.0,5
small,drop_early,20260910,10,0.000951198536234946,0.030841506711491027,0.5035460992907801,-0.10913872907376362,0.002302799379973579,141,0.46325030624744795,0.8297872340425532,-0.01544604052613896,0.002132341262751627,0.14256498600225243,-5.699352630480006e-06,4
dropout,drop_early,20260910,10,0.0009436717993120938,0.030719241515898367,0.5815602836879432,-0.017281145363509966,0.00294846070810463,141,0.5658432013066558,0.6382978723404256,-0.007410919659947668,0.0029042010148712066,0.02979690342258212,-1.3226089553332169e-05,2
decay,drop_early,20260910,10,0.000943820579956013,0.030721663040206872,0.5390070921985816,0.06498948943752139,0.005168271672317752,141,0.5521641486320947,0.3971631205673759,-0.007569749504632517,0.004952586977502722,0.08172332325857257,-1.3077308909413034e-05,3
combined,drop_early,20260910,10,0.000935655939293158,0.030588493576721918,0.5602836879432624,-0.17458681407326096,0.0004649436172205464,141,0.5,1.0,0.0011463615043598718,0.00018662989282122988,0.8388754070576158,-2.1241949572268007e-05,1
baseline,drop_middle,20260910,10,0.0009744617116004954,0.031216369289212596,0.5460992907801419,0.07576881670391163,0.009105176970397658,141,0.5550224581461821,0.4326241134751773,-0.02715046855420944,0.008191589260735606,0.19060679628909394,0.0,4
small,drop_middle,20260910,10,0.0009592769694611589,0.030972196716751606,0.5106382978723404,-0.014811476564379084,0.004012637710463368,141,0.5251122907309106,0.3829787234042553,-0.011144693450252818,0.0034469425113517133,0.2620818714281634,-1.518474213933643e-05,3
dropout,drop_middle,20260910,10,0.0009437318050006517,0.03072021817957437,0.5177304964539007,0.09249750604408978,0.007429625632676509,141,0.5244997958350347,0.44680851063829785,0.005240991866348299,0.0071868694913581,0.06428055382672337,-3.0729906599843656e-05,1
decay,drop_middle,20260910,10,0.0010107318434505747,0.0317920091131494,0.5035460992907801,0.016951107525451512,0.009332788823794149,141,0.5135769701919151,0.41843971631205673,-0.06538171199951948,0.008161095927688359,0.2353299377398106,3.627013185007939e-05,5
combined,drop_middle,20260910,10,0.0009489484496902507,0.030805006893202452,0.46099290780141844,-0.17238036959302808,0.0014394692818084657,141,0.4391588403429971,0.6737588652482269,-0.00025771472562419184,6.153454535698202e-05,0.9981726018142612,-2.5513261910244697e-05,2
baseline,drop_recent,20260910,10,0.0010521920196348445,0.032437509454870984,0.5035460992907801,-0.01960532992382633,0.009014725355094554,141,0.5309309922417313,0.2765957446808511,-0.13125241519262731,0.008709625967821698,0.06654366020862257,0.0,4
small,drop_recent,20260910,10,0.000943019033089151,0.030708614965334256,0.5602836879432624,-0.010543128755375594,0.0032331353718660543,141,0.5381788485095957,0.6879432624113475,-0.013876306650701054,0.0025597104682344384,0.37319289426814817,-0.00010917298654569349,2
dropout,drop_recent,20260910,10,0.0009868677370341414,0.03141445108599132,0.524822695035461,-0.014336985170028608,0.007085354991452911,141,0.5117394855042874,0.6099290780141844,-0.0610197475010239,0.006703051973230592,0.10500224664828606,-6.53242826007031e-05,3
decay,drop_recent,20260910,10,0.0010648348769367899,0.032631807748526434,0.5106382978723404,-0.03638428532420527,0.00910576836860455,141,0.5407309105757452,0.2553191489361702,-0.144845241018017,0.008716468078886331,0.08367847001318363,1.2642857301945355e-05,5
combined,drop_recent,20260910,10,0.0009281220805789843,0.03046509610322909,0.5177304964539007,0.05692635321997475,0.0024973203071678982,141,0.4741731318905676,0.8581560283687943,0.002139984284469043,0.002399566415821118,0.07675481249656624,-0.00012406993905586018,1
