arm,history,year,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share
baseline,full,2018,0.0009516971757392501,0.030849589555442227,0.6530612244897959,0.08972456945922673,0.0037963403811505326,49,0.6547619047619048,0.4897959183673469,0.021450415234722797,0.0037963403811505326,0.0
baseline,full,2019,0.0007163674649662618,0.026765041845031024,0.6304347826086957,-0.01838529971512309,0.0021836293557048075,46,0.5854166666666667,0.6739130434782609,-0.01746082792864967,0.0021836293557048075,0.0
baseline,full,2020,0.0012724812238498807,0.03567185478566934,0.4782608695652174,-0.06521543021248569,0.010052363063013516,46,0.4623015873015873,0.5652173913043478,-0.1314461214357776,0.010052363063013516,0.0
small,full,2018,0.0009699509572477953,0.03114403566090617,0.42857142857142855,0.05982957875599776,0.00017617781084256417,49,0.5,1.0,0.0026815980406315054,0.00017617781084256417,0.0
small,full,2019,0.0007006295658496619,0.02646940811294544,0.6521739130434783,-0.08525971883259385,0.00033045271550109225,46,0.5,1.0,0.00489180064276018,0.00033045271550109225,0.0
small,full,2020,0.0011325221977102652,0.03365296714571042,0.5869565217391305,-0.05419355577485637,0.0016023270607804306,46,0.5218253968253967,0.8043478260869565,-0.006999415018773103,0.0016023270607804306,0.0
dropout,full,2018,0.0009591766714005982,0.030970577511576985,0.4489795918367347,0.04514086009349755,0.001307570610023205,49,0.49404761904761907,0.8163265306122449,0.01375988345608159,0.001307570610023205,0.0
dropout,full,2019,0.0007422166235585825,0.027243652904090934,0.5,-0.02537761833016018,0.0040968438887604465,46,0.5145833333333334,0.45652173913043476,-0.054174536449513644,0.0040968438887604465,0.0
dropout,full,2020,0.0011370952369461498,0.033720842767436136,0.5434782608695652,-0.0731502769681396,0.00254749338132482,46,0.47619047619047616,0.8043478260869565,-0.011065602723265178,0.0025474933813248203,-2.220446049250313e-16
decay,full,2018,0.0009388007312190544,0.030639855274120574,0.6326530612244898,0.11917913267625337,0.0037162842825937082,49,0.6309523809523809,0.46938775510204084,0.034710736639357864,0.0037162842825937082,0.0
decay,full,2019,0.0007183355853277188,0.026801783249025032,0.6304347826086957,-0.042251120657488636,0.0019468399060863424,46,0.5854166666666667,0.6739130434782609,-0.020256160590115035,0.0019468399060863424,0.0
decay,full,2020,0.0012401118327896332,0.03521522160642516,0.5869565217391305,-0.03985436739415138,0.009961612586439758,46,0.5317460317460317,0.7608695652173914,-0.10266438282784063,0.009961612586439758,0.0
combined,full,2018,0.0009757201400937927,0.031236519333846923,0.42857142857142855,-0.0048382853008832275,3.103076808729489e-05,49,0.5,1.0,-0.003250363955578539,3.103076808729489e-05,0.0
combined,full,2019,0.00070722050402305,0.02659361773100926,0.717391304347826,0.023379259437576478,0.0010454953776168855,46,0.6666666666666667,0.717391304347826,-0.0044693467273788645,0.0010454953776168855,0.0
combined,full,2020,0.0011231818874054434,0.03351390588107336,0.6086956521739131,-0.22614668065947183,5.2715654810396775e-05,46,0.5,1.0,0.001305664592086364,5.2715654810396775e-05,0.0
baseline,drop_early,2018,0.0008986103306798498,0.029976829897103027,0.5714285714285714,0.1411407445704513,0.004043690363749035,49,0.5238095238095237,0.16326530612244897,0.08774368622800066,0.004043690363749034,1.1102230246251565e-16
baseline,drop_early,2019,0.0007507438053579178,0.02739970447574057,0.5434782608695652,0.12184804386237967,0.008567652645105842,46,0.51875,0.5869565217391305,-0.07278273933296298,0.008567652645105842,0.0
baseline,drop_early,2020,0.0012251408930488742,0.035002012699970185,0.5217391304347826,-0.09867894560598772,0.006634320745613005,46,0.5277777777777778,0.4782608695652174,-0.09174367413131179,0.006634320745613005,0.0
small,drop_early,2018,0.0009728883204873814,0.031191157729192762,0.46938775510204084,0.020564813830708076,0.0013622244546853115,49,0.5357142857142857,0.9591836734693877,0.012337736771634855,0.0013622244546853115,0.0
small,drop_early,2019,0.0007543947553158987,0.02746624756525541,0.43478260869565216,-0.15540844834841172,0.003456186237618002,46,0.42083333333333334,0.5217391304347826,-0.07799980015869035,0.003456186237618002,0.0
small,drop_early,2020,0.0011248979817546593,0.03353949882980751,0.6086956521739131,-0.3464571302041252,0.00012358642255928822,46,0.5,1.0,-0.0024155283622033785,0.00012358642255928822,0.0
dropout,drop_early,2018,0.0009493527023269826,0.03081156767071391,0.6530612244897959,0.04016241244368804,0.0036625327440621886,49,0.6309523809523809,0.32653061224489793,0.03623075862139158,0.0036625327440621886,0.0
dropout,drop_early,2019,0.0007411234113081635,0.027223581897100967,0.5,-0.11639006709838691,0.0033423304541631165,46,0.45625,0.6304347826086957,-0.059035582701763456,0.0033423304541631165,0.0
dropout,drop_early,2020,0.0011401687906262504,0.03376638551320307,0.5869565217391305,-0.2949275855455666,0.0006269485738699439,46,0.48214285714285715,0.9782608695652174,-0.01602360322038443,0.0006269485738699439,0.0
decay,drop_early,2018,0.0008921256527608551,0.0298684725548672,0.5918367346938775,0.17588936511634126,0.0044150249691978505,49,0.5476190476190476,0.1836734693877551,0.09432683820434751,0.0044150249691978505,0.0
decay,drop_early,2019,0.0007426870935666697,0.027252286024601124,0.5,-0.005498481564006207,0.0053226363984736885,46,0.5,0.5,-0.06127002183366792,0.0053226363984736885,0.0
decay,drop_early,2020,0.0012000204018358502,0.03464131062526143,0.5217391304347826,-0.10619334848917411,0.0051078237058927185,46,0.5178571428571428,0.5217391304347826,-0.06935838152660545,0.0051078237058927185,0.0
combined,drop_early,2018,0.000977359530654878,0.03126274988952312,0.42857142857142855,0.06954042803364302,0.00026388083142744406,49,0.5,1.0,0.007798628365865312,0.00026388083142744406,0.0
combined,drop_early,2019,0.0007028447357842405,0.026511219055038577,0.6521739130434783,-0.3255364783651021,0.00013391323035837307,46,0.5,1.0,-0.004336893090846061,0.00013391323035837307,0.0
combined,drop_early,2020,0.0011240437520037216,0.03352676172856128,0.6086956521739131,-0.2553692675495724,0.00012106437969128107,46,0.5,1.0,-0.001654309850820379,0.00012106437969128107,0.0
baseline,drop_middle,2018,0.001077499778547044,0.03282529175113367,0.5714285714285714,0.06759403476222318,0.008671540184691674,49,0.6011904761904762,0.6938775510204082,-0.09758841656975514,0.008671540184691674,0.0
baseline,drop_middle,2019,0.0007571654788791315,0.027516640036151424,0.5,0.19655098735789836,0.00961775611287823,46,0.5729166666666666,0.2826086956521739,-0.03978756792587124,0.00961775611287823,0.0
baseline,drop_middle,2020,0.0010820000034440138,0.032893768459147606,0.5652173913043478,0.3329577962727438,0.005751671646660533,46,0.6130952380952381,0.30434782608695654,0.04591440913064537,0.005751671646660533,0.0
small,drop_middle,2018,0.0009715255059022763,0.031169303904679622,0.5918367346938775,-0.01681665995531301,0.004251568787380777,49,0.5654761904761905,0.30612244897959184,0.010361614070760417,0.004251568787380777,0.0
small,drop_middle,2019,0.0007269076944247045,0.02696122575894324,0.5434782608695652,-0.182610252696602,0.0009414961217642963,46,0.475,0.717391304347826,0.0017643371547303444,0.0009414961217642963,0.0
small,drop_middle,2020,0.00117859889046251,0.034330728079411746,0.391304347826087,0.12577083425389657,0.004034600565548487,46,0.47023809523809523,0.13043478260869565,-0.03926452423812221,0.004034600565548486,1.1102230246251565e-16
dropout,drop_middle,2018,0.000984630193948189,0.031378817599587605,0.5102040816326531,0.1600020617402151,0.007724982462680694,49,0.5238095238095238,0.5918367346938775,-0.002987394521472675,0.007724982462680694,0.0
dropout,drop_middle,2019,0.000694374462415477,0.026350985985641544,0.6304347826086957,0.18075250581180083,0.009715236274724197,46,0.6,0.6304347826086957,0.04644103086469653,0.009715236274724197,0.0
dropout,drop_middle,2020,0.00114952347240258,0.033904623171517184,0.41304347826086957,-0.04673905831374105,0.000607279151506137,46,0.49801587301587297,0.10869565217391304,-0.013626412102092589,0.000607279151506137,0.0
decay,drop_middle,2018,0.0011072173498533372,0.03327487565496432,0.5714285714285714,0.04894821603254781,0.00890664616997085,49,0.6011904761904762,0.6938775510204082,-0.1278600348881891,0.00890664616997085,0.0
decay,drop_middle,2019,0.0008193186926630755,0.028623743512389773,0.43478260869565216,0.026700093691891528,0.009251482754951027,46,0.47916666666666663,0.34782608695652173,-0.12514029570058827,0.009251482754951027,0.0
decay,drop_middle,2020,0.0010993669548090442,0.033156703014760744,0.5,0.34419023029813034,0.0058362915395979344,46,0.5694444444444444,0.1956521739130435,0.03060058472957028,0.0058362915395979344,0.0
combined,drop_middle,2018,0.0009786340686243023,0.03128312753904734,0.42857142857142855,0.05836226177607427,6.109525983642882e-05,49,0.5,1.0,0.0031205210724153387,6.109525983642882e-05,0.0
combined,drop_middle,2019,0.0007330816589067686,0.02707548076963304,0.34782608695652173,-0.03536476364896425,2.0352249877424668e-05,46,0.5,0.0,-0.006714141714603938,2.0352249877424668e-05,0.0
combined,drop_middle,2020,0.0011331936029135485,0.03366294109125863,0.6086956521739131,0.050627202320753815,8.494803820828104e-05,46,0.5,1.0,0.000772934599081454,8.494803820828104e-05,0.0
baseline,drop_recent,2018,0.0009438853489863049,0.030722717148492985,0.5714285714285714,0.032469493331669964,0.004925860005823584,49,0.5357142857142857,0.24489795918367346,0.025437416911678112,0.004925860005823584,0.0
baseline,drop_recent,2019,0.0008459148197256743,0.02908461482855969,0.45652173913043476,0.18447155421120215,0.007795093019310978,46,0.5541666666666667,0.1956521739130435,-0.21413343249284011,0.0077950930193109785,-2.220446049250313e-16
baseline,drop_recent,2020,0.0013738393687131112,0.037065339182491115,0.4782608695652174,-0.0708314930461245,0.012079320104940568,46,0.501984126984127,0.391304347826087,-0.22381506972822995,0.012079320104940568,0.0
small,drop_recent,2018,0.0009441601362883829,0.030727188877090316,0.4489795918367347,4.232881196771338e-05,0.002395720370492347,49,0.4107142857142857,0.24489795918367346,0.025153698742728325,0.002395720370492347,0.0
small,drop_recent,2019,0.0006895956542174611,0.026260153354797096,0.6521739130434783,0.025733854899733403,0.00040685432326161583,46,0.5,1.0,0.010229967411244711,0.00040685432326161583,0.0
small,drop_recent,2020,0.0011952268889877465,0.03457205358360632,0.5869565217391305,-0.2689603452470046,0.00371541987856376,46,0.5119047619047619,0.8478260869565217,-0.06470720798877228,0.00371541987856376,0.0
dropout,drop_recent,2018,0.000974793998684824,0.03122169115670745,0.5306122448979592,0.13588096451504103,0.004326694183947608,49,0.5714285714285714,0.7755102040816326,-0.006475795346898794,0.004326694183947608,0.0
dropout,drop_recent,2019,0.0007354869631952181,0.027119862890420704,0.5217391304347826,0.15072505451258494,0.006849386427281302,46,0.5458333333333334,0.43478260869565216,-0.05563738848733446,0.006849386427281302,0.0
dropout,drop_recent,2020,0.0012511096669408158,0.03537102863843255,0.5217391304347826,-0.11351664795088601,0.008418297259247965,46,0.498015873015873,0.6086956521739131,-0.11448754428915398,0.008418297259247965,0.0
decay,drop_recent,2018,0.0009468272167329512,0.03077055762791684,0.5510204081632653,0.027359976243306244,0.005045242349607892,49,0.5119047619047619,0.22448979591836735,0.022399935470362342,0.005045242349607892,0.0
decay,drop_recent,2019,0.0008650468571463316,0.02941167892430372,0.5217391304347826,0.19925314462054364,0.00906700627059354,46,0.6333333333333333,0.17391304347826086,-0.2415934624183793,0.00906700627059354,0.0
decay,drop_recent,2020,0.0013903267086835113,0.03728708501188463,0.45652173913043476,-0.13155047421628846,0.011115768520588107,46,0.4841269841269842,0.3695652173913043,-0.2385019796938459,0.011115768520588107,0.0
combined,drop_recent,2018,0.0009609656242865834,0.03099944554805107,0.42857142857142855,0.059557637866485554,5.192280949480133e-05,49,0.5,1.0,0.007802015287555086,5.192280949480133e-05,0.0
combined,drop_recent,2019,0.0006980635193698217,0.026420891721700496,0.5217391304347826,0.025900301785634627,0.004198779282062132,46,0.5020833333333333,0.5652173913043478,-0.001923878275790658,0.004198779282062132,0.0
combined,drop_recent,2020,0.0011231951278387476,0.033514103416901184,0.6086956521739131,-0.18088656074799955,0.00012905093956354753,46,0.5,1.0,-0.0005413696813554303,0.0001290509395635475,1.1102230246251565e-16
