arm,history,cutoff,seed,epoch,train_n,presentations,optimizer_steps,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
baseline,drop_early,2017-12-31,20260910,1,1342,1678,14,1.0950701800802183,,,
baseline,drop_early,2017-12-31,20260910,2,1342,1678,14,1.0983537828396557,,,
baseline,drop_early,2017-12-31,20260910,3,1342,1678,14,1.1058618647265064,,,
baseline,drop_early,2017-12-31,20260910,4,1342,1678,14,1.1003635259294111,,,
baseline,drop_early,2017-12-31,20260910,5,1342,1678,14,1.109114179736241,,,
baseline,drop_early,2017-12-31,20260910,6,1342,1678,14,1.0978466574995112,,,
baseline,drop_early,2017-12-31,20260910,7,1342,1678,14,1.0729050545357124,,,
baseline,drop_early,2017-12-31,20260910,8,1342,1678,14,1.0578022312919062,,,
baseline,drop_early,2017-12-31,20260910,9,1342,1678,14,1.0423598546663542,,,
baseline,drop_early,2017-12-31,20260910,10,1342,1678,14,1.0009050901370906,0.8786816298517491,1.0556637498198962,0.0008986103306798493
small,drop_early,2017-12-31,20260910,1,1342,1678,14,1.0966407133086504,,,
small,drop_early,2017-12-31,20260910,2,1342,1678,14,1.09930075635785,,,
small,drop_early,2017-12-31,20260910,3,1342,1678,14,1.104740579662505,,,
small,drop_early,2017-12-31,20260910,4,1342,1678,14,1.1001143724045963,,,
small,drop_early,2017-12-31,20260910,5,1342,1678,14,1.109631529581845,,,
small,drop_early,2017-12-31,20260910,6,1342,1678,14,1.0988315912907114,,,
small,drop_early,2017-12-31,20260910,7,1342,1678,14,1.0801713873717724,,,
small,drop_early,2017-12-31,20260910,8,1342,1678,14,1.0816829967555612,,,
small,drop_early,2017-12-31,20260910,9,1342,1678,14,1.0931048117604671,,,
small,drop_early,2017-12-31,20260910,10,1342,1678,14,1.0679685196376387,0.9689564143492106,1.0135686820381267,0.0009728883204873822
dropout,drop_early,2017-12-31,20260910,1,1342,1678,14,1.0981354242428267,,,
dropout,drop_early,2017-12-31,20260910,2,1342,1678,14,1.0996111664072976,,,
dropout,drop_early,2017-12-31,20260910,3,1342,1678,14,1.1057551384540507,,,
dropout,drop_early,2017-12-31,20260910,4,1342,1678,14,1.1011203214863627,,,
dropout,drop_early,2017-12-31,20260910,5,1342,1678,14,1.1103287530314794,,,
dropout,drop_early,2017-12-31,20260910,6,1342,1678,14,1.0991374754365777,,,
dropout,drop_early,2017-12-31,20260910,7,1342,1678,14,1.0787781490472559,,,
dropout,drop_early,2017-12-31,20260910,8,1342,1678,14,1.074625057458025,,,
dropout,drop_early,2017-12-31,20260910,9,1342,1678,14,1.0803291220772964,,,
dropout,drop_early,2017-12-31,20260910,10,1342,1678,14,1.0533026093095363,0.939775808024513,1.0514633985994115,0.0009493527023269826
decay,drop_early,2017-12-31,20260910,1,1342,1678,14,1.095054272033887,,,
decay,drop_early,2017-12-31,20260910,2,1342,1678,14,1.098328598847122,,,
decay,drop_early,2017-12-31,20260910,3,1342,1678,14,1.1058167691594512,,,
decay,drop_early,2017-12-31,20260910,4,1342,1678,14,1.1003334716903723,,,
decay,drop_early,2017-12-31,20260910,5,1342,1678,14,1.109098800885379,,,
decay,drop_early,2017-12-31,20260910,6,1342,1678,14,1.0979258191457664,,,
decay,drop_early,2017-12-31,20260910,7,1342,1678,14,1.0740772641316074,,,
decay,drop_early,2017-12-31,20260910,8,1342,1678,14,1.06104379828411,,,
decay,drop_early,2017-12-31,20260910,9,1342,1678,14,1.0511146071983037,,,
decay,drop_early,2017-12-31,20260910,10,1342,1678,14,1.0014182332019557,0.8797936361344134,1.0533639478612409,0.0008921256527608547
combined,drop_early,2017-12-31,20260910,1,1342,1678,14,1.0995592769763751,,,
combined,drop_early,2017-12-31,20260910,2,1342,1678,14,1.1003323634986513,,,
combined,drop_early,2017-12-31,20260910,3,1342,1678,14,1.1059146443197638,,,
combined,drop_early,2017-12-31,20260910,4,1342,1678,14,1.1014643295160778,,,
combined,drop_early,2017-12-31,20260910,5,1342,1678,14,1.1106226501078373,,,
combined,drop_early,2017-12-31,20260910,6,1342,1678,14,1.0984378141640765,,,
combined,drop_early,2017-12-31,20260910,7,1342,1678,14,1.082371924219029,,,
combined,drop_early,2017-12-31,20260910,8,1342,1678,14,1.0842382599543048,,,
combined,drop_early,2017-12-31,20260910,9,1342,1678,14,1.099202109960322,,,
combined,drop_early,2017-12-31,20260910,10,1342,1678,14,1.0805184000012986,0.9950287473539304,1.0010335100745302,0.0009773595306548793
baseline,drop_middle,2017-12-31,20260910,1,1342,1678,14,1.100774926707344,,,
baseline,drop_middle,2017-12-31,20260910,2,1342,1678,14,1.1151673383167162,,,
baseline,drop_middle,2017-12-31,20260910,3,1342,1678,14,1.1129825142200003,,,
baseline,drop_middle,2017-12-31,20260910,4,1342,1678,14,1.1076880906563122,,,
baseline,drop_middle,2017-12-31,20260910,5,1342,1678,14,1.1117732208022344,,,
baseline,drop_middle,2017-12-31,20260910,6,1342,1678,14,1.0960526013829,,,
baseline,drop_middle,2017-12-31,20260910,7,1342,1678,14,1.0326125672235817,,,
baseline,drop_middle,2017-12-31,20260910,8,1342,1678,14,1.008551438460049,,,
baseline,drop_middle,2017-12-31,20260910,9,1342,1678,14,0.9933084839859508,,,
baseline,drop_middle,2017-12-31,20260910,10,1342,1678,14,0.9324474194763102,0.8278242742251355,1.0769413011440043,0.001077499778547045
small,drop_middle,2017-12-31,20260910,1,1342,1678,14,1.1031581843993377,,,
small,drop_middle,2017-12-31,20260910,2,1342,1678,14,1.1153106497638416,,,
small,drop_middle,2017-12-31,20260910,3,1342,1678,14,1.1128502849742539,,,
small,drop_middle,2017-12-31,20260910,4,1342,1678,14,1.1083649317328779,,,
small,drop_middle,2017-12-31,20260910,5,1342,1678,14,1.1136405970257428,,,
small,drop_middle,2017-12-31,20260910,6,1342,1678,14,1.1143811833872699,,,
small,drop_middle,2017-12-31,20260910,7,1342,1678,14,1.0800124045918753,,,
small,drop_middle,2017-12-31,20260910,8,1342,1678,14,1.1019851528418931,,,
small,drop_middle,2017-12-31,20260910,9,1342,1678,14,1.090544762926818,,,
small,drop_middle,2017-12-31,20260910,10,1342,1678,14,1.0304221248029952,0.9539539476442976,1.0351316534460213,0.000971525505902276
dropout,drop_middle,2017-12-31,20260910,1,1342,1678,14,1.1039302434341558,,,
dropout,drop_middle,2017-12-31,20260910,2,1342,1678,14,1.1165225996022003,,,
dropout,drop_middle,2017-12-31,20260910,3,1342,1678,14,1.1139043681811944,,,
dropout,drop_middle,2017-12-31,20260910,4,1342,1678,14,1.1088483683116672,,,
dropout,drop_middle,2017-12-31,20260910,5,1342,1678,14,1.114003656589658,,,
dropout,drop_middle,2017-12-31,20260910,6,1342,1678,14,1.1119744717293332,,,
dropout,drop_middle,2017-12-31,20260910,7,1342,1678,14,1.0635342414671816,,,
dropout,drop_middle,2017-12-31,20260910,8,1342,1678,14,1.0818593492809154,,,
dropout,drop_middle,2017-12-31,20260910,9,1342,1678,14,1.0629469944126415,,,
dropout,drop_middle,2017-12-31,20260910,10,1342,1678,14,1.004697182181339,0.897818805563823,1.0982881935449365,0.0009846301939481898
decay,drop_middle,2017-12-31,20260910,1,1342,1678,14,1.1007594364618658,,,
decay,drop_middle,2017-12-31,20260910,2,1342,1678,14,1.1151421408261104,,,
decay,drop_middle,2017-12-31,20260910,3,1342,1678,14,1.112951350581518,,,
decay,drop_middle,2017-12-31,20260910,4,1342,1678,14,1.1076785726683642,,,
decay,drop_middle,2017-12-31,20260910,5,1342,1678,14,1.111818722590218,,,
decay,drop_middle,2017-12-31,20260910,6,1342,1678,14,1.0965022239412257,,,
decay,drop_middle,2017-12-31,20260910,7,1342,1678,14,1.0322648009753768,,,
decay,drop_middle,2017-12-31,20260910,8,1342,1678,14,1.0089249516414374,,,
decay,drop_middle,2017-12-31,20260910,9,1342,1678,14,0.9912932299175194,,,
decay,drop_middle,2017-12-31,20260910,10,1342,1678,14,0.930924630847108,0.8330233541224291,1.083548621164882,0.0011072173498533379
combined,drop_middle,2017-12-31,20260910,1,1342,1678,14,1.1057819884638962,,,
combined,drop_middle,2017-12-31,20260910,2,1342,1678,14,1.1169915892654436,,,
combined,drop_middle,2017-12-31,20260910,3,1342,1678,14,1.11398741727222,,,
combined,drop_middle,2017-12-31,20260910,4,1342,1678,14,1.1100850245949765,,,
combined,drop_middle,2017-12-31,20260910,5,1342,1678,14,1.1151216340576509,,,
combined,drop_middle,2017-12-31,20260910,6,1342,1678,14,1.1157533345262256,,,
combined,drop_middle,2017-12-31,20260910,7,1342,1678,14,1.0823349951276904,,,
combined,drop_middle,2017-12-31,20260910,8,1342,1678,14,1.1067559049865485,,,
combined,drop_middle,2017-12-31,20260910,9,1342,1678,14,1.1032305385415688,,,
combined,drop_middle,2017-12-31,20260910,10,1342,1678,14,1.0527639344991746,0.9993624665875727,1.000857586299254,0.0009786340686243032
baseline,drop_recent,2017-12-31,20260910,1,1343,1678,14,1.1233529017281334,,,
baseline,drop_recent,2017-12-31,20260910,2,1343,1678,14,1.1055994578709336,,,
baseline,drop_recent,2017-12-31,20260910,3,1343,1678,14,1.1028904568168632,,,
baseline,drop_recent,2017-12-31,20260910,4,1343,1678,14,1.104601038653177,,,
baseline,drop_recent,2017-12-31,20260910,5,1343,1678,14,1.1053132286230913,,,
baseline,drop_recent,2017-12-31,20260910,6,1343,1678,14,1.0960009858207567,,,
baseline,drop_recent,2017-12-31,20260910,7,1343,1678,14,1.0807031836356253,,,
