arm,history,cutoff,end,seed,epoch,train_n,presentations,optimizer_steps,training_order_sha256,online_joint_loss,final_model_train_return_mse,final_model_train_auxiliary_mse,validation_mse
baseline,drop_early,2017-12-31,2018-12-31,20260910,1,1342,1678,14,77ec0a28ba9e7751f6a8dd7215f098547804d340922bf71f4c9146fecf9b43e6,1.0950701800802183,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,2,1342,1678,14,4c2cd4a79466b7a392e6e17c11e79e90ca6ae278584410510843963226b25efe,1.0983537828396557,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,3,1342,1678,14,dc60a755e0bd436ad2fba1d790933b8cbb938f29695e3d634ccee154f9e7b0bc,1.1058618647265064,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,4,1342,1678,14,a90bc30f8b646d4d0890f33689c1a8c33a82f33135f4b6983f326e92ee66efef,1.1003635259294111,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,5,1342,1678,14,3179f0283b7b5625d767d8c4686e900bae325b5875df9caeaac1b50e806e00a2,1.109114179736241,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,6,1342,1678,14,2ae321f4640b0d4891682933170f1ff3af4ec36a110a7b7b0e4ce88b8abeb08e,1.0978466574995112,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,7,1342,1678,14,298ee0f086fb242b63f35774eaee617a5d15a91d7de9c473e4d9eb1ef947ae45,1.0729050545357124,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,8,1342,1678,14,002a08fcc33fdc8c14736243ce2832ae5f766e0389a2bb98c342896f8f49230d,1.0578022312919062,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,9,1342,1678,14,5593620ee3ce11ba60e17fee8c1e33d0c4f03ca1b7db20217e99efe5af740868,1.0423598546663542,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,10,1342,1678,14,7dabba363102339ddd0f7c7b28432c07ee867450c0828be674ec473f610892c2,1.0009050901370906,0.8786816298517491,1.0556637498198962,0.0008986103306798493
baseline,drop_early,2017-12-31,2018-12-31,20260910,11,1342,1678,14,fe21bc31dde8687264d7b9abe6a5bd322aebbc41a970e1255222f3951198853b,0.9886971994151091,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,12,1342,1678,14,aa184d0ab840080f3fd51686ff92524f541d49e41957700e1105a31894bcdf2f,0.8946066645103927,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,13,1342,1678,14,7cc7e2e0daa553d7d7ea5bacad96c0f31df44fc5caafe0ce8515075f61ab8398,0.8170774890214241,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,14,1342,1678,14,9a1c6c68481eb6f8feac74b0e0e1b9309dc5795ca056c39379d3c572d2bd0817,0.8246390146066804,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,15,1342,1678,14,a6ff09b26cd05cb837536517eb8c0b93d82242f5019b69a95cd91ea852b3238f,0.7279221131349775,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,16,1342,1678,14,3243416cedff62bbf15f20185977a69d5a2ffd64b123d11b91e0ee43140f566d,0.7104431063966898,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,17,1342,1678,14,56636d01123cd85f9a816591cb4609bb1c67b406ce32cb2bcd3199a025b03d2d,0.6394622416831598,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,18,1342,1678,14,92ad73c6cab9677f0377a25ca0f15a79779ff8cfe70d4ee2d6d1f7a410b14fa7,0.6031023268193824,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,19,1342,1678,14,7cb0230c89961b5874076f5b8c77b03b50d14ac3a0d18c1f9a8d59073092a4b1,0.5812008858295391,,,
baseline,drop_early,2017-12-31,2018-12-31,20260910,20,1342,1678,14,63ac928008063dffff35621bf4f26079caac071314382116aae912678e9bf562,0.5706524774343379,0.38650023350950147,1.0289821823734107,0.0013827793039422119
baseline,drop_early,2017-12-31,2018-12-31,20260911,1,1342,1678,14,480019e37149d9622dbfcbd296af3d4924627714c8675b369996aa15a79817fb,1.1339657033868,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,2,1342,1678,14,849b6d0fd5dbbe173b2201a942fea58319896399ad5792bfe941ac8a3befa5fd,1.1018134803823123,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,3,1342,1678,14,22a3baa1708568e5519020c4b8c3dd0c74ed0a90af12897cd30e510c3da2eb6d,1.1190246347164796,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,4,1342,1678,14,4f226ac902457025db91c1cf0776bc042331030ef9eabde989f65f55b0d0459a,1.1057387206068483,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,5,1342,1678,14,a89d3db79fd2f744c61418f6ff35910e09eb9350ea34ae7948688956da387fd0,1.0912783467016574,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,6,1342,1678,14,4c2bb2605768f412d819857488d7f606d71529b239e690c79a8ec006a61503d4,1.0922975709242246,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,7,1342,1678,14,57d3c2c627a0790a1ac638f2e6f84b7422837b36f5fde48fbcc71edcc76ad994,1.0601693705807709,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,8,1342,1678,14,e2a6af66f0588b758516ea05c38fa71902f5c6a207139f8c8fa1459f6b495416,1.0172333242782392,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,9,1342,1678,14,8c3d8e34d8a838ad1fadba61728b38b7418907834c73011fb296f08008e3ebfe,0.9598803050611812,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,10,1342,1678,14,8cd42f54dfa1e8b29d14212064aa02520d854c2948070f88e73d26b79cb4c643,0.9210933738158343,0.7537648816400064,1.074753282322436,0.0010397329713117002
baseline,drop_early,2017-12-31,2018-12-31,20260911,11,1342,1678,14,6c9e3fb9826db90c26e459e516a8342695491c8a2d117b34a4df3afbb8081fda,0.8907298479091567,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,12,1342,1678,14,47aa6020ddb24ade4cb5066a1c4e525b5db6e0ff320563d9b8a8b3cf147ec42e,0.8835802405042501,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,13,1342,1678,14,414b5576d039a46c5ba641e8ab96962f9fdfee1cda1ca9f4b695b35cd6b9fed1,0.8354101650621099,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,14,1342,1678,14,555e5c2f28502625da4883249f71b4bee804b50947cd0517d4ef79bf29ecc76f,0.8207847056854893,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,15,1342,1678,14,5847e29799bd27a79c43008efa712caf6a7aac282eb4933db8e85aa4b32394a4,0.7549649435800364,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,16,1342,1678,14,72deb7b9d67dc2dcdc9d936e93132ad151489c40ee79633fdaabc725705492d5,0.7013986518471119,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,17,1342,1678,14,a9c8755342872b57fa9c31f8695d16c0bdae399db17e93c8f7e883d33f8b79e8,0.6961311945187747,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,18,1342,1678,14,3328c9acd9f3e15e990c35fb86d8c72d41d37ee5ca51aff1183be03a6ec20c11,0.686149703447526,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,19,1342,1678,14,9cb5454e1a145c67746a1f8c34e660de8a14a39aaae982e11e9ec59b819e527a,0.6367474257306632,,,
baseline,drop_early,2017-12-31,2018-12-31,20260911,20,1342,1678,14,83dff6026ae16a8ca072c296a771080fc97c4368c54d0c9c6feec8bea582cc5b,0.6209206915015402,0.5068582088510255,0.8350006393455358,0.0012803563499632943
baseline,drop_early,2017-12-31,2018-12-31,20260912,1,1342,1678,14,092cda6b97e4d44621ef14c167b0bb59713f22e0b338a825a94db40a50d4765e,1.0827835010402393,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,2,1342,1678,14,f1fc82aa7bc811afabc2b6410bcca49f83724681e6dbfef79f6480ec90d344d6,1.096570597359904,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,3,1342,1678,14,2dca5440dce6c7a5bb03e89adf99ab969440a742212c2511cf38fa267603854e,1.1074068629414873,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,4,1342,1678,14,2d59fa8c6d0a82c4d3be642dc8d2a940b8d082dc8d560f0548431a427d4fdd8a,1.1372367145051832,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,5,1342,1678,14,fb5cd5b9fffb0d4189051d0421c25e4acbd44d9a606ec7208e53dd00f0b31a50,1.0930678031725878,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,6,1342,1678,14,5a691e9b0accc4bdb4298335773ad4ab4a0ae2df017a522f8f449d3b09fc7c6d,1.088348210923578,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,7,1342,1678,14,17b323aaf32533c8d76b90730c51f7f041148e71f7f02a102bda66a18bbec85f,1.1251731898560142,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,8,1342,1678,14,d3efab97e67924395584461c3c12197cf618db3ba188ea284c4f52ac28bb6967,1.0861757186655492,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,9,1342,1678,14,936755b370b660bd5066e881df25489193f784e88f2eefe6be104634c28b2302,1.0893147736254978,,,
baseline,drop_early,2017-12-31,2018-12-31,20260912,10,1342,1678,14,4caa334ba124a08b27c6029fe34c4883ede54f3106892555741e5cb5df56a186,1.021801658694025,0.8711159517086388,1.064669221062241,0.0009590867138335317
