role,history,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,reassigned_mse,reassignment_mse_increase
baseline10,full,20260910,0.0009795758957217434,0.0312981771948742,0.5886524822695035,-0.023004685178982583,0.006292316390653667,141,0.5808493262556145,0.574468085106383,-0.048138292425268014,0.006287349038623089,0.0015782395641009694,0.0010232412159276866,4.3665320205943164e-05
baseline20,full,20260910,0.0010699681863175349,0.03271036817765179,0.5531914893617021,0.12099915622829178,0.01591210927191419,141,0.5526745610453245,0.5106382978723404,-0.14485731289858728,0.014617747355628749,0.15607199652959847,0.0011579421060781807,8.797391976064577e-05
baseline10,full,20260911,0.0009170027377851329,0.03028205306423481,0.5957446808510638,0.13774723125667448,0.006161156175580151,141,0.583707635769702,0.6099290780141844,0.018814480910393616,0.006105008474717322,0.01814330211045201,0.0009732981362265461,5.629539844141326e-05
baseline20,full,20260911,0.0011567394827120237,0.03401087300720203,0.5460992907801419,-0.0051993563826141795,0.014862101138794161,141,0.5411392405063291,0.5460992907801419,-0.23770189883793047,0.013891682975259811,0.12632621954482304,0.0012905667519279682,0.00013382726921594445
baseline10,full,20260912,0.0009324943098848334,0.030536769801091164,0.574468085106383,0.0746886462262445,0.004542943325804307,141,0.5733973050224581,0.5177304964539007,0.0022386239518069617,0.004410433922714897,0.057485583443990795,0.0009316892869908365,-8.050228939969093e-07
baseline20,full,20260912,0.0011664263037806488,0.034152983819582275,0.425531914893617,-0.11189050719467397,0.01221082285457321,141,0.40751327072274396,0.6382978723404256,-0.24806671910172118,0.011549618068319887,0.10536603134659672,0.0010152777550187662,-0.00015114854876188254
combined10,full,20260910,0.0009362326019170676,0.030597918261167173,0.5815602836879432,-0.09385912435860472,0.0008739612507780424,141,0.5328705594120049,0.9078014184397163,-0.0017613183133771138,0.0005981994298752473,0.5315021151774855,0.0009365757351683889,3.4313325132130645e-07
candidate20,full,20260910,0.0009339421362610295,0.030560466885521064,0.574468085106383,0.1529417186393175,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292274337,0.008755176563622381,0.18183620241988685,0.0009983531353339405,6.441099907291098e-05
combined10,full,20260911,0.0009552321415701747,0.030906830014904064,0.524822695035461,-0.14888664422996464,0.002195722792916927,141,0.47529603919967334,0.9078014184397163,-0.022090672206064754,0.0021733039576099004,0.020316211721837396,0.0009469893553406475,-8.242786229527223e-06
candidate20,full,20260911,0.0009748452506210802,0.031222511920424984,0.5531914893617021,0.013042073858408627,0.0070216694815943,141,0.5457329522253982,0.5673758865248227,-0.04307654039611486,0.006893030109812152,0.03630504500575349,0.0009857524647905944,1.090721416951415e-05
combined10,full,20260912,0.0009366080744063406,0.030604053234928548,0.5602836879432624,-0.15431745398966892,0.0006132924997517724,141,0.5,1.0,-0.0021630708426891854,6.7321223397994e-05,0.9879505092625092,0.0009369176411107721,3.0956670443152336e-07
candidate20,full,20260912,0.0009515623200011166,0.03084740378056339,0.5815602836879432,0.1028182419489403,0.008507052451696476,141,0.5623723968966925,0.6666666666666666,-0.018163992783166272,0.008234382331034441,0.06307714159982658,0.0009931226757321499,4.156035573103323e-05
baseline10,drop_early,20260910,0.000956897888865426,0.03093376616038574,0.5460992907801419,0.07348270967974975,0.006795401487887855,141,0.5584932625561454,0.40425531914893614,-0.021530348734907667,0.006632441653173321,0.04738671389974214,0.0009363144049537504,-2.0583483911675612e-05
baseline20,drop_early,20260910,0.001279390194560823,0.0357685643346336,0.5035460992907801,0.06896374158273991,0.02077946702365757,141,0.5066353613719885,0.475177304964539,-0.3658049900886977,0.019991456189856517,0.07440702248426923,0.0011851524463776602,-9.423774818316283e-05
baseline10,drop_early,20260911,0.0010174941291574283,0.03189818379089048,0.5531914893617021,0.019035179773970855,0.00938527783293425,141,0.5318497345855451,0.6808510638297872,-0.086219485577824,0.009012521756694095,0.07785676384092366,0.001048104218964421,3.0610089806992714e-05
baseline20,drop_early,20260911,0.0012360385224727485,0.035157339524951946,0.5106382978723404,-0.0805131575056298,0.015182470325849937,141,0.4973458554512046,0.6099290780141844,-0.3195251840386708,0.014662341036085063,0.06734343533864706,0.0011249612134373891,-0.00011107730903535938
baseline10,drop_early,20260912,0.0010197566309122607,0.031933628527185266,0.524822695035461,-0.046293796082051225,0.008104697785862642,141,0.5047978766843609,0.6666666666666666,-0.08863480515739552,0.007131265664290006,0.22578856576638173,0.0010187970388432993,-9.595920689613787e-07
baseline20,drop_early,20260912,0.0015196905075222755,0.03898320801989333,0.45390070921985815,-0.13564681963540023,0.02036557513293064,141,0.43630053082890974,0.6382978723404256,-0.6223360843224548,0.01936627531873037,0.09572849700369568,0.0012984540840816456,-0.00022123642344062987
baseline10,drop_middle,20260910,0.0009744617116004954,0.031216369289212596,0.5460992907801419,0.07576881670391163,0.009105176970397658,141,0.5550224581461821,0.4326241134751773,-0.027150468554209217,0.008191589260735606,0.19060679628909394,0.0009637035786675106,-1.075813293298475e-05
