policy,reference,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mse_skill_vs_full_mean,reassigned_mse,reassignment_mse_relative_change
full,own_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.0,0.0,1.0,0.0,0.0009345864976034037,0.0
full,full_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.0,0.0,1.0,0.0,0.0009345864976034037,0.0
full,zero,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.0006932108329538167,0.0,,0.0006932108329538167,0.0009339386321189327,0.0
disjoint0,own_mean,0.0009351257450296231,0.030579825784814784,0.5602836879432624,-0.1787931022672696,0.00040417902035161683,141,0.5,1.0,0.0,0.0,1.0,-0.0005769903883718897,0.0009351257450296231,0.0
disjoint0,full_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.0005766576624434139,0.0,1.0,0.0,0.0009345864976034037,0.0
disjoint0,zero,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.0012694687500587332,0.0,,0.0006932108329538167,0.0009339386321189327,0.0
disjoint1,own_mean,0.0009329544599413175,0.03054430323221202,0.5602836879432624,-0.13808578891113873,0.00027475493828796115,141,0.5,1.0,0.0,1.2782881193364253e-19,1.0,0.001746267109862254,0.0009329544599413175,0.0
disjoint1,full_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,-0.001749321893148803,0.0,1.0,0.0,0.0009345864976034037,0.0
disjoint1,zero,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,-0.001054898411308347,0.0,,0.0006932108329538167,0.0009339386321189327,0.0
disjoint2,own_mean,0.0009373858162448312,0.030616757115096812,0.3900709219858156,-0.17720557370742052,0.00030113203296228044,141,0.40710494079216003,0.3475177304964539,0.0,0.0,1.0,-0.0029952483249071626,0.0009373858162448312,0.0
disjoint2,full_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.0029863036040395086,0.0,1.0,0.0,0.0009345864976034037,0.0
disjoint2,zero,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.0036774442989845335,0.0,,0.0006932108329538167,0.0009339386321189327,0.0
quarter_equal,own_mean,0.0009376248845165707,0.030620661072494348,0.5602836879432624,-0.1775806551910981,0.00048083416829486234,141,0.5,1.0,0.0,0.0,1.0,-0.0032510494437469895,0.0009376248845165707,0.0
quarter_equal,full_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.003240514371302683,0.0,1.0,0.0,0.0009345864976034037,0.0
quarter_equal,zero,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.003931478844589997,0.0,,0.0006932108329538167,0.0009339386321189327,0.0
recent3y,own_mean,0.0009468649696407541,0.030771171080099538,0.46099290780141844,-0.16151688310096005,0.0014311622368186488,141,0.4391588403429971,0.6737588652482269,0.0,0.0,1.0,-0.013137865857078657,0.0009468649696407541,0.0
recent3y,full_mean,0.0009345864976034037,0.030571007467916456,0.5602836879432624,-0.16173700050739112,0.00039875909620241663,141,0.5,1.0,0.012967500574035284,0.0,1.0,0.0,0.0009345864976034037,0.0
recent3y,zero,0.0009339386321189327,0.030560409554175362,0.4397163120567376,,0.0,141,0.5,0.0,0.013651722195114901,0.0,,0.0006932108329538167,0.0009339386321189327,0.0
