model,policy,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mse_skill_vs_full_mean,reassigned_mse,reassignment_mse_relative_change
neural,full,0.0009241108443090148,0.030399191507489386,0.5957446808510638,0.1237952411233704,0.006587837813449706,141,0.5819722335647203,0.624113475177305,0.0112088643707694,0.006102895770451835,0.14180474637322815,0.0112088643707694,0.0009630703673001677,0.04215892847820024
neural,disjoint0,0.0009915336567115917,0.03148862741866644,0.5460992907801419,0.049808586760720634,0.009440359987942213,141,0.5411392405063291,0.5460992907801419,-0.06032120490937998,0.009379418848923902,0.012869093954183008,-0.06093300005319979,0.0009727461665543126,-0.018947909665101625
neural,disjoint1,0.0010859311015012521,0.0329534687324605,0.524822695035461,-0.06597793276725021,0.010612483475108488,141,0.5152102899142507,0.5815602836879432,-0.16397010586085492,0.010192799055091267,0.07752868377871336,-0.16193750314812716,0.0010493281331271857,-0.03370652919274941
neural,disjoint2,0.0010396306962412055,0.032243304673082215,0.524822695035461,0.01940376441162412,0.01105581260587105,141,0.5117394855042874,0.6099290780141844,-0.10907449016667159,0.010630587938042797,0.0754439793738968,-0.11239644367554069,0.0009760114117156324,-0.06119411898435578
neural,quarter_equal,0.0009604494937480397,0.030991119594942673,0.5177304964539007,-0.006358101353107736,0.0051277519845589585,141,0.4915271539403838,0.7163120567375887,-0.024343007111246928,0.0046598782430436365,0.17416151854784356,-0.02767319687472214,0.0009276400784876682,-0.03416047951916423
neural,recent3y,0.001067715877951764,0.03267592199084463,0.48936170212765956,-0.10785006481860338,0.008820442759962669,141,0.47141690485912613,0.6453900709219859,-0.12763267433672332,0.008315173495347418,0.11128633419414102,-0.142447361148218,0.0010004552614730896,-0.06299486395922349
ridge,full,0.0011401467803940734,0.03376605959234914,0.5390070921985816,0.02980821219799318,0.015406239769907808,141,0.527868517762352,0.5957446808510638,-0.2199478414440994,0.015306611828496042,0.012891634761319937,-0.2199478414440994,0.001016475010207703,-0.1084700429041473
ridge,disjoint0,0.002498244505871535,0.04998244197587324,0.45390070921985815,-0.020033880955229868,0.03892085306484989,141,0.453654552878726,0.49645390070921985,-1.6715599684322613,0.03868780599816545,0.011939581915970887,-1.673101432856006,0.0023437391104265243,-0.0618455860032443
ridge,disjoint1,0.0031856175550671775,0.05644127527853333,0.5177304964539007,-0.06891706782141412,0.04541562496132699,141,0.5106165781951817,0.5602836879432624,-2.414547753239265,0.045373030571801115,0.0018748796414005398,-2.408585040802729,0.002932120985081417,-0.07957533056111465
ridge,disjoint2,0.0028412669724343703,0.05330353620947085,0.5106382978723404,0.03305185925782872,0.043514610699336015,141,0.49908125765618616,0.5957446808510638,-2.031053940859154,0.04311175875410578,0.018430001619644143,-2.0401327000982157,0.0028185529151416346,-0.007994341085545531
ridge,quarter_equal,0.0011710580692884888,0.03422072572708663,0.5319148936170213,0.028114585673659383,0.01630636347869644,141,0.518068599428338,0.6170212765957447,-0.24896223279342,0.016167220483819956,0.01699328462494165,-0.25302267076560403,0.0010469297989272306,-0.10599668250155692
ridge,recent3y,0.001508125627739434,0.038834593183647924,0.5460992907801419,-0.08751305520919962,0.021509751906660438,141,0.5376684360963658,0.574468085106383,-0.5927568091484314,0.021098809330305945,0.03784488644463513,-0.6136822344499719,0.0014515193645479414,-0.03753418292900512
