cutoff,policy,seed,unique_n,presentations,minimum_draws,maximum_draws,minimum_last_batch_count,maximum_last_batch_count,nominal_loss_coefficient_ratio_min,nominal_loss_coefficient_ratio_max,nominal_loss_coefficient_ratio_sd,interpretation
2017-12-31,full,20260910,1678,33560,20,20,0,4,0.9363839285714286,2.4613520408163265,0.15829320756891135,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,full,20260911,1678,33560,20,20,0,3,0.9363839285714286,2.080110012755102,0.15719499488956362,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,full,20260912,1678,33560,20,20,0,2,0.9363839285714286,1.6988679846938777,0.14870009360251274,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint0,20260910,271,33560,120,130,0,5,0.9073660714285716,1.268152104591837,0.07087188640251481,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint0,20260911,271,33560,120,130,0,4,0.9073660714285714,1.1914580676020408,0.06483523993106949,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint0,20260912,271,33560,120,129,0,6,0.9073660714285716,1.3372847576530615,0.07151621321371972,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint1,20260910,271,33560,120,130,0,5,0.9073660714285716,1.268152104591837,0.07087188640251481,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint1,20260911,271,33560,120,130,0,4,0.9073660714285714,1.1914580676020408,0.06483523993106949,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint1,20260912,271,33560,120,129,0,6,0.9073660714285716,1.3372847576530615,0.07151621321371972,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint2,20260910,273,33560,120,127,0,5,0.9140625,1.2698939732142858,0.06472574437280854,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint2,20260911,273,33560,120,129,0,5,0.9140625000000002,1.277511160714286,0.07062006297003152,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,disjoint2,20260912,273,33560,120,128,0,4,0.9140625,1.2078683035714284,0.06670614673199003,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,quarter_equal,20260910,1678,33560,20,20,0,4,0.9355306742770126,2.4591092009567195,0.15814896720444765,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,quarter_equal,20260911,1678,33560,20,20,0,3,0.938223672073035,2.0841968715336723,0.15750384093177874,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,quarter_equal,20260912,1678,33560,20,20,0,2,0.9386891813623934,1.7030503719003436,0.14906617347139398,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,recent3y,20260910,595,33560,50,60,0,4,0.8300781250000001,1.4870256696428574,0.09858176253091554,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,recent3y,20260911,595,33560,51,60,0,4,0.8466796874999999,1.5202287946428568,0.10096711369140914,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2017-12-31,recent3y,20260912,595,33560,51,60,0,3,0.8466796874999999,1.3850446428571426,0.09434085528701933,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,full,20260910,1921,38420,20,20,0,1,0.93798828125,6.8942138671875,0.604574505403909,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,full,20260911,1921,38420,20,20,0,1,0.93798828125,6.8942138671875,0.604574505403909,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,full,20260912,1921,38420,20,20,0,1,0.93798828125,6.8942138671875,0.604574505403909,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint0,20260910,310,38420,120,129,0,1,0.908203125,1.92236328125,0.2377114910302707,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint0,20260911,310,38420,120,133,0,2,0.908203125,2.883544921875,0.26204906514522724,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint0,20260912,310,38420,120,130,0,1,0.908203125,1.929931640625,0.2377386951586778,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint1,20260910,311,38420,120,129,0,2,0.9111328125,2.8624755859375,0.24966985360858815,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint1,20260911,311,38420,120,129,0,1,0.9111328125,1.928564453125,0.2383093520305981,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint1,20260912,311,38420,120,129,0,1,0.9111328125,1.928564453125,0.2378756914634898,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint2,20260910,312,38420,120,128,0,2,0.9140625,2.8869140625,0.26314414781502715,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint2,20260911,312,38420,120,128,0,1,0.9140625,1.934765625,0.2391181232841513,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,disjoint2,20260912,312,38420,120,128,0,1,0.9140625,1.934765625,0.2387460846105547,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,quarter_equal,20260910,1921,38420,20,20,0,1,0.9397453730105556,6.90712849162759,0.6057070279559729,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,quarter_equal,20260911,1921,38420,20,20,0,1,0.9395434697166145,6.905644502417123,0.6055768924452061,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,quarter_equal,20260912,1921,38420,20,20,0,1,0.9390520626159202,6.902032660227019,0.6052601590586668,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,recent3y,20260910,725,38420,44,59,0,1,0.7788085937500001,3.2922363281250004,0.37068675962768777,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,recent3y,20260911,725,38420,44,60,0,2,0.7788085937500001,5.4339599609375,0.4045319541786522,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2018-12-31,recent3y,20260912,725,38420,46,59,0,1,0.814208984375,3.2568359375,0.37162750407022305,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,full,20260910,2165,43300,20,20,0,6,0.9949448529411767,1.023007400075415,0.004777393520205837,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,full,20260911,2165,43300,20,20,0,6,0.9949448529411767,1.023007400075415,0.004848769074476772,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,full,20260912,2165,43300,20,20,0,6,0.9949448529411767,1.023007400075415,0.004739171286337016,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint0,20260910,350,43300,120,129,1,14,0.9658296411513327,1.0480396084715942,0.01610448848455665,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint0,20260911,350,43300,120,130,1,14,0.9665857528909,1.0538135526646557,0.015613207053097404,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint0,20260912,350,43300,121,129,1,14,0.9738719205630972,1.048039608471594,0.01532218829068017,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint1,20260910,349,43300,120,129,1,14,0.9645780307315233,1.0450452095902465,0.014949371352621374,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint1,20260911,349,43300,120,131,1,16,0.9630701278909001,1.0610838125314228,0.01586942227007821,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint1,20260912,349,43300,120,129,2,14,0.9638240793112116,1.0442912581699344,0.014935792909492724,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint2,20260910,351,43300,120,129,0,14,0.9678308823529415,1.0502757352941179,0.016141753011793474,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint2,20260911,351,43300,120,128,0,13,0.9678308823529412,1.0406939338235293,0.014642177590473274,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,disjoint2,20260912,351,43300,120,131,0,15,0.9678308823529412,1.0664062499999998,0.01587219585188112,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
2019-12-31,quarter_equal,20260910,2165,43300,20,20,0,6,0.9950250341449952,1.0230898428003679,0.00477777852361833,Coefficient of sample loss before clipping/AdamW; not actual parameter influence.
