policy,seed,mse,rmse,accuracy,correlation,forecast_std,n,balanced_accuracy,predicted_up_fraction,mse_skill_vs_training_mean,within_fold_forecast_std,between_fold_variance_share,mse_skill_vs_full_mean,reassigned_mse,reassignment_mse_relative_change
full,20260910,0.0009339421362610295,0.030560466885521064,0.574468085106383,0.1529417186393175,0.009679318473234964,141,0.569926500612495,0.5460992907801419,0.0006894614292274337,0.008755176563622381,0.18183620241988685,0.0006894614292274337,0.0009983531353339405,0.06896679844725262
full,20260911,0.0009748452506210802,0.031222511920424984,0.5531914893617021,0.013042073858408627,0.0070216694815943,141,0.5457329522253982,0.5673758865248227,-0.04307654039611486,0.006893030109812152,0.03630504500575349,-0.04307654039611486,0.0009857524647905944,0.011188662162086915
full,20260912,0.0009515623200011166,0.03084740378056339,0.5815602836879432,0.1028182419489403,0.008507052451696476,141,0.5623723968966925,0.6666666666666666,-0.018163992783166272,0.008234382331034441,0.06307714159982658,-0.018163992783166272,0.0009931226757321499,0.04367591576239005
disjoint0,20260910,0.0010448976934632175,0.03232487731551688,0.5673758865248227,0.07337257804192102,0.013079771118512646,141,0.5705389955083708,0.48226950354609927,-0.11738736636976776,0.012980488454006662,0.015123484740753312,-0.11803208814025123,0.0011181539677629245,0.07010856159219347
disjoint0,20260912,0.001080544717670223,0.032871640021000216,0.5177304964539007,0.018060425054364938,0.012726282770273201,141,0.5192935892200898,0.48936170212765956,-0.15550739931344015,0.01256929131519772,0.0245198278879859,-0.15617411597653663,0.0009998485933936053,-0.07468096688363601
disjoint1,20260911,0.0013350032635801794,0.036537696473370886,0.46808510638297873,-0.13905147768156634,0.016211923767376138,141,0.46631278072682725,0.5106382978723404,-0.4309415099040854,0.015940975932937862,0.033146427262403244,-0.4284427038092027,0.001267611726120801,-0.050480428998090576
disjoint2,20260910,0.0010956796776056838,0.033101052515073955,0.5886524822695035,0.07787312657746771,0.015446998600173534,141,0.5791139240506329,0.5886524822695035,-0.16886735282061172,0.015306461592344136,0.01811325392405394,-0.17236840080118565,0.0011327653268549728,0.03384716355269979
disjoint2,20260912,0.0010916379012662401,0.03303994402637874,0.524822695035461,0.018974341365740045,0.013282690134319005,141,0.5117394855042874,0.6099290780141844,-0.1645555995708825,0.012351577786231525,0.1352853976827959,-0.16804373277975793,0.0010458914177565825,-0.04190627996389107
quarter_equal,20260911,0.0009709016939942202,0.031159295466910354,0.5035460992907801,-0.038115536665860476,0.004859064180084553,141,0.4667211106574112,0.8014184397163121,-0.03549053574320049,0.004700955887653023,0.06401889613674627,-0.0388569666734333,0.0009268412785421577,-0.045380923449418464
recent3y,20260910,0.0011285663613549313,0.033594141771370364,0.5460992907801419,-0.013485073258215945,0.01366883995282118,141,0.532462229481421,0.6170212765957447,-0.1918978920332386,0.013664619072800152,0.0006174961943568036,-0.20755688665410577,0.0010828478926697737,-0.04051021743220229
recent3y,20260912,0.0011593781224093545,0.03404964203056112,0.48936170212765956,-0.13177562549767843,0.011628934673862053,141,0.47662311147407105,0.6028368794326241,-0.22443871046283292,0.010330317642204613,0.21087193421496142,-0.2405252219911076,0.0010322649431618446,-0.10963910461183313
disjoint0,20260911,0.0011221638078382984,0.0334987135251236,0.624113475177305,0.015441828985882184,0.0143178871739219,141,0.6177011024908126,0.5673758865248227,-0.20001380969652405,0.014249122664600265,0.00958233304281264,-0.2007062061306324,0.0010732411873433719,-0.043596683615353404
disjoint1,20260910,0.001186645708478746,0.03444772428591976,0.48936170212765956,-0.05607734759403282,0.014351012262496866,141,0.4783585136790527,0.5886524822695035,-0.27192243504938673,0.014024670838813884,0.044962811342006415,-0.26970131873476366,0.0010266011559582342,-0.1348713869497623
disjoint1,20260912,0.001122962939164463,0.033510639193612274,0.5531914893617021,0.060997009338273386,0.015713712944949595,141,0.5387913434054716,0.624113475177305,-0.20366318762771862,0.014991202954351779,0.08984504661939086,-0.20156127019181191,0.0012405901240221532,0.10474716551662011
disjoint2,20260911,0.0012718042993664174,0.03566236530807256,0.5177304964539007,-0.047557117556946686,0.01706081584056227,141,0.5123519804001633,0.5460992907801419,-0.3567565001796884,0.016830846568560077,0.026777072348983744,-0.360820322814158,0.0010896072800500665,-0.14325869114227485
quarter_equal,20260910,0.0010373542160670522,0.03220798373178694,0.48226950354609927,-0.03762619595719117,0.009237435233470336,141,0.47029399755002044,0.5957446808510638,-0.10636378491799636,0.008905987202208466,0.07047447402654827,-0.10996062828553521,0.0009541218261543022,-0.08023526450618867
quarter_equal,20260912,0.0009653405491441382,0.031069929982929446,0.49645390070921985,0.05592841721097291,0.007777210733841123,141,0.4985708452429563,0.48226950354609927,-0.02955943798554106,0.007205898842066866,0.1415231497779189,-0.032906586623707934,0.000994205108727836,0.02990090865787076
recent3y,20260911,0.0012032420360566416,0.03468777934743938,0.475177304964539,-0.08282485793434173,0.013729217892957508,141,0.4518170681910984,0.6879432624113475,-0.27076412649752823,0.013319057163898905,0.058857533061584144,-0.2874592551274402,0.0011742918345532866,-0.02406016465168792
