cutoff,date,anchor,entry,exit,row_index,actual,mean_loss,fitted_loss,fitted_auxiliary_standardized_loss,fitted_ensemble_loss,year,quarter,index_block
2018-12-31,2010-07-09,124,125,130,0,-0.0209007259898316,0.0004860752029385107,0.00026900739755517116,0.33293935656547546,0.00026219542805834296,2010,2010Q3,0
2018-12-31,2010-07-12,125,126,131,1,0.0135115550761644,0.0001528973749606009,0.00028865267293744695,0.8877883553504944,0.0002587942499374036,2010,2010Q3,0
2018-12-31,2010-07-20,131,132,137,2,0.0188680276431343,0.0003140565376379527,0.00040302809739061976,0.8448332150777181,0.00038808270802155587,2010,2010Q3,0
2018-12-31,2010-07-21,132,133,138,3,0.0470210848906895,0.002104487882108741,0.0022575662558946517,1.1307796438535054,0.0022388890880292067,2010,2010Q3,0
2018-12-31,2010-07-22,133,134,139,4,0.030119952459551,0.0008394674799946648,0.0010331120722165677,0.9919266700744629,0.0010212714205688807,2010,2010Q3,0
2018-12-31,2010-07-23,134,135,140,5,0.024838482157468,0.0005613153603215593,0.0008196398997487746,1.025536835193634,0.0007772392421724079,2010,2010Q3,0
2018-12-31,2010-07-26,135,136,141,6,0.0433343854937395,0.001779827194419653,0.001611584072850278,0.9841246604919434,0.0015652607870229665,2010,2010Q3,0
2018-12-31,2010-07-27,136,137,142,7,0.0221245757617691,0.0004400843925420911,0.00035970251340651147,2.2511469523111978,0.00030144465488995243,2010,2010Q3,0
2018-12-31,2010-07-28,137,138,143,8,0.0027515268043638,2.57647293594095e-06,0.00012892359896248532,0.7653698523839315,3.4780638117159753e-06,2010,2010Q3,0
2018-12-31,2010-07-29,138,139,144,9,-0.0081233342654888,8.592773728103643e-05,0.00019207242538788147,0.44747474789619446,9.004841848207594e-05,2010,2010Q3,0
2018-12-31,2010-07-30,139,140,145,10,0.0090022623322207,6.171477304785658e-05,0.00015612224929163,0.6769086122512817,7.591919707082119e-05,2010,2010Q3,0
2018-12-31,2010-08-02,140,141,146,11,-0.001657975683479,7.864451555341873e-06,0.00010203718385215315,0.8108556667963663,1.367798047092618e-06,2010,2010Q3,0
2018-12-31,2010-08-03,141,142,147,12,-0.012316179171649,0.0001812406951021853,0.00014294700369595103,0.46271050969759625,8.309895556467937e-05,2010,2010Q3,0
2018-12-31,2010-08-04,142,143,148,13,-0.0180435251473216,0.00036825273845101313,0.0003031096095169638,0.36179272333780926,0.00028232739476167693,2010,2010Q3,0
2018-12-31,2010-08-05,143,144,149,14,-0.0104436029640242,0.00013432787354417108,0.00016977146794861495,0.6101290682951609,0.00011701369496239221,2010,2010Q3,0
2018-12-31,2010-08-06,144,145,150,15,-0.0148166960367643,0.00025482002854767817,0.00027220634807746186,0.6728221575419108,0.00020949618386582018,2010,2010Q3,0
2018-12-31,2010-08-09,145,146,151,16,0.0023469355609702,1.4413162073009575e-06,5.918643284137527e-05,1.6243542035420735,2.347303228620467e-06,2010,2010Q3,0
2018-12-31,2010-08-10,146,147,152,17,0.0435077838584558,0.0017944879212190468,0.0019115639931128572,0.5710631608963013,0.0018400277713438843,2010,2010Q3,0
2018-12-31,2010-08-11,147,148,153,18,0.0417940966936623,0.0016522362816731786,0.0016784460261468276,0.8619717558224996,0.0016237488760376044,2010,2010Q3,0
2018-12-31,2010-08-12,148,149,154,19,0.0443242821307048,0.0018643306049023686,0.0014712517914699144,1.9788916905721028,0.0014459698720636466,2010,2010Q3,0
2018-12-31,2010-08-13,149,150,155,20,0.0156031507926959,0.00020899801165169367,8.71640509448911e-05,1.4560474554697673,7.085945949349236e-05,2010,2010Q3,0
2018-12-31,2010-08-16,150,151,156,21,-0.0120006504380549,0.0001728446004055833,0.00029202817676823384,0.2518911510705948,0.0002641025624076775,2010,2010Q3,0
2018-12-31,2010-08-17,151,152,157,22,-0.0176488019772035,0.0003532591387074787,0.00046336433259638914,0.24120267728964487,0.00043751476062902413,2010,2010Q3,0
2018-12-31,2010-08-18,152,153,158,23,-0.0298109302777132,0.0009583555095346518,0.0008194901729254787,0.3612947960694631,0.0008140347701349755,2010,2010Q3,0
2018-12-31,2010-08-19,153,154,159,24,-0.0325766630630435,0.0011372441235304506,0.0008510700160030546,0.9424900015195211,0.0008362630780534973,2010,2010Q3,0
2018-12-31,2010-08-20,154,155,160,25,-0.0074099347758594,7.321064689295268e-05,3.005358255223298e-05,0.3922351598739624,1.2807273313125351e-05,2010,2010Q3,0
2018-12-31,2010-08-23,155,156,161,26,0.0045022196451127,1.1261610953193455e-05,0.00010697060933920171,0.35001257061958313,9.290708878386547e-05,2010,2010Q3,0
2018-12-31,2010-08-24,156,157,162,27,0.004724971026121,1.2806261724461167e-05,9.407430692155124e-05,0.7563510735829672,9.01311912348173e-05,2010,2010Q3,0
2018-12-31,2010-08-25,157,158,163,28,0.0226560583225263,0.0004626659489374818,0.0008607691474328667,0.7397075494130453,0.0008475833113228236,2010,2010Q3,0
2018-12-31,2010-08-26,158,159,164,29,0.027916205727932,0.0007166231804568136,0.0011243250197912858,0.825535515944163,0.001107057066566748,2010,2010Q3,0
2018-12-31,2010-08-27,159,160,165,30,0.0214455945029137,0.0004120578144259513,0.0008615883440996156,1.110945741335551,0.0008445865397102494,2010,2010Q3,0
2018-12-31,2010-08-30,160,161,166,31,0.0255236390547821,0.0005942504047481992,0.000996517820607512,0.2787506232659022,0.0009467143875119677,2010,2010Q3,0
2018-12-31,2010-08-31,161,162,167,32,0.0214399207610243,0.00041182750169246093,0.0007445985605732214,0.5362651447455088,0.0006787129414487712,2010,2010Q3,0
2018-12-31,2010-09-01,162,163,168,33,0.0236929952634574,0.0005083495321674427,0.0007187850885309413,1.5159051418304443,0.0006528720899726616,2010,2010Q3,0
2018-12-31,2010-09-02,163,164,169,34,0.0003621529652126,6.150234393512387e-07,2.5501274403625323e-05,0.6505934596061707,9.985509415586394e-06,2010,2010Q3,0
2018-12-31,2010-09-03,164,165,170,35,-0.0007834080977147,3.7241101478319085e-06,4.736878610809086e-05,1.1814800103505452,2.986016626782437e-05,2010,2010Q3,0
2018-12-31,2010-09-06,165,166,171,36,-0.0026012821803779,1.4045026283231763e-05,5.217843461409645e-05,0.2419587274392446,1.1789072465606891e-05,2010,2010Q3,0
2018-12-31,2010-09-07,166,167,172,37,-0.0015016835016835,7.012278793427829e-06,6.942281233867483e-05,0.330724835395813,1.923494124059118e-05,2010,2010Q3,0
2018-12-31,2010-09-08,167,168,173,38,-0.0262984328075878,0.0007532181489002951,0.00035265462283693897,0.42841488122940063,0.0003049813687905648,2010,2010Q3,0
2018-12-31,2010-09-09,168,169,174,39,-0.0216120218579235,0.0005179451858756733,0.00022709110843499892,0.4142845670382182,0.00012958635267879662,2010,2010Q3,0
2018-12-31,2010-09-10,169,170,175,40,-0.023367273545383,0.0006009195664011581,0.0003282588130786408,0.550044854482015,0.00023241156149194224,2010,2010Q3,0
2018-12-31,2010-09-13,170,171,176,41,-0.0377311504097189,0.0015114629357675803,0.0010060548918436694,0.9414843916893005,0.0009223531139338452,2010,2010Q3,0
2018-12-31,2010-09-14,171,172,177,42,-0.03224033396953,0.0011146731548938881,0.0008055496384109843,1.7680875062942505,0.0007191176239982151,2010,2010Q3,0
2018-12-31,2010-09-15,172,173,180,43,-0.0169376134675689,0.00032703108255062327,0.0003678431136317018,0.9566137393315634,0.000267264711340774,2010,2010Q3,0
2018-12-31,2010-09-16,173,174,181,44,0.0352320645647743,0.0011618333968805487,0.0011129639882202392,0.46242032448450726,0.001082941498500911,2010,2010Q3,0
2018-12-31,2010-09-17,174,175,182,45,0.0712555496607376,0.0049152946516184065,0.004308573983834697,0.4566648801167806,0.004291284431242019,2010,2010Q3,0
2018-12-31,2010-09-20,175,176,178,46,0.0143769912185296,0.00017504888093486232,0.00012708624015710294,0.6240783929824829,9.082370512093557e-05,2010,2010Q3,0
2018-12-31,2010-09-21,176,177,179,47,0.0025575536685564,1.9913906142289222e-06,2.2128364704376053e-05,1.010359028975169,5.832132453591935e-06,2010,2010Q3,0
2018-12-31,2010-09-27,177,178,183,48,0.0762271852827405,0.005637126230752104,0.005922456866354277,1.8299818833669026,0.005861577221787558,2010,2010Q3,0
2018-12-31,2010-09-28,178,179,184,49,0.1041334320380082,0.010606331390763973,0.010078597051914231,4.371474822362264,0.01000077617206829,2010,2010Q3,0
2018-12-31,2010-09-29,179,180,185,50,0.1350338922582947,0.01792586399292179,0.016296824401843144,8.32393248875936,0.016290327384215215,2010,2010Q3,0
2018-12-31,2010-09-30,180,181,186,51,0.0806130190683322,0.0063149455699243705,0.004908341745038058,9.15504233042399,0.004903037053744513,2010,2010Q3,0
2018-12-31,2010-10-08,181,182,187,52,0.0901247560431255,0.007917150110145136,0.006454175175743753,5.562712987263997,0.006452848310478378,2010,2010Q4,0
2018-12-31,2010-10-11,182,183,188,53,0.0573032124139876,0.0031535890106429536,0.002476567420170828,3.6434242725372314,0.002462329064872604,2010,2010Q4,0
2018-12-31,2010-10-12,183,184,189,54,0.0400800783155852,0.0015158322987038546,0.0010088887270260514,3.5303118228912354,0.0009927901247769207,2010,2010Q4,0
2018-12-31,2010-10-13,184,185,190,55,0.0491783071864608,0.002307065331195353,0.0015321562874493278,3.2376157442728677,0.0015287806758012684,2010,2010Q4,0
2018-12-31,2010-10-14,185,186,191,56,0.0502009535934497,0.0024063504775228865,0.00147152213934508,3.9051291942596436,0.0014673720144733225,2010,2010Q4,0
2018-12-31,2010-10-15,186,187,192,57,0.0122691135154522,0.00012371503920862676,1.9388365994724926e-06,1.2431260744730632,8.942833241946803e-09,2010,2010Q4,0
2018-12-31,2010-10-18,187,188,193,58,0.0578545198938349,0.003215812306076838,0.002018912839329186,1.3316767017046611,0.002016665939243687,2010,2010Q4,0
2018-12-31,2010-10-19,188,189,194,59,0.0445521182003618,0.001884057477900842,0.0010853202911942537,1.5625323851903279,0.0010747680750231505,2010,2010Q4,0
2018-12-31,2010-10-20,189,190,195,60,-0.0041971145938579,2.8553012131890245e-05,0.00020408280479459966,0.5705799957116445,0.00018369495250974976,2010,2010Q4,0
2018-12-31,2010-10-21,190,191,196,61,0.010298312336582,8.375773248798114e-05,1.684129375342825e-05,0.7948299249013265,6.919759733657482e-07,2010,2010Q4,0
2018-12-31,2010-10-22,191,192,197,62,0.0010511242009536,9.075051661610253e-09,6.70993026727859e-05,1.2403967380523682,6.162917754483326e-05,2010,2010Q4,0
2018-12-31,2010-10-25,192,193,198,63,-0.0020736251492923,1.0368479958002334e-05,0.00012865152837110533,0.7643541892369589,9.996116718998155e-05,2010,2010Q4,0
2018-12-31,2010-10-26,193,194,199,64,0.0032769026171759,4.539095659369206e-06,5.175703663769547e-05,0.7730315923690796,6.994950589725822e-06,2010,2010Q4,0
2018-12-31,2010-10-27,194,195,200,65,0.0106269706202459,8.988146072689467e-05,7.35471500003293e-05,0.38534629344940186,3.890657857991048e-05,2010,2010Q4,0
2018-12-31,2010-10-28,195,196,201,66,0.0407998211901441,0.0015723948219350137,0.001352750560370988,0.5332380533218384,0.0013219030552009986,2010,2010Q4,0
2018-12-31,2010-10-29,196,197,202,67,0.0424078503779778,0.0017025083380979751,0.0014104169196267134,1.5792475541432698,0.0014089286905838707,2010,2010Q4,0
2018-12-31,2010-11-01,197,198,203,68,0.0181417415038616,0.0002888420656526355,0.00041686766145468895,0.33122362693150836,0.00036368277866805337,2010,2010Q4,0
2018-12-31,2010-11-02,198,199,204,69,0.0128395432518757,0.0001367298968977982,0.0003245971262052987,0.4457392692565918,0.0002845324342395384,2010,2010Q4,0
2018-12-31,2010-11-03,199,200,205,70,0.0187598862966442,0.00031023534808409325,0.0005166585650537289,1.6593300898869832,0.0005060628962441303,2010,2010Q4,0
2018-12-31,2010-11-04,200,201,206,71,-0.0153659659959478,0.00027265781026461803,0.0001337393064061957,1.0560314456621807,0.00012003819963677938,2010,2010Q4,0
