date,open,high,low,close,volume,valid_ohlc
2016-08-18,27.91,33.49,27.91,33.49,74.0,True
2016-08-19,36.84,36.84,36.84,36.84,5.0,True
2016-08-22,40.52,40.52,40.52,40.52,29.0,True
2016-08-23,44.57,44.57,44.57,44.57,11.0,True
2016-08-24,49.03,49.03,49.03,49.03,46.0,True
2016-08-25,53.93,53.93,53.93,53.93,71.0,True
2016-08-26,59.32,59.32,59.32,59.32,55.0,True
2016-08-29,65.25,65.25,65.25,65.25,140.0,True
2016-08-30,71.78,71.78,71.78,71.78,151.0,True
2016-08-31,78.96,78.96,78.96,78.96,280.0,True
2016-09-01,86.86,86.86,86.86,86.86,128.0,True
2016-09-02,95.55,95.55,95.55,95.55,693.0,True
2016-09-05,105.11,105.11,105.11,105.11,695.0,True
2016-09-06,115.62,115.62,115.62,115.62,546.0,True
2016-09-07,127.18,127.18,127.18,127.18,1366.0,True
2016-09-08,139.9,139.9,139.9,139.9,1744.0,True
2016-09-09,153.89,153.89,153.89,153.89,1811.0,True
2016-09-12,169.28,169.28,169.28,169.28,48831.0,True
2016-09-13,183.79,183.79,168.33,171.34,159508.0,True
2016-09-14,177.08,188.47,177.01,177.97,104109.0,True
2017-03-13,195.77,195.77,195.77,195.77,18118.0,True
2017-03-14,215.35,215.35,215.35,215.35,1038.0,True
2017-03-15,236.89,236.89,230.0,236.89,55196.0,True
2017-03-16,239.88,254.87,233.01,245.88,89708.0,True
2017-03-17,243.5,244.53,221.29,224.76,72410.0,True
2017-03-20,220.12,227.77,213.71,215.85,38826.0,True
2017-03-21,216.88,224.44,216.0,217.07,32910.0,True
2017-03-22,213.0,230.6,212.0,228.48,46760.0,True
2017-03-23,228.5,230.57,205.63,205.76,53918.0,True
2017-03-24,203.0,211.88,203.0,206.42,26002.0,True
2017-03-27,210.67,227.0,209.0,215.45,33096.0,True
2017-03-28,215.45,231.0,212.36,225.09,38363.0,True
2017-03-29,220.93,221.0,208.75,215.2,30157.0,True
2017-03-30,220.0,227.0,215.88,223.83,30841.0,True
2017-03-31,220.0,224.86,207.0,210.1,30518.0,True
2017-04-05,204.89,209.89,197.01,206.01,23288.0,True
2017-04-06,207.5,210.8,203.01,209.6,16007.0,True
2017-04-07,208.0,222.77,205.0,215.03,23971.0,True
2017-04-10,211.52,213.0,197.01,204.06,25789.0,True
2017-04-12,197.0,199.91,183.65,183.65,34418.0,True
2017-04-13,179.9,186.7,177.5,179.49,15312.0,True
2017-04-14,179.57,181.8,176.31,177.9,8298.0,True
2017-04-17,165.0,179.08,165.0,178.53,12460.0,True
2017-04-18,178.0,185.0,175.64,176.56,7343.0,True
2017-04-19,177.99,182.51,171.33,181.5,10861.0,True
2017-04-20,181.05,184.68,177.13,180.09,9696.0,True
2017-04-21,182.98,182.98,172.88,174.9,8258.0,True
2017-04-24,173.11,177.5,168.24,174.99,6526.0,True
2017-04-25,175.0,177.99,173.44,174.58,5847.0,True
2017-04-26,173.43,192.04,173.43,191.99,19026.0,True
2017-04-27,191.11,198.0,184.18,194.99,13527.0,True
2017-04-28,203.0,207.7,197.21,198.06,20199.0,True
2017-05-02,199.98,202.5,196.1,198.55,9176.0,True
2017-05-03,198.02,201.9,185.02,191.38,12850.0,True
2017-05-04,191.1,192.01,187.69,189.38,6440.0,True
2017-05-05,189.48,192.5,186.9,189.99,7979.0,True
2017-05-08,188.8,198.98,188.01,193.73,11881.0,True
2017-05-09,192.21,206.0,192.21,204.48,17489.0,True
2017-05-10,203.55,211.13,199.2,201.65,15196.0,True
2017-05-11,200.0,206.78,198.0,205.42,11595.0,True
2017-05-12,205.51,206.94,189.51,194.66,21548.0,True
2017-05-15,194.0,194.5,183.33,188.98,13516.0,True
2017-05-16,190.8,199.37,185.5,198.96,11184.0,True
2017-05-17,198.0,210.98,189.9,200.11,18254.0,True
2017-05-18,198.22,202.95,196.02,199.32,10786.0,True
2017-05-19,199.99,199.99,191.1,195.0,11638.0,True
2017-05-22,196.09,200.11,189.79,190.19,10275.0,True
2017-05-23,183.87,187.51,174.79,176.09,30559.0,True
2017-05-24,174.53,181.31,173.35,178.73,13039.0,True
2017-05-25,179.73,184.09,177.93,182.17,15970.0,True
2017-05-26,181.23,182.53,175.13,177.69,13441.0,True
2017-05-31,182.89,187.09,175.57,176.07,24985.0,True
2017-06-01,175.47,182.03,174.53,175.19,16070.0,True
2017-06-02,173.13,180.35,170.93,179.05,16236.0,True
2017-06-05,181.13,186.83,180.53,181.03,15527.0,True
2017-06-06,179.53,181.35,175.93,178.27,15208.0,True
2017-06-07,178.89,185.09,178.89,183.75,21267.0,True
2017-06-08,182.53,184.93,174.53,176.99,22868.0,True
2017-06-09,176.29,180.07,174.69,178.05,9073.0,True
2017-06-12,176.51,177.53,160.29,160.29,46784.0,True
2017-06-13,158.53,161.53,152.53,160.39,34331.0,True
2017-06-14,158.75,160.87,155.65,158.97,18633.0,True
2017-06-15,157.09,167.95,157.09,165.87,24109.0,True
2017-06-16,165.23,168.05,163.53,163.91,12171.0,True
2017-06-19,165.73,168.29,164.37,166.05,9836.0,True
2017-06-20,168.29,169.93,165.03,168.13,14950.0,True
2017-06-21,168.13,168.93,165.89,166.99,9355.0,True
2017-06-22,168.07,168.77,150.55,155.05,32516.0,True
2017-06-23,154.25,156.25,150.89,155.21,17562.0,True
2017-06-26,153.93,160.45,153.55,159.43,21240.0,True
2017-06-27,158.59,160.53,157.37,157.93,13470.0,True
2017-06-28,157.53,158.53,154.93,156.19,8423.0,True
2017-06-29,156.51,160.33,155.77,156.89,13331.0,True
2017-06-30,156.15,158.23,154.59,156.15,13145.0,True
2017-07-03,156.53,170.53,155.83,168.65,29531.0,True
2017-07-04,168.53,170.69,165.89,166.75,13805.0,True
2017-07-05,167.53,169.65,165.55,167.95,14905.0,True
2017-07-06,168.01,173.33,165.09,172.97,25265.0,True
2017-07-07,172.73,185.69,171.03,183.37,45517.0,True
2017-07-10,179.53,183.33,174.33,174.65,24139.0,True
2017-07-11,172.73,176.99,171.11,174.17,16073.0,True
2017-07-12,174.59,176.05,162.15,168.99,20912.0,True
2017-07-13,167.67,171.65,165.03,166.45,20617.0,True
2017-07-14,166.03,168.23,162.73,162.89,17461.0,True
2017-07-17,159.35,161.23,148.89,150.07,29903.0,True
2017-07-18,149.47,153.33,146.97,152.29,14467.0,True
2017-07-19,148.53,151.49,137.11,147.41,33752.0,True
2017-07-20,147.11,154.11,144.53,152.23,22345.0,True
2017-07-21,153.99,158.05,152.37,153.99,24487.0,True
2017-07-24,150.53,151.31,144.53,147.27,23765.0,True
2017-07-25,147.53,147.97,142.13,144.75,15879.0,True
2017-07-26,143.01,145.71,143.01,143.97,8902.0,True
2017-07-27,143.63,149.25,142.69,147.03,24443.0,True
2017-07-28,146.83,147.01,142.25,142.69,22023.0,True
2017-07-31,142.73,143.25,138.13,142.73,22438.0,True
2017-08-01,142.73,155.81,141.83,154.55,32033.0,True
2017-08-02,152.53,162.73,150.55,151.81,29318.0,True
2017-08-03,151.95,161.73,150.35,159.03,29673.0,True
2017-08-10,143.19,143.19,143.19,143.19,5504.0,True
2017-08-11,129.09,144.53,129.09,137.33,68656.0,True
2017-08-14,135.53,141.83,131.73,140.63,26434.0,True
2017-08-15,139.53,140.45,137.93,138.57,10384.0,True
2017-08-16,137.85,142.09,136.97,139.63,11406.0,True
2017-08-17,139.01,148.07,138.67,142.81,15284.0,True
2017-08-18,141.53,150.29,138.85,140.81,18657.0,True
2017-08-21,140.81,149.69,140.63,147.39,30646.0,True
2017-08-22,147.33,153.13,146.73,150.25,21884.0,True
2017-08-23,146.53,148.37,140.13,141.15,35451.0,True
2017-08-24,143.53,143.53,139.73,140.25,14193.0,True
2017-08-25,140.55,147.53,140.25,145.07,22797.0,True
2017-08-28,151.53,159.53,151.53,159.53,33735.0,True
2017-08-29,175.43,175.43,175.43,175.43,21677.0,True
2017-08-30,182.53,185.73,174.55,183.75,94464.0,True
2017-08-31,183.29,192.53,179.75,191.73,60754.0,True
2017-09-01,190.29,205.17,188.07,197.51,61481.0,True
2017-09-04,196.55,200.51,193.93,197.69,36602.0,True
2017-09-05,198.29,204.29,195.19,197.89,44637.0,True
2017-09-06,203.49,211.49,198.55,206.49,54201.0,True
2017-09-07,204.39,224.13,204.31,214.03,59677.0,True
2017-09-08,217.13,221.87,210.77,218.75,35934.0,True
2017-09-11,215.73,226.29,215.73,219.33,36541.0,True
2017-09-12,220.13,225.53,212.53,224.51,48956.0,True
2017-09-13,225.85,246.91,220.53,246.91,54418.0,True
2017-09-14,251.45,254.29,240.53,249.35,52554.0,True
2017-09-15,248.97,250.29,230.53,232.51,47274.0,True
2017-09-18,234.29,255.71,234.09,255.71,56702.0,True
2017-09-19,254.53,258.49,246.09,248.37,39104.0,True
2017-09-20,248.53,271.09,248.39,263.27,50617.0,True
2017-09-21,268.53,268.53,254.17,260.35,41957.0,True
2017-09-22,258.51,265.51,255.19,265.03,29670.0,True
2017-09-25,260.83,264.09,250.53,251.31,33536.0,True
2017-09-26,246.31,252.29,241.89,247.45,33031.0,True
2017-09-27,248.63,254.07,242.53,250.19,30965.0,True
2017-09-28,249.21,264.69,248.53,254.87,32485.0,True
2017-09-29,258.51,265.85,254.53,261.05,28091.0,True
2017-10-09,266.53,281.33,262.55,270.35,38312.0,True
2017-10-10,271.49,273.69,266.43,272.35,23456.0,True
2017-10-11,270.93,272.49,255.73,257.89,29911.0,True
2017-10-12,260.51,263.47,251.53,258.73,19865.0,True
2017-10-13,259.53,265.33,253.77,262.89,18521.0,True
2017-10-16,260.69,267.53,255.73,258.75,20787.0,True
2017-10-17,257.53,259.75,251.53,254.35,17897.0,True
2017-10-18,254.79,261.55,250.89,253.41,17769.0,True
2017-10-19,251.53,254.25,230.53,232.09,41614.0,True
2017-10-20,232.09,242.47,230.55,238.11,25728.0,True
2017-10-23,240.27,251.53,239.35,249.67,26428.0,True
2017-10-24,249.87,251.05,240.53,247.75,20101.0,True
2017-10-25,242.89,253.77,240.73,249.35,20326.0,True
2017-10-26,249.55,270.33,249.55,269.23,35492.0,True
2017-10-27,268.93,272.53,264.13,270.79,27152.0,True
2017-10-30,297.81,297.81,297.81,297.81,12550.0,True
2017-10-31,312.51,327.53,306.73,326.77,76656.0,True
2018-03-02,300.53,349.41,300.53,303.89,145709.0,True
2018-03-05,306.55,334.23,306.53,334.23,110770.0,True
2018-03-06,342.81,367.37,342.53,354.77,98206.0,True
2018-03-07,351.15,362.53,341.55,351.49,68827.0,True
2018-03-08,353.39,358.29,341.55,346.13,53614.0,True
2018-03-09,343.13,362.53,342.69,351.09,69357.0,True
2018-03-12,354.53,386.15,351.53,386.15,70974.0,True
2018-03-13,392.53,416.31,386.53,394.25,76875.0,True
2018-03-14,398.29,404.53,378.53,385.93,60303.0,True
2018-03-15,383.13,400.49,382.73,399.85,56455.0,True
2018-03-16,402.53,409.83,370.89,380.55,69728.0,True
2018-03-19,376.53,415.53,375.85,409.69,72845.0,True
2018-03-20,406.67,415.53,400.77,405.75,38589.0,True
2018-03-21,407.19,409.19,382.73,387.65,57409.0,True
2018-03-22,387.59,391.11,362.15,364.77,68626.0,True
2018-03-23,346.53,369.53,342.55,354.77,79044.0,True
2018-03-26,365.13,386.07,362.13,378.41,64648.0,True
2018-03-27,384.07,396.69,372.53,392.33,72032.0,True
2018-03-28,384.73,410.07,384.73,390.21,54424.0,True
2018-03-29,394.53,400.33,366.13,382.31,53475.0,True
2018-03-30,382.69,397.63,377.53,394.13,62450.0,True
2018-04-02,400.53,431.87,397.71,416.41,88466.0,True
2018-04-03,410.53,424.13,397.89,418.17,56839.0,True
2018-04-04,416.53,419.47,399.33,400.23,44850.0,True
2018-04-09,400.25,404.29,382.55,391.09,37669.0,True
2018-04-10,388.47,390.53,369.41,382.91,47265.0,True
2018-04-11,382.47,394.53,378.45,383.39,25879.0,True
2018-04-12,380.53,387.59,360.73,362.53,44538.0,True
2018-04-13,366.57,381.33,361.89,374.39,42562.0,True
2018-04-16,368.53,385.53,361.53,375.93,50930.0,True
2018-04-17,386.53,398.91,355.29,356.87,79371.0,True
2018-04-18,362.53,392.51,356.35,392.51,89127.0,True
2018-04-19,398.53,413.95,391.53,394.29,85891.0,True
2018-04-20,390.53,420.33,390.05,411.27,89249.0,True
2018-04-23,410.55,411.53,384.95,387.95,65913.0,True
2018-04-24,382.53,399.51,370.53,398.83,51073.0,True
2018-04-25,391.63,396.53,374.29,379.65,57972.0,True
2018-04-26,377.89,387.09,361.33,362.99,59116.0,True
2018-04-27,371.89,371.89,338.53,349.71,68095.0,True
2018-05-02,348.93,361.23,343.53,349.49,43898.0,True
2018-05-03,334.53,338.53,314.71,336.75,73359.0,True
2018-05-04,332.53,353.43,329.89,346.89,49898.0,True
2018-05-07,344.93,353.19,340.29,346.75,31106.0,True
2018-05-08,348.53,356.87,340.55,346.51,30652.0,True
2018-05-09,342.93,354.47,342.63,345.97,29415.0,True
2018-05-10,344.43,346.49,330.79,334.35,34750.0,True
2018-05-11,334.03,336.13,323.71,330.67,29892.0,True
2018-05-14,324.53,335.13,320.93,323.95,29229.0,True
2018-05-15,324.33,329.23,315.55,328.31,40733.0,True
2018-05-16,326.53,351.07,324.93,339.11,56050.0,True
2018-05-17,340.71,347.47,334.63,341.63,27479.0,True
2018-05-18,341.53,344.43,329.53,335.65,22562.0,True
2018-05-21,333.956,369.096,333.956,369.096,69718.0,True
2018-05-22,362.544,369.516,357.84,362.152,52888.0,True
2018-05-23,361.396,369.74,359.156,360.472,53406.0,True
2018-05-24,359.856,362.516,345.716,346.36,45045.0,True
2018-05-25,346.304,352.716,337.708,339.136,40165.0,True
2018-05-28,338.212,342.832,325.556,326.116,41942.0,True
2018-05-29,328.888,332.64,316.316,318.276,46114.0,True
2018-05-30,312.62,327.32,305.256,308.504,55036.0,True
2018-05-31,311.248,314.356,294.224,304.976,53631.0,True
2018-06-01,303.436,309.288,290.164,293.02,57959.0,True
2018-06-04,297.78,304.612,291.956,297.92,54235.0,True
2018-06-05,299.796,316.316,295.876,314.02,58946.0,True
2018-06-06,312.088,316.596,308.42,312.396,46393.0,True
2018-06-07,315.756,316.316,302.12,304.64,34867.0,True
2018-06-08,300.916,303.996,291.172,294.476,48879.0,True
2018-06-11,292.18,292.376,281.316,282.044,48517.0,True
2018-06-12,282.016,285.516,272.496,281.316,59427.0,True
2018-06-13,282.716,299.964,279.916,292.04,70409.0,True
2018-06-14,288.932,298.004,284.676,292.292,46350.0,True
2018-06-15,291.788,297.22,284.116,294.952,42416.0,True
2018-06-19,291.172,308.504,268.884,284.648,72962.0,True
2018-06-20,279.916,289.716,271.516,282.044,53303.0,True
2018-06-21,277.76,281.26,254.464,254.884,65558.0,True
2018-06-22,250.992,263.956,247.744,258.692,48638.0,True
2018-06-25,261.968,263.956,254.016,255.752,35176.0,True
2018-06-26,250.572,281.204,249.676,274.708,84571.0,True
2018-06-27,277.116,289.52,277.116,284.144,87429.0,True
2018-06-28,284.06,291.116,277.116,277.676,50091.0,True
2018-06-29,281.316,305.312,279.384,305.172,87361.0,True
2018-07-02,303.436,307.916,295.064,302.4,68524.0,True
2018-07-03,301.476,327.516,296.38,318.164,95200.0,True
2018-07-04,315.28,320.46,303.156,307.272,74946.0,True
2018-07-05,302.848,306.18,288.176,288.456,82769.0,True
2018-07-06,287.112,306.236,287.112,290.78,87825.0,True
2018-07-09,291.116,298.088,288.456,294.168,59208.0,True
2018-07-10,292.18,296.996,282.716,289.184,62521.0,True
2018-07-11,281.316,290.192,276.304,283.976,61550.0,True
2018-07-12,285.796,312.116,285.516,306.936,108902.0,True
2018-07-13,303.884,331.716,302.316,326.648,113688.0,True
2018-07-16,327.796,336.756,320.908,329.028,70410.0,True
2018-07-17,332.08,342.888,325.808,336.14,79396.0,True
2018-07-18,343.196,351.288,328.44,328.832,74815.0,True
2018-07-19,325.836,332.64,320.6,326.172,52554.0,True
2018-07-20,328.636,341.124,320.852,334.628,61749.0,True
2018-07-23,339.808,362.964,337.316,360.388,90555.0,True
2018-07-24,352.716,358.876,347.116,355.208,70360.0,True
2018-07-25,351.596,363.832,351.596,355.012,47516.0,True
2018-07-26,351.344,352.996,320.516,330.82,87268.0,True
2018-07-27,328.916,336.196,324.716,332.584,34463.0,True
2018-07-30,332.388,333.256,315.616,319.256,46129.0,True
2018-07-31,321.216,325.276,317.716,323.148,30209.0,True
2018-08-01,326.228,349.916,326.228,333.62,85459.0,True
2018-08-02,334.516,343.98,321.58,338.716,68918.0,True
2018-08-03,324.8,330.876,305.396,305.648,78511.0,True
2018-08-06,298.116,304.08,289.436,294.448,44750.0,True
2018-08-07,295.484,301.84,281.344,301.112,58596.0,True
2018-08-08,297.836,300.636,277.06,279.692,48916.0,True
2018-08-09,277.732,304.024,276.192,300.328,72492.0,True
2018-08-10,300.076,316.316,298.228,312.592,61559.0,True
2018-08-13,308.364,324.1,305.62,322.308,61479.0,True
2018-08-14,318.64,321.076,300.496,306.404,64963.0,True
2018-08-15,304.052,309.12,292.516,295.036,53104.0,True
2018-08-16,286.86,300.608,282.744,289.352,48999.0,True
2018-08-17,295.036,297.696,284.48,289.128,36492.0,True
2018-08-20,286.58,295.204,280.252,295.204,41074.0,True
2018-08-21,293.888,301.42,287.756,297.836,44782.0,True
2018-08-22,294.98,300.356,288.568,291.312,36531.0,True
2018-08-23,289.716,304.836,288.68,302.932,63505.0,True
2018-08-24,300.356,319.62,300.356,315.196,78475.0,True
