date,open,high,low,close,volume,valid_ohlc,raw_open,raw_high,raw_low,raw_close,shares,cash
2016-08-18,27.91,33.49,27.91,33.49,74.0,True,27.91,33.49,27.91,33.49,1.0,0.0
2016-08-19,36.84,36.84,36.84,36.84,5.0,True,36.84,36.84,36.84,36.84,1.0,0.0
2016-08-22,40.52,40.52,40.52,40.52,29.0,True,40.52,40.52,40.52,40.52,1.0,0.0
2016-08-23,44.57,44.57,44.57,44.57,11.0,True,44.57,44.57,44.57,44.57,1.0,0.0
2016-08-24,49.03,49.03,49.03,49.03,46.0,True,49.03,49.03,49.03,49.03,1.0,0.0
2016-08-25,53.93,53.93,53.93,53.93,71.0,True,53.93,53.93,53.93,53.93,1.0,0.0
2016-08-26,59.32,59.32,59.32,59.32,55.0,True,59.32,59.32,59.32,59.32,1.0,0.0
2016-08-29,65.25,65.25,65.25,65.25,140.0,True,65.25,65.25,65.25,65.25,1.0,0.0
2016-08-30,71.78,71.78,71.78,71.78,151.0,True,71.78,71.78,71.78,71.78,1.0,0.0
2016-08-31,78.96,78.96,78.96,78.96,280.0,True,78.96,78.96,78.96,78.96,1.0,0.0
2016-09-01,86.86,86.86,86.86,86.86,128.0,True,86.86,86.86,86.86,86.86,1.0,0.0
2016-09-02,95.55,95.55,95.55,95.55,693.0,True,95.55,95.55,95.55,95.55,1.0,0.0
2016-09-05,105.11,105.11,105.11,105.11,695.0,True,105.11,105.11,105.11,105.11,1.0,0.0
2016-09-06,115.62,115.62,115.62,115.62,546.0,True,115.62,115.62,115.62,115.62,1.0,0.0
2016-09-07,127.18,127.18,127.18,127.18,1366.0,True,127.18,127.18,127.18,127.18,1.0,0.0
2016-09-08,139.9,139.9,139.9,139.9,1744.0,True,139.9,139.9,139.9,139.9,1.0,0.0
2016-09-09,153.89,153.89,153.89,153.89,1811.0,True,153.89,153.89,153.89,153.89,1.0,0.0
2016-09-12,169.28,169.28,169.28,169.28,48831.0,True,169.28,169.28,169.28,169.28,1.0,0.0
2016-09-13,183.79,183.79,168.33,171.34,159508.0,True,183.79,183.79,168.33,171.34,1.0,0.0
2016-09-14,177.08,188.47,177.01,177.97,104109.0,True,177.08,188.47,177.01,177.97,1.0,0.0
2016-09-19,,,,,,False,,,,,1.0,0.0
2016-09-20,,,,,,False,,,,,1.0,0.0
2016-09-21,,,,,,False,,,,,1.0,0.0
2016-09-22,,,,,,False,,,,,1.0,0.0
2016-09-23,,,,,,False,,,,,1.0,0.0
2016-09-26,,,,,,False,,,,,1.0,0.0
2016-09-27,,,,,,False,,,,,1.0,0.0
2016-09-28,,,,,,False,,,,,1.0,0.0
2016-09-29,,,,,,False,,,,,1.0,0.0
2016-09-30,,,,,,False,,,,,1.0,0.0
2016-10-10,,,,,,False,,,,,1.0,0.0
2016-10-11,,,,,,False,,,,,1.0,0.0
2016-10-12,,,,,,False,,,,,1.0,0.0
2016-10-13,,,,,,False,,,,,1.0,0.0
2016-10-14,,,,,,False,,,,,1.0,0.0
2016-10-17,,,,,,False,,,,,1.0,0.0
2016-10-18,,,,,,False,,,,,1.0,0.0
2016-10-19,,,,,,False,,,,,1.0,0.0
2016-10-20,,,,,,False,,,,,1.0,0.0
2016-10-21,,,,,,False,,,,,1.0,0.0
2016-10-24,,,,,,False,,,,,1.0,0.0
2016-10-25,,,,,,False,,,,,1.0,0.0
2016-10-26,,,,,,False,,,,,1.0,0.0
2016-10-27,,,,,,False,,,,,1.0,0.0
2016-10-28,,,,,,False,,,,,1.0,0.0
2016-10-31,,,,,,False,,,,,1.0,0.0
2016-11-01,,,,,,False,,,,,1.0,0.0
2016-11-02,,,,,,False,,,,,1.0,0.0
