date,open,high,low,close,volume,valid_ohlc
2016-08-18,1.337,2.354,1.337,2.354,74.0,True
2016-08-19,2.964,2.964,2.964,2.964,5.0,True
2016-08-22,3.635,3.635,3.635,3.635,29.0,True
2016-08-23,4.373,4.373,4.373,4.373,11.0,True
2016-08-24,5.185,5.185,5.185,5.185,46.0,True
2016-08-25,6.078,6.078,6.078,6.078,71.0,True
2016-08-26,7.06,7.06,7.06,7.06,55.0,True
2016-08-29,8.141,8.141,8.141,8.141,140.0,True
2016-08-30,9.331,9.331,9.331,9.331,151.0,True
2016-08-31,10.639,10.639,10.639,10.639,280.0,True
2016-09-01,12.079,12.079,12.079,12.079,128.0,True
2016-09-02,13.662,13.662,13.662,13.662,693.0,True
2016-09-05,15.404,15.404,15.404,15.404,695.0,True
2016-09-06,17.319,17.319,17.319,17.319,546.0,True
2016-09-07,19.425,19.425,19.425,19.425,1366.0,True
2016-09-08,21.743,21.743,21.743,21.743,1744.0,True
2016-09-09,24.292,24.292,24.292,24.292,1811.0,True
2016-09-12,27.097,27.097,27.097,27.097,48831.0,True
2016-09-13,29.741,29.741,26.924,27.472,159508.0,True
2016-09-14,28.518,30.593,28.505,28.68,104109.0,True
2017-03-13,31.924,31.924,31.924,31.924,18118.0,True
2017-03-14,35.491,35.491,35.491,35.491,1038.0,True
2017-03-15,39.416,39.416,38.161,39.416,55196.0,True
2017-03-16,39.961,42.693,38.709,41.054,89708.0,True
2017-03-17,40.621,40.808,36.574,37.206,72410.0,True
2017-03-20,36.361,37.755,35.193,35.583,38826.0,True
2017-03-21,35.77,37.148,35.61,35.805,32910.0,True
2017-03-22,35.063,38.27,34.881,37.884,46760.0,True
2017-03-23,37.888,38.265,33.72,33.744,53918.0,True
2017-03-24,33.241,34.859,33.241,33.864,26002.0,True
2017-03-27,34.639,37.614,34.334,35.51,33096.0,True
2017-03-28,35.51,38.343,34.947,37.266,38363.0,True
2017-03-29,36.508,36.521,34.289,35.464,30157.0,True
2017-03-30,36.339,37.614,35.588,37.037,30841.0,True
2017-03-31,36.339,37.224,33.97,34.535,30518.0,True
2017-04-05,33.585,34.497,32.15,33.79,23288.0,True
2017-04-06,34.061,34.662,33.243,34.444,16007.0,True
2017-04-07,34.152,36.843,33.605,35.433,23971.0,True
2017-04-10,34.794,35.063,32.15,33.434,25789.0,True
2017-04-12,32.148,32.678,29.715,29.715,34418.0,True
2017-04-13,29.032,30.271,28.595,28.957,15312.0,True
2017-04-14,28.972,29.378,28.378,28.667,8298.0,True
2017-04-17,26.317,28.882,26.317,28.782,12460.0,True
2017-04-18,28.686,29.961,28.256,28.423,7343.0,True
2017-04-19,28.684,29.507,27.47,29.323,10861.0,True
2017-04-20,29.241,29.903,28.527,29.067,9696.0,True
2017-04-21,29.593,29.593,27.753,28.121,8258.0,True
2017-04-24,27.795,28.595,26.907,28.137,6526.0,True
2017-04-25,28.139,28.684,27.855,28.062,5847.0,True
2017-04-26,27.853,31.244,27.853,31.235,19026.0,True
2017-04-27,31.075,32.33,29.812,31.782,13527.0,True
2017-04-28,33.241,34.097,32.186,32.341,20199.0,True
2017-05-02,32.691,33.15,31.984,32.43,9176.0,True
2017-05-03,32.334,33.041,29.965,31.124,12850.0,True
2017-05-04,31.073,31.239,30.451,30.759,6440.0,True
2017-05-05,30.778,31.328,30.307,30.87,7979.0,True
2017-05-08,30.654,32.509,30.51,31.552,11881.0,True
