policy,cutoff,state,current_n,reused_n,new_n
quarter_four_state,2022-12-31,0,0,0,0
quarter_four_state,2022-12-31,1,0,0,0
quarter_four_state,2022-12-31,2,0,0,0
quarter_four_state,2022-12-31,3,0,0,0
quarter_four_state,2023-03-31,0,4,0,4
quarter_four_state,2023-03-31,1,0,0,0
quarter_four_state,2023-03-31,2,50,0,50
quarter_four_state,2023-03-31,3,0,0,0
quarter_four_state,2023-06-30,0,7,0,7
quarter_four_state,2023-06-30,1,13,0,13
quarter_four_state,2023-06-30,2,25,4,21
quarter_four_state,2023-06-30,3,18,0,18
quarter_four_state,2023-09-30,0,52,0,52
quarter_four_state,2023-09-30,1,1,0,1
quarter_four_state,2023-09-30,2,10,0,10
quarter_four_state,2023-09-30,3,0,0,0
quarter_four_state,2023-12-31,0,43,3,40
quarter_four_state,2023-12-31,1,0,0,0
quarter_four_state,2023-12-31,2,20,0,20
quarter_four_state,2023-12-31,3,0,0,0
quarter_four_state,2024-03-31,0,39,5,34
quarter_four_state,2024-03-31,1,24,0,24
quarter_four_state,2024-03-31,2,0,0,0
quarter_four_state,2024-03-31,3,0,0,0
quarter_four_state,2024-06-30,0,4,4,0
quarter_four_state,2024-06-30,1,19,0,19
quarter_four_state,2024-06-30,2,24,0,24
quarter_four_state,2024-06-30,3,16,0,16
quarter_four_state,2024-09-30,0,33,0,33
quarter_four_state,2024-09-30,1,0,0,0
quarter_four_state,2024-09-30,2,30,0,30
quarter_four_state,2024-09-30,3,0,0,0
quarter_four_state,2024-12-31,0,5,2,3
quarter_four_state,2024-12-31,1,13,0,13
quarter_four_state,2024-12-31,2,30,0,30
quarter_four_state,2024-12-31,3,15,0,15
quarter_four_state,2025-03-31,0,0,0,0
quarter_four_state,2025-03-31,1,0,0,0
quarter_four_state,2025-03-31,2,5,1,4
quarter_four_state,2025-03-31,3,58,5,53
quarter_four_state,2025-06-30,0,25,0,25
quarter_four_state,2025-06-30,1,21,0,21
quarter_four_state,2025-06-30,2,11,2,9
quarter_four_state,2025-06-30,3,6,1,5
quarter_four_state,2025-09-30,0,13,0,13
quarter_four_state,2025-09-30,1,0,0,0
quarter_four_state,2025-09-30,2,27,0,27
quarter_four_state,2025-09-30,3,23,0,23
quarter_four_state,2025-12-31,0,0,0,0
quarter_four_state,2025-12-31,1,0,0,0
quarter_four_state,2025-12-31,2,4,0,4
quarter_four_state,2025-12-31,3,59,3,56
quarter_four_state,2026-03-31,0,0,0,0
quarter_four_state,2026-03-31,1,0,0,0
quarter_four_state,2026-03-31,2,9,4,5
quarter_four_state,2026-03-31,3,54,3,51
quarter_four_state,2026-06-30,0,0,0,0
quarter_four_state,2026-06-30,1,2,0,2
quarter_four_state,2026-06-30,2,0,0,0
quarter_four_state,2026-06-30,3,61,3,58
month_four_state,2022-12-31,0,0,0,0
month_four_state,2022-12-31,1,0,0,0
month_four_state,2022-12-31,2,0,0,0
month_four_state,2022-12-31,3,0,0,0
month_four_state,2023-01-31,0,0,0,0
month_four_state,2023-01-31,1,0,0,0
month_four_state,2023-01-31,2,11,0,11
month_four_state,2023-01-31,3,0,0,0
month_four_state,2023-02-28,0,0,0,0
month_four_state,2023-02-28,1,0,0,0
month_four_state,2023-02-28,2,31,11,20
month_four_state,2023-02-28,3,0,0,0
month_four_state,2023-03-31,0,4,0,4
month_four_state,2023-03-31,1,0,0,0
month_four_state,2023-03-31,2,50,31,19
month_four_state,2023-03-31,3,0,0,0
month_four_state,2023-04-30,0,4,4,0
month_four_state,2023-04-30,1,0,0,0
month_four_state,2023-04-30,2,43,40,3
month_four_state,2023-04-30,3,16,0,16
month_four_state,2023-05-31,0,9,4,5
month_four_state,2023-05-31,1,13,0,13
month_four_state,2023-05-31,2,23,23,0
month_four_state,2023-05-31,3,18,16,2
month_four_state,2023-06-30,0,7,5,2
month_four_state,2023-06-30,1,13,13,0
month_four_state,2023-06-30,2,25,7,18
month_four_state,2023-06-30,3,18,18,0
month_four_state,2023-07-31,0,27,7,20
month_four_state,2023-07-31,1,14,13,1
month_four_state,2023-07-31,2,18,18,0
month_four_state,2023-07-31,3,4,4,0
month_four_state,2023-08-31,0,35,22,13
month_four_state,2023-08-31,1,1,1,0
month_four_state,2023-08-31,2,27,17,10
month_four_state,2023-08-31,3,0,0,0
month_four_state,2023-09-30,0,52,32,20
month_four_state,2023-09-30,1,1,1,0
month_four_state,2023-09-30,2,10,10,0
month_four_state,2023-09-30,3,0,0,0
month_four_state,2023-10-31,0,53,36,17
month_four_state,2023-10-31,1,0,0,0
month_four_state,2023-10-31,2,10,10,0
month_four_state,2023-10-31,3,0,0,0
month_four_state,2023-11-30,0,49,41,8
month_four_state,2023-11-30,1,0,0,0
month_four_state,2023-11-30,2,14,0,14
month_four_state,2023-11-30,3,0,0,0
month_four_state,2023-12-31,0,43,28,15
month_four_state,2023-12-31,1,0,0,0
month_four_state,2023-12-31,2,20,14,6
month_four_state,2023-12-31,3,0,0,0
month_four_state,2024-01-31,0,43,21,22
month_four_state,2024-01-31,1,0,0,0
month_four_state,2024-01-31,2,20,20,0
month_four_state,2024-01-31,3,0,0,0
month_four_state,2024-02-29,0,45,37,8
month_four_state,2024-02-29,1,7,0,7
month_four_state,2024-02-29,2,11,11,0
month_four_state,2024-02-29,3,0,0,0
month_four_state,2024-03-31,0,39,35,4
month_four_state,2024-03-31,1,24,7,17
month_four_state,2024-03-31,2,0,0,0
month_four_state,2024-03-31,3,0,0,0
month_four_state,2024-04-30,0,19,19,0
month_four_state,2024-04-30,1,43,24,19
month_four_state,2024-04-30,2,0,0,0
month_four_state,2024-04-30,3,1,0,1
month_four_state,2024-05-31,0,4,4,0
month_four_state,2024-05-31,1,38,38,0
month_four_state,2024-05-31,2,5,0,5
month_four_state,2024-05-31,3,16,1,15
month_four_state,2024-06-30,0,4,4,0
month_four_state,2024-06-30,1,19,19,0
month_four_state,2024-06-30,2,24,5,19
month_four_state,2024-06-30,3,16,16,0
month_four_state,2024-07-31,0,0,0,0
month_four_state,2024-07-31,1,1,1,0
month_four_state,2024-07-31,2,47,24,23
month_four_state,2024-07-31,3,15,15,0
month_four_state,2024-08-31,0,14,0,14
month_four_state,2024-08-31,1,0,0,0
month_four_state,2024-08-31,2,49,41,8
month_four_state,2024-08-31,3,0,0,0
month_four_state,2024-09-30,0,33,14,19
month_four_state,2024-09-30,1,0,0,0
month_four_state,2024-09-30,2,30,30,0
month_four_state,2024-09-30,3,0,0,0
month_four_state,2024-10-31,0,36,33,3
month_four_state,2024-10-31,1,13,0,13
month_four_state,2024-10-31,2,12,12,0
month_four_state,2024-10-31,3,2,0,2
month_four_state,2024-11-30,0,26,26,0
month_four_state,2024-11-30,1,13,13,0
month_four_state,2024-11-30,2,14,1,13
month_four_state,2024-11-30,3,10,2,8
month_four_state,2024-12-31,0,5,5,0
month_four_state,2024-12-31,1,13,13,0
month_four_state,2024-12-31,2,30,13,17
month_four_state,2024-12-31,3,15,10,5
month_four_state,2025-01-31,0,0,0,0
month_four_state,2025-01-31,1,2,2,0
month_four_state,2025-01-31,2,30,30,0
month_four_state,2025-01-31,3,31,13,18
month_four_state,2025-02-28,0,0,0,0
month_four_state,2025-02-28,1,0,0,0
month_four_state,2025-02-28,2,22,22,0
month_four_state,2025-02-28,3,41,23,18
month_four_state,2025-03-31,0,0,0,0
month_four_state,2025-03-31,1,0,0,0
month_four_state,2025-03-31,2,5,1,4
month_four_state,2025-03-31,3,58,41,17
month_four_state,2025-04-30,0,1,0,1
month_four_state,2025-04-30,1,8,0,8
month_four_state,2025-04-30,2,12,4,8
month_four_state,2025-04-30,3,42,38,4
month_four_state,2025-05-31,0,9,1,8
month_four_state,2025-05-31,1,17,8,9
month_four_state,2025-05-31,2,13,12,1
month_four_state,2025-05-31,3,24,23,1
month_four_state,2025-06-30,0,25,9,16
month_four_state,2025-06-30,1,21,17,4
month_four_state,2025-06-30,2,11,11,0
month_four_state,2025-06-30,3,6,6,0
month_four_state,2025-07-31,0,25,25,0
month_four_state,2025-07-31,1,13,13,0
month_four_state,2025-07-31,2,24,1,23
month_four_state,2025-07-31,3,1,1,0
month_four_state,2025-08-31,0,29,16,13
month_four_state,2025-08-31,1,3,3,0
month_four_state,2025-08-31,2,30,23,7
month_four_state,2025-08-31,3,1,0,1
month_four_state,2025-09-30,0,13,13,0
month_four_state,2025-09-30,1,0,0,0
month_four_state,2025-09-30,2,27,27,0
month_four_state,2025-09-30,3,23,1,22
month_four_state,2025-10-31,0,13,13,0
month_four_state,2025-10-31,1,0,0,0
month_four_state,2025-10-31,2,10,10,0
month_four_state,2025-10-31,3,40,23,17
month_four_state,2025-11-30,0,0,0,0
month_four_state,2025-11-30,1,0,0,0
month_four_state,2025-11-30,2,3,3,0
month_four_state,2025-11-30,3,60,40,20
month_four_state,2025-12-31,0,0,0,0
month_four_state,2025-12-31,1,0,0,0
month_four_state,2025-12-31,2,4,0,4
month_four_state,2025-12-31,3,59,40,19
month_four_state,2026-01-31,0,0,0,0
month_four_state,2026-01-31,1,0,0,0
month_four_state,2026-01-31,2,9,4,5
month_four_state,2026-01-31,3,54,39,15
month_four_state,2026-02-28,0,0,0,0
month_four_state,2026-02-28,1,0,0,0
month_four_state,2026-02-28,2,9,9,0
month_four_state,2026-02-28,3,54,40,14
month_four_state,2026-03-31,0,0,0,0
month_four_state,2026-03-31,1,0,0,0
month_four_state,2026-03-31,2,9,9,0
month_four_state,2026-03-31,3,54,32,22
month_four_state,2026-04-30,0,0,0,0
month_four_state,2026-04-30,1,1,0,1
month_four_state,2026-04-30,2,0,0,0
month_four_state,2026-04-30,3,62,42,20
month_four_state,2026-05-31,0,0,0,0
month_four_state,2026-05-31,1,2,1,1
month_four_state,2026-05-31,2,0,0,0
month_four_state,2026-05-31,3,61,44,17
month_four_state,2026-06-30,0,0,0,0
month_four_state,2026-06-30,1,2,2,0
month_four_state,2026-06-30,2,0,0,0
month_four_state,2026-06-30,3,61,40,21
month_four_state,2026-07-31,0,0,0,0
month_four_state,2026-07-31,1,1,1,0
month_four_state,2026-07-31,2,0,0,0
month_four_state,2026-07-31,3,62,39,23
month_four_state,2026-08-31,0,0,0,0
month_four_state,2026-08-31,1,9,0,9
month_four_state,2026-08-31,2,0,0,0
month_four_state,2026-08-31,3,54,42,12
quarter_pooled,2022-12-31,-1,0,0,0
quarter_pooled,2023-03-31,-1,54,0,54
quarter_pooled,2023-06-30,-1,63,4,59
quarter_pooled,2023-09-30,-1,63,0,63
quarter_pooled,2023-12-31,-1,63,3,60
quarter_pooled,2024-03-31,-1,63,5,58
quarter_pooled,2024-06-30,-1,63,4,59
quarter_pooled,2024-09-30,-1,63,0,63
quarter_pooled,2024-12-31,-1,63,2,61
quarter_pooled,2025-03-31,-1,63,6,57
quarter_pooled,2025-06-30,-1,63,3,60
quarter_pooled,2025-09-30,-1,63,0,63
quarter_pooled,2025-12-31,-1,63,3,60
quarter_pooled,2026-03-31,-1,63,7,56
quarter_pooled,2026-06-30,-1,63,3,60
quarter_ungated,2022-12-31,0,0,0,0
quarter_ungated,2022-12-31,1,0,0,0
quarter_ungated,2022-12-31,2,0,0,0
quarter_ungated,2022-12-31,3,0,0,0
quarter_ungated,2023-03-31,0,4,0,4
quarter_ungated,2023-03-31,1,0,0,0
quarter_ungated,2023-03-31,2,50,0,50
quarter_ungated,2023-03-31,3,0,0,0
quarter_ungated,2023-06-30,0,7,0,7
quarter_ungated,2023-06-30,1,13,0,13
quarter_ungated,2023-06-30,2,25,4,21
quarter_ungated,2023-06-30,3,18,0,18
quarter_ungated,2023-09-30,0,52,0,52
quarter_ungated,2023-09-30,1,1,0,1
quarter_ungated,2023-09-30,2,10,0,10
quarter_ungated,2023-09-30,3,0,0,0
quarter_ungated,2023-12-31,0,43,3,40
quarter_ungated,2023-12-31,1,0,0,0
quarter_ungated,2023-12-31,2,20,0,20
quarter_ungated,2023-12-31,3,0,0,0
quarter_ungated,2024-03-31,0,39,5,34
quarter_ungated,2024-03-31,1,24,0,24
quarter_ungated,2024-03-31,2,0,0,0
quarter_ungated,2024-03-31,3,0,0,0
quarter_ungated,2024-06-30,0,4,4,0
quarter_ungated,2024-06-30,1,19,0,19
quarter_ungated,2024-06-30,2,24,0,24
quarter_ungated,2024-06-30,3,16,0,16
quarter_ungated,2024-09-30,0,33,0,33
quarter_ungated,2024-09-30,1,0,0,0
quarter_ungated,2024-09-30,2,30,0,30
quarter_ungated,2024-09-30,3,0,0,0
quarter_ungated,2024-12-31,0,5,2,3
quarter_ungated,2024-12-31,1,13,0,13
quarter_ungated,2024-12-31,2,30,0,30
quarter_ungated,2024-12-31,3,15,0,15
quarter_ungated,2025-03-31,0,0,0,0
quarter_ungated,2025-03-31,1,0,0,0
quarter_ungated,2025-03-31,2,5,1,4
quarter_ungated,2025-03-31,3,58,5,53
quarter_ungated,2025-06-30,0,25,0,25
quarter_ungated,2025-06-30,1,21,0,21
quarter_ungated,2025-06-30,2,11,2,9
quarter_ungated,2025-06-30,3,6,1,5
quarter_ungated,2025-09-30,0,13,0,13
quarter_ungated,2025-09-30,1,0,0,0
quarter_ungated,2025-09-30,2,27,0,27
quarter_ungated,2025-09-30,3,23,0,23
quarter_ungated,2025-12-31,0,0,0,0
quarter_ungated,2025-12-31,1,0,0,0
quarter_ungated,2025-12-31,2,4,0,4
quarter_ungated,2025-12-31,3,59,3,56
quarter_ungated,2026-03-31,0,0,0,0
quarter_ungated,2026-03-31,1,0,0,0
quarter_ungated,2026-03-31,2,9,4,5
quarter_ungated,2026-03-31,3,54,3,51
quarter_ungated,2026-06-30,0,0,0,0
quarter_ungated,2026-06-30,1,2,0,2
quarter_ungated,2026-06-30,2,0,0,0
quarter_ungated,2026-06-30,3,61,3,58
quarter_platt,2022-12-31,-1,0,0,0
quarter_platt,2023-03-31,-1,54,0,54
quarter_platt,2023-06-30,-1,63,4,59
quarter_platt,2023-09-30,-1,63,0,63
quarter_platt,2023-12-31,-1,63,3,60
quarter_platt,2024-03-31,-1,63,5,58
quarter_platt,2024-06-30,-1,63,4,59
quarter_platt,2024-09-30,-1,63,0,63
quarter_platt,2024-12-31,-1,63,2,61
quarter_platt,2025-03-31,-1,63,6,57
quarter_platt,2025-06-30,-1,63,3,60
quarter_platt,2025-09-30,-1,63,0,63
quarter_platt,2025-12-31,-1,63,3,60
quarter_platt,2026-03-31,-1,63,7,56
quarter_platt,2026-06-30,-1,63,3,60
