task,control,gradient_inf,seed,epoch
h1_mse_5y_2022-12-31,market4,5.222613293437775e-10,,
h1_mse_5y_2022-12-31,scalar_probe,1.4428385645536695e-10,20260910.0,10.0
h1_mse_5y_2022-12-31,scalar_probe,3.029729499434951e-17,20260910.0,20.0
h1_mse_5y_2022-12-31,scalar_probe,1.5634524057339672e-10,20260911.0,10.0
h1_mse_5y_2022-12-31,scalar_probe,9.75781955236954e-18,20260911.0,20.0
h1_mse_5y_2022-12-31,scalar_probe,9.545132392818623e-10,20260912.0,10.0
h1_mse_5y_2022-12-31,scalar_probe,6.48179426798734e-15,20260912.0,20.0
h1_mse_5y_2023-12-31,market4,1.681973367008427e-10,,
h1_mse_5y_2023-12-31,scalar_probe,1.4500007206215415e-11,20260910.0,10.0
h1_mse_5y_2023-12-31,scalar_probe,2.393918396847994e-16,20260910.0,20.0
h1_mse_5y_2023-12-31,scalar_probe,1.947921533275443e-13,20260911.0,10.0
h1_mse_5y_2023-12-31,scalar_probe,1.3535102585168074e-10,20260911.0,20.0
h1_mse_5y_2023-12-31,scalar_probe,1.9265917528855925e-12,20260912.0,10.0
h1_mse_5y_2023-12-31,scalar_probe,1.787372670967543e-17,20260912.0,20.0
h1_mse_5y_2024-12-31,market4,1.27432700596942e-17,,
h1_mse_5y_2024-12-31,scalar_probe,4.76738697347337e-11,20260910.0,10.0
h1_mse_5y_2024-12-31,scalar_probe,1.3882145205503654e-10,20260910.0,20.0
h1_mse_5y_2024-12-31,scalar_probe,1.480602960173103e-17,20260911.0,10.0
h1_mse_5y_2024-12-31,scalar_probe,7.900447548774003e-12,20260911.0,20.0
h1_mse_5y_2024-12-31,scalar_probe,2.4100915776350858e-14,20260912.0,10.0
h1_mse_5y_2024-12-31,scalar_probe,1.9371625505949785e-11,20260912.0,20.0
h1_mse_5y_2025-12-31,market4,1.5705959333346634e-12,,
h1_mse_5y_2025-12-31,scalar_probe,3.863954989302698e-11,20260910.0,10.0
h1_mse_5y_2025-12-31,scalar_probe,2.8374403478239965e-17,20260910.0,20.0
h1_mse_5y_2025-12-31,scalar_probe,2.9483207336037515e-10,20260911.0,10.0
h1_mse_5y_2025-12-31,scalar_probe,1.7084708322546993e-10,20260911.0,20.0
h1_mse_5y_2025-12-31,scalar_probe,2.8693030395231245e-10,20260912.0,10.0
h1_mse_5y_2025-12-31,scalar_probe,4.126262417684934e-11,20260912.0,20.0
h1_bce_5y_2022-12-31,market4,5.222613293437775e-10,,
h1_bce_5y_2022-12-31,scalar_probe,9.245080620199717e-17,20260910.0,10.0
h1_bce_5y_2022-12-31,scalar_probe,8.766533573286578e-10,20260910.0,20.0
h1_bce_5y_2022-12-31,scalar_probe,1.1471454862410635e-11,20260911.0,10.0
h1_bce_5y_2022-12-31,scalar_probe,1.724681920715898e-12,20260911.0,20.0
h1_bce_5y_2022-12-31,scalar_probe,8.234817352754248e-11,20260912.0,10.0
h1_bce_5y_2022-12-31,scalar_probe,5.28677630773884e-18,20260912.0,20.0
h1_bce_5y_2023-12-31,market4,1.681973367008427e-10,,
h1_bce_5y_2023-12-31,scalar_probe,7.118645646911337e-11,20260910.0,10.0
h1_bce_5y_2023-12-31,scalar_probe,8.074728902011941e-10,20260910.0,20.0
h1_bce_5y_2023-12-31,scalar_probe,8.292653204848506e-16,20260911.0,10.0
h1_bce_5y_2023-12-31,scalar_probe,8.815631039830324e-10,20260911.0,20.0
h1_bce_5y_2023-12-31,scalar_probe,1.5506942897938046e-15,20260912.0,10.0
h1_bce_5y_2023-12-31,scalar_probe,6.071532165918825e-18,20260912.0,20.0
h1_bce_5y_2024-12-31,market4,1.27432700596942e-17,,
h1_bce_5y_2024-12-31,scalar_probe,5.451659859222885e-11,20260910.0,10.0
h1_bce_5y_2024-12-31,scalar_probe,6.4174741307812516e-18,20260910.0,20.0
h1_bce_5y_2024-12-31,scalar_probe,1.857767082659304e-15,20260911.0,10.0
h1_bce_5y_2024-12-31,scalar_probe,3.3168113329658244e-11,20260911.0,20.0
