task,seed,epoch,method,scheme,gradient_inf,curvature_min
h1_mse_5y_2022-12-31,20260910,10,add,U,4.835388838463073e-11,0.01797035604873487
h1_mse_5y_2022-12-31,20260910,10,add,W,3.581532546665517e-10,0.01812996953539332
h1_mse_5y_2022-12-31,20260910,10,vol,U,1.427393735977875e-10,0.017990281732040772
h1_mse_5y_2022-12-31,20260910,10,vol,W,3.9557941059094326e-10,0.018139900117726586
h1_mse_5y_2022-12-31,20260910,10,order_joint,U,1.3340937957215943e-10,0.017992195561895952
h1_mse_5y_2022-12-31,20260910,10,order_joint,W,4.159222783892136e-10,0.018141285043894357
h1_mse_5y_2022-12-31,20260910,10,order_fixed,U,1.9144944960955423e-13,0.24244330595666871
h1_mse_5y_2022-12-31,20260910,10,order_fixed,W,2.353143450494616e-13,0.2541436759492372
h1_mse_5y_2022-12-31,20260910,20,add,U,9.159657610841553e-12,0.012428727175575008
h1_mse_5y_2022-12-31,20260910,20,add,W,4.68361466019886e-11,0.012483644753692557
h1_mse_5y_2022-12-31,20260910,20,vol,U,1.3952511888903896e-11,0.012430426886807962
h1_mse_5y_2022-12-31,20260910,20,vol,W,4.075330556197165e-11,0.012483663458014367
h1_mse_5y_2022-12-31,20260910,20,order_joint,U,1.8384721791274948e-11,0.012429502637714418
h1_mse_5y_2022-12-31,20260910,20,order_joint,W,2.4833368071327036e-10,0.012481914061797873
h1_mse_5y_2022-12-31,20260910,20,order_fixed,U,2.0703030218990892e-14,0.24353123249252798
h1_mse_5y_2022-12-31,20260910,20,order_fixed,W,2.9216378665333775e-12,0.25144812082485984
h1_mse_5y_2022-12-31,20260911,10,add,U,1.5008675725847187e-12,0.02005050680695624
h1_mse_5y_2022-12-31,20260911,10,add,W,1.0774657641793306e-11,0.020067871345720644
h1_mse_5y_2022-12-31,20260911,10,vol,U,1.671974624722905e-12,0.020049187746481092
h1_mse_5y_2022-12-31,20260911,10,vol,W,5.771218426113903e-11,0.020065031500857842
h1_mse_5y_2022-12-31,20260911,10,order_joint,U,6.355094757728996e-10,0.019930610232016564
h1_mse_5y_2022-12-31,20260911,10,order_joint,W,3.898791012257874e-16,0.019942259704491722
h1_mse_5y_2022-12-31,20260911,10,order_fixed,U,3.144186300207963e-17,0.24139075761430112
h1_mse_5y_2022-12-31,20260911,10,order_fixed,W,8.608131568665911e-15,0.24190637090369416
h1_mse_5y_2022-12-31,20260911,20,add,U,6.617592758495494e-12,0.019273506807785876
