h,method,n,correct,accuracy,balanced_accuracy,auc,brier,logloss,actual_up_frequency,predicted_up_fraction,probability_mean,probability_sd,probability_min,probability_max
1,mse_5y_e10.add.U,897,461,0.5139353400222966,0.5139989658018516,0.5137677628504093,0.25284682177818785,0.6990440319854087,0.4938684503901895,0.5050167224080268,0.4968570670222523,0.06082847796060266,0.3042731900230487,0.6731135783110992
1,mse_5y_e10.add.W,897,469,0.5228539576365663,0.5226454589751495,0.510212706715327,0.2541997340849743,0.7019281011167913,0.4938684503901895,0.48272017837235226,0.48972052202955146,0.06643214287954245,0.27464023697663925,0.660770489372214
1,mse_5y_e10.add.I,897,459,0.5117056856187291,0.5115502033591551,0.5137677628504093,0.2528524849020458,0.6990622368560717,0.4938684503901895,0.48717948717948717,0.4937499762096731,0.06103599593226787,0.3016448314349827,0.6670081270859215
1,mse_5y_e10.add.S,897,465,0.5183946488294314,0.5184042521454639,0.5097304123865116,0.254179440812048,0.7018736623828488,0.4938684503901895,0.5005574136008919,0.49280900179387915,0.06631415464714732,0.2771254165403101,0.666836707230817
1,mse_5y_e10.vol.U,897,456,0.5083612040133779,0.5081641988444825,0.5086017442149541,0.252754822262984,0.6988033176456672,0.4938684503901895,0.483835005574136,0.4929587452095353,0.05582191462462352,0.32775985757062415,0.65927104768469
1,mse_5y_e10.vol.W,897,463,0.5161649944258639,0.5156820238462227,0.5081741430574477,0.25421716958017004,0.701920623074495,0.4938684503901895,0.4604236343366778,0.4862715970863603,0.06407047539386186,0.28091741868388787,0.6528056599445068
1,mse_5y_e10.vol.I,897,461,0.5139353400222966,0.5135067272600711,0.5089895685205994,0.2527774894762034,0.6988551352907537,0.4938684503901895,0.46488294314381273,0.48975311752171014,0.05600509240728545,0.32497478413608744,0.6529942639444645
1,mse_5y_e10.vol.S,897,466,0.5195094760312151,0.5191227215322043,0.5070951959507165,0.25418672113995666,0.7018463505002298,0.4938684503901895,0.4682274247491639,0.48945231570517356,0.0640117817926888,0.28337983622171314,0.6589832350719003
1,mse_5y_e10.order_joint.U,897,471,0.5250836120401338,0.5247387158043376,0.5073935223396744,0.2531414716865278,0.6995912258740946,0.4938684503901895,0.47157190635451507,0.49319000188982354,0.05776981011433606,0.30726663690044825,0.665514534598374
1,mse_5y_e10.order_joint.W,897,467,0.5206243032329989,0.5198958840902537,0.5035699724545301,0.2545438718099811,0.7025393070305308,0.4938684503901895,0.4403567447045708,0.48695095351698603,0.06381092091667318,0.2603262711222855,0.672421308028513
1,mse_5y_e10.order_joint.I,897,464,0.5172798216276477,0.5166739590895079,0.507642127663806,0.2531694497424602,0.699652228599315,0.4938684503901895,0.4503901895206243,0.49038522973010124,0.058033593088581865,0.3051385786683229,0.6591405114994494
1,mse_5y_e10.order_joint.S,897,459,0.5117056856187291,0.5110579648173745,0.5029633754636489,0.25451395123161513,0.7024695353133407,0.4938684503901895,0.44704570791527315,0.48973864988545884,0.06369487110136021,0.26224115515772556,0.6786572683118118
1,mse_5y_e10.order_fixed.U,897,473,0.5273132664437012,0.5269687055617983,0.5071846938674038,0.2531243438007439,0.6995539770446286,0.4938684503901895,0.47157190635451507,0.4933046624361486,0.057492942830937484,0.3087514287384738,0.6652455640011982
1,mse_5y_e10.order_fixed.W,897,464,0.5172798216276477,0.516619265918199,0.5043456210658207,0.2545131532766685,0.7024821480662717,0.4938684503901895,0.4459308807134894,0.486973929957426,0.06435619775078619,0.25696504082568294,0.6723300580984617
1,mse_5y_e10.order_fixed.I,897,464,0.5172798216276477,0.5166466125038534,0.5075029086822923,0.2531541778062053,0.6996189328391051,0.4938684503901895,0.44816053511705684,0.4901135667726066,0.05775034948102991,0.30619668252510546,0.6589565219526925
1,mse_5y_e10.order_fixed.S,897,460,0.5128205128205128,0.5124054056741679,0.5036445540517696,0.2544785911694823,0.702401560887158,0.4938684503901895,0.4659977703455964,0.4901425159168391,0.06423461147988567,0.25919724648196313,0.6784852637340273
1,mse_5y_e10.scalar_probe.U,897,442,0.4927536231884058,0.4876865782957608,0.5050218275474587,0.25012206253594665,0.6933918188544176,0.4938684503901895,0.08695652173913043,0.4854613137247462,0.011696901838617688,0.4560859019297032,0.5240199355343803
1,mse_5y_e20.add.U,897,457,0.5094760312151616,0.5094842931156214,0.5032119807877805,0.25432304983051596,0.7022043062529418,0.4938684503901895,0.5005574136008919,0.49449063002634325,0.06316170657634351,0.21277217682777028,0.6671766817425423
1,mse_5y_e20.add.W,897,447,0.4983277591973244,0.4980608784717734,0.4972852298604827,0.2554642922443824,0.7047012463681376,0.4938684503901895,0.4782608695652174,0.4874945142170046,0.0661952578079717,0.19068442320382348,0.6470184154476106
1,mse_5y_e20.add.I,897,451,0.5027870680044593,0.5024935114010401,0.5036346098388043,0.25429847065678773,0.702168756647926,0.4938684503901895,0.4760312151616499,0.4906346168168565,0.06288602549262866,0.21050399569858455,0.6640997874645077
1,mse_5y_e20.add.S,897,447,0.4983277591973244,0.4983069977426636,0.49701176400393793,0.2554817979694438,0.7047153659021297,0.4938684503901895,0.4983277591973244,0.49134026049715257,0.0665774799075957,0.19272517812437276,0.6527176063149794
1,mse_5y_e20.vol.U,897,447,0.4983277591973244,0.4977600660295741,0.49069221666451207,0.2550627220807341,0.7036554104277377,0.4938684503901895,0.4537346711259755,0.4912493356999956,0.05997202330726055,0.2148733015744451,0.662200496990862
1,mse_5y_e20.vol.W,897,437,0.48717948717948717,0.48650073089965296,0.48722168633963464,0.2561330419011634,0.7060197364866715,0.4938684503901895,0.44481605351170567,0.4851853746886854,0.06458996269788762,0.19160311772084657,0.640655392954411
1,mse_5y_e20.vol.I,897,449,0.5005574136008919,0.49963455017352654,0.49102037569236584,0.2550674216104841,0.7036773089085824,0.4938684503901895,0.42474916387959866,0.4873701168619425,0.05969905085503766,0.21259570753588442,0.6591015041050649
1,mse_5y_e20.vol.S,897,442,0.4927536231884058,0.49233549785702213,0.4865355356450314,0.256129488563663,0.7059926895137296,0.4938684503901895,0.4659977703455964,0.4890490005790774,0.06496850799416667,0.1936380787480065,0.6444877195895731
1,mse_5y_e20.order_joint.U,897,437,0.48717948717948717,0.48650073089965296,0.4892155010391703,0.255350686981629,0.7041786597854862,0.4938684503901895,0.44481605351170567,0.493019473802378,0.05981026922193666,0.25041069833957014,0.7084286000207588
1,mse_5y_e20.order_joint.W,897,433,0.48272017837235226,0.48193136504211376,0.48500412684838057,0.25638049700308,0.7063701806477541,0.4938684503901895,0.4358974358974359,0.486662459462679,0.0633493381224807,0.22937775219619494,0.6915124375663471
1,mse_5y_e20.order_joint.I,897,437,0.48717948717948717,0.48614522528614473,0.48964807430315926,0.25534504628868454,0.7041715799787801,0.4938684503901895,0.4158305462653289,0.4892399855109841,0.05955580698592201,0.24807204784104678,0.7058512582948383
1,mse_5y_e20.order_joint.S,897,432,0.4816053511705686,0.48107616272710096,0.4848201589085232,0.256382557822689,0.706364638907329,0.4938684503901895,0.45707915273132665,0.4904291109626029,0.0636987502800161,0.2315640849393004,0.6941638486727978
1,mse_5y_e20.order_fixed.U,897,438,0.4882943143812709,0.4876293990712105,0.489205556826205,0.25532103162045366,0.7041125036029079,0.4938684503901895,0.4459308807134894,0.49317664557208163,0.0595308882311026,0.2524676160260457,0.7077013606444561
1,mse_5y_e20.order_fixed.W,897,432,0.4816053511705686,0.48083004345621067,0.48514334582989427,0.2563920933559617,0.7064044470016895,0.4938684503901895,0.43701226309921964,0.48692455805638707,0.06378190438277269,0.22770575695089745,0.6924609888555112
1,mse_5y_e20.order_fixed.I,897,436,0.48606465997770343,0.48501655711458713,0.48938455265957975,0.2553185593790246,0.7041120040823217,0.4938684503901895,0.41471571906354515,0.4892993354799928,0.0593055535976702,0.24986029360609896,0.7048686200658829
1,mse_5y_e20.order_fixed.S,897,430,0.4793756967670011,0.47884617296964027,0.48531736955678645,0.2563922780123964,0.7063941780524803,0.4938684503901895,0.45707915273132665,0.49078598271326224,0.06410449003291399,0.23010460167704663,0.6953582132197572
1,mse_5y_e20.scalar_probe.U,897,453,0.5050167224080268,0.502043535764362,0.5207113095534054,0.24982166878662912,0.6927882459699879,0.4938684503901895,0.25752508361204013,0.48290186832562926,0.023138844354903848,0.4319148365342957,0.5515920504409481
1,frequency_5y,897,454,0.5061315496098104,0.5,0.4874280287586639,0.2500469048136302,0.6932410535760468,0.4938684503901895,0.0,0.490726617947957,0.0034030255060130536,0.4847233691164327,0.4945054945054945
1,market4_5y,897,450,0.5016722408026756,0.49914976979146986,0.4968277960640805,0.2508177588457328,0.694788006363784,0.4938684503901895,0.29431438127090304,0.49026815905885807,0.02520091141121848,0.436488366230971,0.5668446329613166
1,bce_5y_e10.add.U,897,448,0.49944258639910816,0.5000099442129653,0.510212706715327,0.2528672893624651,0.6990793865452147,0.4938684503901895,0.5462653288740246,0.501795917286369,0.05908026019811694,0.2845564354882096,0.6745644313371217
1,bce_5y_e10.add.W,897,455,0.5072463768115942,0.5071449170155429,0.5096210260438938,0.25393773872371134,0.7013663283078303,0.4938684503901895,0.4916387959866221,0.4947245962674178,0.0649316511483427,0.2708063539066894,0.6692554779348264
1,bce_5y_e10.add.I,897,442,0.4927536231884058,0.49296446932707505,0.5113015980350235,0.25282525960600205,0.6989984956794052,0.4938684503901895,0.5172798216276477,0.4987439124085462,0.059206714603881126,0.28197205510213663,0.6680003358398358
1,bce_5y_e10.add.S,897,460,0.5128205128205128,0.512870297630294,0.5082984457195135,0.2539583871397229,0.701396680032828,0.4938684503901895,0.5039018952062431,0.4977604913156139,0.06482462363890348,0.2733322286915553,0.6757804173216275
1,bce_5y_e10.vol.U,897,455,0.5072463768115942,0.5073910362864331,0.5073189407424349,0.25267393912312347,0.698640389748957,0.4938684503901895,0.5117056856187291,0.4977787084552644,0.05412613109657508,0.3088113294394048,0.6548996862374862
1,bce_5y_e10.vol.W,897,454,0.5061315496098104,0.5055787034735135,0.5081443104185519,0.25386726749233446,0.7011916818899019,0.4938684503901895,0.45484949832775917,0.4910947874400514,0.06266235093686566,0.2791884893410602,0.6615729192075818
1,bce_5y_e10.vol.I,897,462,0.5150501672240803,0.5149088612881734,0.5078807887749724,0.252646873487774,0.6985888523043127,0.4938684503901895,0.4882943143812709,0.4945877269960962,0.05418048215329752,0.3060175244646792,0.6481701846955067
1,bce_5y_e10.vol.S,897,456,0.5083612040133779,0.5080821590875191,0.5077117371545629,0.25388027873436925,0.7012074989654717,0.4938684503901895,0.47714604236343366,0.4942652817494753,0.06266031462229497,0.28182238359787404,0.6681553894766202
1,bce_5y_e10.order_joint.U,897,455,0.5072463768115942,0.507445729457742,0.5053649028947604,0.2530740420370604,0.6994913324240072,0.4938684503901895,0.5161649944258639,0.4996898977983652,0.05613118661546316,0.30414166927732217,0.6915516973416178
1,bce_5y_e10.order_joint.W,897,458,0.5105908584169454,0.5102027625023617,0.5066725668996928,0.25416953014598415,0.7017809754505079,0.4938684503901895,0.4682274247491639,0.4937474713789244,0.06230808444168668,0.2561218751270766,0.6772771632400625
1,bce_5y_e10.order_joint.I,897,461,0.5139353400222966,0.5138622328735792,0.5061803283579122,0.2530458503234352,0.6994334624783358,0.4938684503901895,0.4938684503901895,0.49677572815671694,0.056245241410414384,0.30182192992354034,0.6890919830886721
1,bce_5y_e10.order_joint.S,897,450,0.5016722408026756,0.5013374966438281,0.5061455236125337,0.25419313842875385,0.7018246124085991,0.4938684503901895,0.47268673355629875,0.4966488892194135,0.06229238818197814,0.2582387082510194,0.6797704165912508
1,bce_5y_e10.order_fixed.U,897,455,0.5072463768115942,0.507445729457742,0.5052057954873161,0.25305482837617943,0.6994499981829694,0.4938684503901895,0.5161649944258639,0.499774624896107,0.055870678015024884,0.3055800737005321,0.6914882296400107
1,bce_5y_e10.order_fixed.W,897,459,0.5117056856187291,0.5113587772595738,0.5072095543998171,0.2541217045996942,0.7016893610618297,0.4938684503901895,0.47157190635451507,0.49378325547770013,0.06281660876231597,0.2519108978050438,0.6765163368574552
1,bce_5y_e10.order_fixed.I,897,459,0.5117056856187291,0.5116322431161187,0.5060261930569505,0.2530235890709333,0.6993854627087746,0.4938684503901895,0.4938684503901895,0.49659475690182925,0.05599448818415505,0.3028439747967684,0.6886289256646917
1,bce_5y_e10.order_fixed.S,897,451,0.5027870680044593,0.5026575909149671,0.5066874832191406,0.25414475965692784,0.701731301387632,0.4938684503901895,0.48940914158305465,0.496946962189816,0.06276678916874352,0.2543442201579391,0.679416746531926
1,bce_5y_e10.scalar_probe.U,897,427,0.4760312151616499,0.4729442825747556,0.48088722268076095,0.2503919894448901,0.6939317564939647,0.4938684503901895,0.24860646599777034,0.49108494469678304,0.011319952925635911,0.4457848267062449,0.5146675167007797
1,bce_5y_e10.native_bce.U,897,454,0.5061315496098104,0.5,0.498011157406947,0.24998645005577613,0.6931200937183534,0.4938684503901895,0.0,0.49377049575558046,0.0030916696633137776,0.4876625140200083,0.49641337092718923
1,bce_5y_e20.add.U,897,451,0.5027870680044593,0.5028490170145483,0.501218166088245,0.25478553453120645,0.703194928696122,0.4938684503901895,0.5050167224080268,0.49535688992543014,0.06584067975253245,0.19640602396958004,0.6775954797601002
1,bce_5y_e20.add.W,897,445,0.496098104793757,0.49572150237169477,0.5008850349539086,0.25580578193004744,0.7055456801194612,0.4938684503901895,0.4693422519509476,0.48787863034103607,0.07054663769563894,0.17057105794760274,0.6631018804566202
1,bce_5y_e20.add.I,897,457,0.5094760312151616,0.5092108272590766,0.501690516204095,0.2547476365366895,0.7031322071056513,0.4938684503901895,0.4782608695652174,0.4920303454167777,0.06559915335700968,0.194369111470752,0.6722087121614345
1,bce_5y_e20.add.S,897,445,0.496098104793757,0.4959129284712761,0.5003331311343364,0.25582439443031124,0.7055580408237835,0.4938684503901895,0.48494983277591974,0.4911865179975938,0.07080963226058039,0.17237502540522584,0.6684115712257018
1,bce_5y_e20.vol.U,897,444,0.49498327759197325,0.4944561012718648,0.495400801503565,0.2552192070508084,0.7040575764469422,0.4938684503901895,0.45707915273132665,0.49096945477267007,0.06376041840813843,0.19474092475045768,0.6744312784230452
1,bce_5y_e20.vol.W,897,443,0.4938684503901895,0.49302662065810804,0.49473453923489225,0.25637237051376,0.7066854592567622,0.4938684503901895,0.431438127090301,0.4840263262205146,0.0695735864064642,0.16950932942298771,0.6604076225831689
1,bce_5y_e20.vol.I,897,457,0.5094760312151616,0.5086912421316415,0.4954455504619087,0.25520513941284717,0.7040458667081355,0.4938684503901895,0.4358974358974359,0.4876981195846372,0.06348536446404643,0.19272607033903477,0.6691350095004006
1,bce_5y_e20.vol.S,897,438,0.4882943143812709,0.4876293990712105,0.49436660335517746,0.256368304600159,0.7066487113089917,0.4938684503901895,0.4459308807134894,0.48727353064204415,0.06983657660144478,0.1713008933225302,0.6657706268766294
1,bce_5y_e20.order_joint.U,897,455,0.5072463768115942,0.506816757987689,0.4952566104155687,0.25570676782610346,0.705070397777741,0.4938684503901895,0.46488294314381273,0.49540655672973,0.06487106097078488,0.23593096600698074,0.7354723112924598
1,bce_5y_e20.order_joint.W,897,451,0.5027870680044593,0.502083312616223,0.49299927407245353,0.2567404875025167,0.7073130125877389,0.4938684503901895,0.44258639910813824,0.48851727184875493,0.0691257361693519,0.21430207439436733,0.7292319853426309
1,bce_5y_e20.order_joint.I,897,453,0.5050167224080268,0.5043679955449926,0.4957587931703145,0.2556694271398483,0.7050009133786657,0.4938684503901895,0.44704570791527315,0.4921461202478539,0.06461802416543541,0.23371223316786985,0.733447424403884
1,bce_5y_e20.order_joint.S,897,443,0.4938684503901895,0.49338212627161626,0.4926711150445998,0.2567565418598367,0.7073308934987051,0.4938684503901895,0.4604236343366778,0.4917552550928434,0.06935342363819012,0.21637992968978562,0.7312103264129908
1,bce_5y_e20.order_fixed.U,897,455,0.5072463768115942,0.506816757987689,0.4952963872674297,0.25568002611448015,0.7050097542385275,0.4938684503901895,0.46488294314381273,0.49553262450458757,0.06464347985177361,0.23799427734439368,0.735166143726745
1,bce_5y_e20.order_fixed.W,897,451,0.5027870680044593,0.502083312616223,0.49413788645697637,0.256690252825594,0.7072187460453575,0.4938684503901895,0.44258639910813824,0.4886977485425898,0.06947579174263756,0.21245650239614264,0.7275961657366516
1,bce_5y_e20.order_fixed.I,897,453,0.5050167224080268,0.5043679955449926,0.4957985700221756,0.2556447622503119,0.704944107744214,0.4938684503901895,0.44704570791527315,0.49226928799380476,0.06441592594841504,0.23564123697567993,0.7330244964459135
1,bce_5y_e20.order_fixed.S,897,445,0.496098104793757,0.4955847694434224,0.4940185559013932,0.2567049647262241,0.7072335526813562,0.4938684503901895,0.45819397993311034,0.49193733111579147,0.06968007344401704,0.21462603857756166,0.7296989022998842
1,bce_5y_e20.scalar_probe.U,897,452,0.5039018952062431,0.5021454639472559,0.5123706009287895,0.24967230731303747,0.6924872783068342,0.4938684503901895,0.35674470457079155,0.4904960921325567,0.020512705314838845,0.42213710389047665,0.5383150839591226
1,bce_5y_e20.native_bce.U,897,454,0.5061315496098104,0.5,0.49488370242937124,0.2500474089859531,0.6932420672741217,0.4938684503901895,0.0,0.4902085127792346,0.0033180853754540885,0.48506706037187547,0.49395330287033473
1,mse_3y_e10.add.U,897,447,0.4983277591973244,0.49770537285826516,0.48753492904804047,0.2560327310555102,0.7055126495286079,0.4938684503901895,0.4492753623188406,0.4873434713327986,0.06422383785561445,0.2592035398384094,0.6525304210265012
1,mse_3y_e10.add.W,897,433,0.48272017837235226,0.48234156382693094,0.48328377800538974,0.2566958035048541,0.7068966698234704,0.4938684503901895,0.4693422519509476,0.4890033803849984,0.06705609880300399,0.2534767154955992,0.6538838093425595
1,mse_3y_e10.add.I,897,446,0.4972129319955407,0.49654935810105305,0.48812660971947375,0.25605280027132066,0.7055603569618368,0.4938684503901895,0.4459308807134894,0.4861422631790776,0.0648464333101974,0.25452267271697504,0.6501536009594293
1,mse_3y_e10.add.S,897,437,0.48717948717948717,0.4868562365131611,0.4823937709449986,0.2566355262657014,0.7067567592645879,0.4938684503901895,0.4738015607580825,0.49018788404287295,0.06608220980113608,0.25815392602668263,0.6565240926594721
1,mse_3y_e10.vol.U,897,445,0.496098104793757,0.4950104911446783,0.484944461570589,0.25572725577419353,0.7048709923706649,0.4938684503901895,0.411371237458194,0.4848128588347171,0.06038023481939113,0.3056009536785565,0.6526205339312052
