task,seed,epoch,feature_delta,probability_delta
h5_mse_5y_2023-03-31,20260910,10,4.76837158203125e-07,2.4687935591405363e-06
h5_mse_5y_2023-03-31,20260910,20,7.152557373046875e-07,2.2280112005335084e-07
h5_mse_5y_2023-03-31,20260911,10,5.662441253662109e-07,2.2776965936666116e-06
h5_mse_5y_2023-03-31,20260911,20,6.258487701416016e-07,1.645728103794042e-07
h5_mse_5y_2023-03-31,20260912,10,4.172325134277344e-07,3.4512493510829856e-06
h5_mse_5y_2023-03-31,20260912,20,4.76837158203125e-07,1.2405948724980576e-06
h5_mse_5y_2023-06-30,20260910,10,3.725290298461914e-07,3.4664324323196993e-06
h5_mse_5y_2023-06-30,20260910,20,4.76837158203125e-07,3.30420414085264e-07
h5_mse_5y_2023-06-30,20260911,10,5.364418029785156e-07,2.637016411788373e-06
h5_mse_5y_2023-06-30,20260911,20,7.152557373046875e-07,3.6105384504381277e-07
h5_mse_5y_2023-06-30,20260912,10,5.960464477539062e-07,6.142948222986888e-06
h5_mse_5y_2023-06-30,20260912,20,4.172325134277344e-07,1.3513984880031416e-06
h5_mse_5y_2023-09-30,20260910,10,4.76837158203125e-07,2.6804419666071055e-06
h5_mse_5y_2023-09-30,20260910,20,6.556510925292969e-07,4.619254652671323e-07
h5_mse_5y_2023-09-30,20260911,10,4.76837158203125e-07,3.3212522288494917e-06
h5_mse_5y_2023-09-30,20260911,20,7.748603820800781e-07,6.102999853263569e-07
h5_mse_5y_2023-09-30,20260912,10,4.172325134277344e-07,2.4755865704051416e-06
h5_mse_5y_2023-09-30,20260912,20,4.172325134277344e-07,2.1654970152051867e-06
h5_mse_5y_2024-03-31,20260910,10,3.5762786865234375e-07,2.7042879280347876e-06
h5_mse_5y_2024-03-31,20260910,20,6.556510925292969e-07,2.62003745810091e-07
h5_mse_5y_2024-03-31,20260911,10,6.556510925292969e-07,1.5355887573731408e-06
h5_mse_5y_2024-03-31,20260911,20,7.152557373046875e-07,5.933983138195487e-07
h5_mse_5y_2024-03-31,20260912,10,4.172325134277344e-07,4.073499238366196e-06
h5_mse_5y_2024-03-31,20260912,20,3.5762786865234375e-07,1.1005118863982588e-06
h5_mse_5y_2024-06-30,20260910,10,4.76837158203125e-07,4.2259384350762375e-06
h5_mse_5y_2024-06-30,20260910,20,7.748603820800781e-07,1.721860930503638e-07
h5_mse_5y_2024-06-30,20260911,10,5.960464477539062e-07,2.3641666849205656e-06
h5_mse_5y_2024-06-30,20260911,20,7.152557373046875e-07,4.6439676726350854e-07
h5_mse_5y_2024-06-30,20260912,10,4.76837158203125e-07,3.947396226000599e-06
h5_mse_5y_2024-06-30,20260912,20,5.960464477539062e-07,4.2263694899347115e-07
h5_mse_5y_2024-09-30,20260910,10,4.76837158203125e-07,5.650207095087012e-06
h5_mse_5y_2024-09-30,20260910,20,7.152557373046875e-07,3.2819968487363127e-07
h5_mse_5y_2024-09-30,20260911,10,5.662441253662109e-07,3.3201219098999424e-06
h5_mse_5y_2024-09-30,20260911,20,5.960464477539062e-07,3.1833465613528844e-07
h5_mse_5y_2024-09-30,20260912,10,5.364418029785156e-07,2.6299379866090433e-06
h5_mse_5y_2024-09-30,20260912,20,6.556510925292969e-07,3.4090622827442907e-07
h5_mse_5y_2025-03-31,20260910,10,4.172325134277344e-07,2.9192071849815093e-06
h5_mse_5y_2025-03-31,20260910,20,1.6689300537109375e-06,2.0803005162939314e-07
h5_mse_5y_2025-03-31,20260911,10,4.76837158203125e-07,2.5479374334835825e-06
h5_mse_5y_2025-03-31,20260911,20,6.556510925292969e-07,4.017502991948696e-07
h5_mse_5y_2025-03-31,20260912,10,4.470348358154297e-07,5.150319516311619e-06
h5_mse_5y_2025-03-31,20260912,20,5.364418029785156e-07,1.8104200613655586e-06
h5_mse_5y_2025-06-30,20260910,10,4.76837158203125e-07,2.4191324320965713e-06
h5_mse_5y_2025-06-30,20260910,20,6.109476089477539e-07,4.626662623019584e-07
h5_mse_5y_2025-06-30,20260911,10,5.960464477539062e-07,2.2543388756846028e-06
h5_mse_5y_2025-06-30,20260911,20,7.152557373046875e-07,1.2667869209170846e-07
h5_mse_5y_2025-06-30,20260912,10,4.470348358154297e-07,4.674126530213041e-06
h5_mse_5y_2025-06-30,20260912,20,4.76837158203125e-07,3.425249428534727e-07
h5_mse_5y_2025-09-30,20260910,10,4.76837158203125e-07,2.691037507829286e-06
h5_mse_5y_2025-09-30,20260910,20,7.152557373046875e-07,2.465004679264027e-07
h5_mse_5y_2025-09-30,20260911,10,4.76837158203125e-07,2.2291062921619975e-06
h5_mse_5y_2025-09-30,20260911,20,9.5367431640625e-07,3.5837043532715995e-07
h5_mse_5y_2025-09-30,20260912,10,4.76837158203125e-07,4.524800134131368e-06
h5_mse_5y_2025-09-30,20260912,20,9.5367431640625e-07,4.2231516483859366e-07
