name,lower,upper,n,p_mean,up_rate
annual.add.raw,0.0,0.1,0,,
annual.add.raw,0.1,0.2,0,,
annual.add.raw,0.2,0.3,40,0.2620602218181434,0.625
annual.add.raw,0.3,0.4,156,0.3559628654940308,0.4551282051282051
annual.add.raw,0.4,0.5,239,0.45144949899758713,0.4309623430962343
annual.add.raw,0.5,0.6,249,0.5442066378034205,0.6104417670682731
annual.add.raw,0.6,0.7,138,0.6439047303374545,0.6014492753623188
annual.add.raw,0.7,0.8,61,0.7408254278772877,0.3114754098360656
annual.add.raw,0.8,0.9,10,0.8141897054627023,0.5
annual.add.raw,0.9,1.0,0,,
annual.add.platt,0.0,0.1,0,,
annual.add.platt,0.1,0.2,0,,
annual.add.platt,0.2,0.3,8,0.26527566677541503,0.5
annual.add.platt,0.3,0.4,118,0.3575898989958928,0.4067796610169492
annual.add.platt,0.4,0.5,227,0.45487296513004183,0.43612334801762115
annual.add.platt,0.5,0.6,368,0.5427428060005759,0.592391304347826
annual.add.platt,0.6,0.7,129,0.6440643697247881,0.6046511627906976
annual.add.platt,0.7,0.8,41,0.7407437847147861,0.2682926829268293
annual.add.platt,0.8,0.9,2,0.8025639647982752,0.0
annual.add.platt,0.9,1.0,0,,
annual.add.shrink,0.0,0.1,0,,
annual.add.shrink,0.1,0.2,0,,
annual.add.shrink,0.2,0.3,8,0.26527566677541503,0.5
annual.add.shrink,0.3,0.4,118,0.3575898989958928,0.4067796610169492
annual.add.shrink,0.4,0.5,224,0.4535444800720619,0.42857142857142855
annual.add.shrink,0.5,0.6,374,0.5366626536434586,0.5989304812834224
annual.add.shrink,0.6,0.7,126,0.645001023004856,0.5952380952380952
annual.add.shrink,0.7,0.8,41,0.7407437847147861,0.2682926829268293
annual.add.shrink,0.8,0.9,2,0.8025639647982752,0.0
annual.add.shrink,0.9,1.0,0,,
annual.vol.raw,0.0,0.1,0,,
annual.vol.raw,0.1,0.2,6,0.19128883207901934,0.6666666666666666
annual.vol.raw,0.2,0.3,34,0.2629433591600974,0.6470588235294118
annual.vol.raw,0.3,0.4,129,0.3615199428425811,0.4728682170542636
annual.vol.raw,0.4,0.5,274,0.451100236904255,0.4343065693430657
annual.vol.raw,0.5,0.6,248,0.5429472864220304,0.592741935483871
annual.vol.raw,0.6,0.7,131,0.6420827456973254,0.6106870229007634
annual.vol.raw,0.7,0.8,63,0.7404992027896847,0.3492063492063492
annual.vol.raw,0.8,0.9,8,0.8116279124515589,0.375
annual.vol.raw,0.9,1.0,0,,
annual.vol.platt,0.0,0.1,0,,
annual.vol.platt,0.1,0.2,0,,
annual.vol.platt,0.2,0.3,3,0.277477647616668,1.0
annual.vol.platt,0.3,0.4,94,0.36374235558807494,0.43617021276595747
annual.vol.platt,0.4,0.5,264,0.4536944919338063,0.4318181818181818
annual.vol.platt,0.5,0.6,364,0.5419322793620497,0.5879120879120879
annual.vol.platt,0.6,0.7,123,0.6410342581803881,0.6016260162601627
annual.vol.platt,0.7,0.8,42,0.7372009632115643,0.2857142857142857
annual.vol.platt,0.8,0.9,3,0.8095890669556471,0.0
annual.vol.platt,0.9,1.0,0,,
annual.vol.shrink,0.0,0.1,0,,
annual.vol.shrink,0.1,0.2,0,,
annual.vol.shrink,0.2,0.3,3,0.277477647616668,1.0
annual.vol.shrink,0.3,0.4,94,0.36374235558807494,0.43617021276595747
annual.vol.shrink,0.4,0.5,256,0.4516968976509326,0.421875
annual.vol.shrink,0.5,0.6,376,0.5361883555160194,0.5904255319148937
annual.vol.shrink,0.6,0.7,119,0.6423582962651105,0.6050420168067226
annual.vol.shrink,0.7,0.8,42,0.7372009632115643,0.2857142857142857
annual.vol.shrink,0.8,0.9,3,0.8095890669556471,0.0
annual.vol.shrink,0.9,1.0,0,,
annual.cal_frequency.raw,0.0,0.1,0,,
annual.cal_frequency.raw,0.1,0.2,0,,
annual.cal_frequency.raw,0.2,0.3,0,,
annual.cal_frequency.raw,0.3,0.4,0,,
annual.cal_frequency.raw,0.4,0.5,657,0.4885459766674281,0.4901065449010654
annual.cal_frequency.raw,0.5,0.6,236,0.5404223836427225,0.576271186440678
annual.cal_frequency.raw,0.6,0.7,0,,
annual.cal_frequency.raw,0.7,0.8,0,,
annual.cal_frequency.raw,0.8,0.9,0,,
annual.cal_frequency.raw,0.9,1.0,0,,
annual.order_joint.raw,0.0,0.1,0,,
annual.order_joint.raw,0.1,0.2,5,0.18928801972619752,0.8
annual.order_joint.raw,0.2,0.3,46,0.2688280561181327,0.5869565217391305
annual.order_joint.raw,0.3,0.4,126,0.35890158754085283,0.47619047619047616
annual.order_joint.raw,0.4,0.5,265,0.4564418359389311,0.44528301886792454
annual.order_joint.raw,0.5,0.6,266,0.5473554531002616,0.5714285714285714
annual.order_joint.raw,0.6,0.7,128,0.6434660005381794,0.6171875
annual.order_joint.raw,0.7,0.8,51,0.7416201754670488,0.3333333333333333
annual.order_joint.raw,0.8,0.9,6,0.83054966516783,0.16666666666666666
annual.order_joint.raw,0.9,1.0,0,,
annual.order_joint.platt,0.0,0.1,0,,
annual.order_joint.platt,0.1,0.2,0,,
annual.order_joint.platt,0.2,0.3,14,0.2816040913977039,0.5714285714285714
annual.order_joint.platt,0.3,0.4,86,0.35932942819837516,0.43023255813953487
annual.order_joint.platt,0.4,0.5,263,0.460316928707308,0.44866920152091255
annual.order_joint.platt,0.5,0.6,382,0.5433262889408402,0.5706806282722513
annual.order_joint.platt,0.6,0.7,110,0.6420159541945659,0.6272727272727273
annual.order_joint.platt,0.7,0.8,34,0.7384202450292923,0.23529411764705882
annual.order_joint.platt,0.8,0.9,4,0.839880392827309,0.0
annual.order_joint.platt,0.9,1.0,0,,
annual.order_joint.shrink,0.0,0.1,0,,
annual.order_joint.shrink,0.1,0.2,0,,
annual.order_joint.shrink,0.2,0.3,14,0.2816040913977039,0.5714285714285714
annual.order_joint.shrink,0.3,0.4,86,0.35932942819837516,0.43023255813953487
annual.order_joint.shrink,0.4,0.5,257,0.45902913236169024,0.4396887159533074
annual.order_joint.shrink,0.5,0.6,388,0.5372426026352499,0.5747422680412371
